url,category,subcategory,tanggal_publish,judul_berita,tags,konten_berita
https://bola.kompas.com/read/2025/11/10/18091708/link-live-streaming-timnas-u17-indonesia-vs-honduras-di-piala-dunia-u17-2025,Bola,Timnas Indonesia,2025-11-10 18:09:17,Link Live Streaming Timnas U17 Indonesia Vs Honduras di Piala Dunia U17 2025.,"Honduras, Link Live Streaming, timnas u17 Indonesia, jadwal timnas U17 Indonesia, Piala Dunia U17, Piala Dunia U17 2025, Timnas U17 Indonesia vs Honduras","Timnas U17 Indonesia akan melakoni partai pamungkas di Grup H Piala Dunia U17 2025 melawan Honduras. Pertandingan Timnas U17 Indonesia vs Honduras akan digelar di Lapangan 2 Aspire Zone, Al Rayyan, Qatar, Senin (10/11/2025) pukul 21. 45 WIB. Timnas U17 Indonesia butuh kemenangan untuk memperlebar peluang lolos ke babak 32 besar sebagai peringkat 3 terbaik. Kekalahan di dua laga pertama yang dialami Timnas U17 Indonesia atas Zambia (1-3) dan Brasil (0-4) membuat peluang lolos ke babak selanjutnya kian sulit. Ujian berat tentu wajib dilalui tim asuhan Nova Arianto demi mencetak sejarah lolos ke fase gugur di Piala Dunia U17. Meski demikian, Honduras bukan lawan sembarangan terlebih reputasi mereka di Piala Dunia U17 jauh lebih baik dari skuad Garuda Asia. Pelatih Timnas U17 Indonesia, Nova Arianto meminta tim asuhannya tampil maksimal di laga terakhir melawan Honduras. ""Ya, saya sampaikan ke pemain apapun hasilnya besok itu bukan menjadi tolok ukur yang ingin saya ambil,"" kata Nova Arianto dikutip dari BolaSport. com. ""Tetapi saya ingin pemain tampil semaksimal mungkin di pertandingan terakhir. "" Nova juga tidak akan memusingkan nasib anak asuhnya ke babak 32 besar, meski akan ditentukan dari laga menghadapi Honduras. ""Dan kita lihat, apakah nanti hasil kita besok bisa membantu kita lolos ke babak selanjutnya,"" ujarnya. Timnas U17 Indonesia saat ini masih berada di posisi juru kunci pada klasemen peringkat tiga terbaik. Meski belum sepenuhnya tertutup, nasib Garuda Asia untuk lolos ke babak 32 besar tidak hanya dengan kemenangan, namun juga ditentukan oleh pertandingan lainnya. Timnas U17 Indonesia (5-3-2): Dafa Algasemi; Fabio Azka, Putu Panji, Mathew Baker, Eizar Tanjung, Lucas Lee; Zahaby Gholy, Evandra Florasta, Nazriel Alvaro; Mierza Firjatullah, Fadly Alberto. Pelatih: Nova Arianto."
https://bola.kompas.com/read/2025/11/10/23190548/live-skor-timnas-u17-indonesia-vs-honduras-2-1-gol-roket-fadly-alberto,Bola,Timnas Indonesia,2025-11-10 23:19:05,Live Skor Timnas U17 Indonesia Vs Honduras 2-1: Gol Roket Fadly Alberto.,"Honduras, Piala Dunia U17, timnas u17, Piala Dunia U17 2025, Timnas U17 Indonesia vs Honduras","Timnas U17 Indonesia unggul 2-1 atas Honduras pada menit ke-72 di matchday 3 Piala Dunia U17 2025. Pertandingan Timnas U17 Indonesia vs Honduras digelar di Lapangan 2 Aspire Zone, Al Rayyan, Qatar, Senin (10/11/2025) pukul 21. 45 WIB. Timnas U17 Indonesia wajib meraih kemenangan untuk memperlebar peluang lolos ke babak 32 besar lewat jalur peringkat 3 terbaik. Skuad asuhan Nova Arianto menguasai jalannya pertandingan sejak menit pertama dengan mengandalkan kecepatan para pemain sayap. Honduras juga sesekali mengancam namun masih belum mampu menjebol gawang Mike Rajasa Hoppenbrouwers. Timnas U17 Indonesia sempat unggul terlebih dulu lewat penalti Evandra Florasta di menit ke-52. Namun dua menit berselang, Luis Suazo langsung membalas juga lewat titik putih di menit ke-54. Timnas U17 Indonesia berhasil mengubah skor menjadi 2-1 lewat gol roket Fadly Alberto di menit ke-72. Bermula dari umpan silang dari sisi sebelah kiri pertahanan Honduras, Fadly Alberto sukses mengeksekusi dengan tendangan setengah voli. Timnas U17 Indonesia (3-4-3): Mike Hoppenbrouwers; Putu Panji (Lucas Lee 79'), Mathew Baker, Eizar Tanjung (Fabio Azka 45'); Al Gazani Dwi, Evandra Florasta, Nazriel Alvaro, Rafi Rasyiq (Fandi Ahmad 45'), Zahaby Gholy (Dimas Adi 45'), Mierza Firjatullah, Fadly Alberto. Pelatih: Nova Arianto. Honduras (4-2-3-1): Noel Valladares; Denzel Arzu, Mike Arana (Vega 79'), Enmanuel Martin, Darel Oliva; Edward Amador, Osmel Medina; Joshua Palacios, Luis Suazo, Marco Reyes (Arriola 45'); David Flores Pelatih: Israel Canales."
https://bola.kompas.com/read/2025/11/10/23461628/hasil-timnas-u17-indonesia-vs-honduras-2-1-garuda-asia-petik-hasil-historis,Bola,Timnas Indonesia,2025-11-10 23:46:16,"Hasil Timnas U17 Indonesia Vs Honduras 2-1, Garuda Asia Petik Hasil Historis.","Nova Arianto, timnas u17 Indonesia, Hasil Timnas U17 Indonesia, Piala Dunia U17 2025, Piala Dunia U17 2025 qatar, Timnas U17 Indonesia vs Honduras, hasil Indonesia U17 vs Honduras U17, skor Indonesia U17 vs Honduras U17, Indonesia U17 vs Honduras U17","Timnas U17 Indonesia berhasil meraih kemenangan 2-1 atas Timnas U17 Honduras pada laga terakhirnya di Grup H Piala Dunia U17 2025. Timnas U17 Indonesia bersua Timnas U17 Honduras pada laga ketiga Grup H Piala Dunia U17 2025, Senin (10/11/2025). Duel Timnas U17 Indonesia vs Honduras bergulir di Lapangan 2 Aspire Zone, Al Rayyan, Qatar. Setelah bermain imbang tanpa gol di babak pertama, gol akhirnya tercipta di babak kedua. Evandra Florasta menyumbangkan gol dari titik putih ditambah gol dari Fadly Alberto hanya mampu dibalas sekali oleh Honduras melalui penalti Luis Suazo. Skor 2-1 menutup pertandingan ini yang sekaligus membuat Indonesia finis di peringkat ketiga Grup H. Hasil ini menjadi sejarah dengan kali pertama Timnas Indonesia memetik kemenangan di turnamen Piala Dunia FIFA. Garuda Asia sejauh ini masih berada di luar jalur melaju ke babak knockout karena kalah agregat gol (-5) dari Meksiko (-3) yang menghuni tempat terakhir di klasemen peringkat ketiga terbaik. Namun, hal itu bisa berubah apabila Paraguay (Grup J) dan Arab Saudi (Grup L) kalah besar di grup mereka masing-masing dan Uganda tidak menang di Grup K. Indonesia dengan cepat menguasai bola namun belum menciptakan peluang berarti untuk mengancam gawang Honduras. Indonesia akhirnya mencatatkan peluang pertamanya di menit ke-12 lewat tendangan bebas Zahaby Gholy di depan kotak penalti Honduras. Namun, powernya masih kurang dan bisa diamankan dengan sempurna oleh kiper Noel Valladares. Indonesia yang keasyikan menyerang sempat melupakan pertahanan, terutama di sektor kanan. Celah itu dimanfaatkan oleh Mike Arana di menit ke-19 untuk berlari dan menusuk ke kotak penalti. Namun, peluang tersebut diakhiri dengan tembakan yang melebar di sisi kanan gawang. Ketangguhan kiper Noel Valladares menjadi faktor utama Indonesia belum mencetak gol di babak pertama."
https://bola.kompas.com/read/2025/11/10/23544068/klasemen-akhir-grup-h-piala-dunia-u17-usai-timnas-indonesia-cetak-sejarah,Bola,Timnas Indonesia,2025-11-10 23:54:40,Klasemen Akhir Grup H Piala Dunia U17 Usai Timnas Indonesia Cetak Sejarah.,"klasemen, timnas u17 Indonesia, Piala Dunia U17 2025, Timnas U17 Indonesia vs Honduras","Timnas U17 Indonesia memainkan pertandingan terakhir fase grup di Piala Dunia U17 2025 dengan hasil kemenangan 2-1 saat menghadapi Honduras pada Senin (10/11/2025). Duel Timnas U17 Indonesia vs Honduras bergulir di Lapangan 2 Aspire Zone, Al Rayyan, Qatar. Timnas U17 Indonesia bermain efisien dan solid pada babak pertama walau kesulitan menemukan percikan di sepertiga akhir. Momen laga datang saat kiper Mike Rajasa harus melakukan penyelamatan ciamik dari tembakan bebas lawan. Selain itu, tembakan Zahabi Gholy, Fadli Alberto, dan juga Evandra Florasta masih bisa dihentikan oleh kiper Honduras yang secara total melakukan empat penyelamatan. Pertandingan kemudian meledak dengan dua penalti yang dihadiahkan secara beruntun. Pertama, Evandra Florasta menunaikan tugasnya bagi skuad Garuda Asia pada menit ke-51 setelah Mierza ditekel jatuh di kotak terlarang saat hendak menembak. Kemudian, Honduras membalas juga dari titik putih lewat tembakan Luis Suazo tak sampai semenit setelahnya usai tangan Putu Panji mengenai bola di area terlarang. Fadly Alberto kemudian membawa Garuda Asia unggul dengan tembakan deras dari luar kotak penalti pada menit ke-73. Hasil ini menjadi sejarah dengan kali pertama Timnas Indonesia memetik kemenangan di turnamen Piala Dunia FIFA. Garuda Asia sejauh ini masih berada di luar jalur melaju ke babak knockout karena kalah agregat gol (-5) dari Meksiko (-3) yang menghuni tempat terakhir di klasemen peringkat ketiga terbaik. Namun, hal itu bisa berubah apabila Paraguay (Grup J) dan Arab Saudi (Grup L) kalah besar di grup mereka masing-masing dan Uganda tidak menang di Grup K. Di pertandingan lainnya, Brasil dan Zambia bermain sama kuat 1-1. Zambia sang debutan mengungguli juara 4 kali turnamen tersebut terlebih dulu lewa Jonathan Kalimina (26'). Namun, tiga poin sirna usai Dell menyamakan kedudukan bagi tim Samba. Brasil akhirnya lolos sebagai pemuncak Grup H dengan Zambia mengikuti."
https://bola.kompas.com/read/2025/11/11/00104568/timnas-u17-indonesia-vs-honduras-2-1-3-syarat-terakhir-garuda-asia-lolos-32,Bola,Timnas Indonesia,2025-11-11 00:10:45,Timnas U17 Indonesia Vs Honduras 2-1: 3 Syarat Terakhir Garuda Asia Lolos 32 Besar.,"Honduras, timnas u17 Indonesia, Piala Dunia U17, timnas u17, Piala Dunia U17 2025, Timnas U17 Indonesia vs Honduras, Hasil Timnas U17 Indonesia vs Honduras, Skor Timnas U17 Indonesia vs Honduras, hasil Indonesia U17 vs Honduras U17, skor Indonesia U17 vs Honduras U17, Indonesia U17 vs Honduras U17","Timnas U17 Indonesia sukses meraih kemenangan penting melawan Honduras dengan skor 2-1 di matchday 3 Grup H Piala Dunia U17 2025. Pertandingan Timnas U17 Indonesia vs Honduras digelar di Lapangan 2 Aspire Zone, Al Rayyan, Qatar, Senin (10/11/2025) malam WIB. Dua gol Timnas U17 Indonesia dicetak oleh Evandra Florasta (52' pen) dan Fadly Alberto (72'). Sementara gol balasan dari Honduras dicetak Luis Suazo (54' pen). Hasil ini memastikan Timnas U17 Indonesia finis di peringkat ke-3 Grup H dan masih memiliki peluang lolos ke babak selanjutnya lewat jalur peringkat 3 terbaik. Meski begitu, sangat sulit dan nyaris mustahil Garuda Asia bisa lolos ke babak 32 besar. Timnas U17 Indonesia saat ini berada di peringkat ke-9 dengan 3 poin dan selisih gol -5. Setidaknya ada 3 syarat terakhir yang idealnya bisa membawa Timnas U17 Indonesia bisa mengunci tiket ke bebak 32 besar. Timnas U17 Indonesia berkesempatan lolos jika Arab Saudi kalah telak atas Mali dengan jumlah gol minimal 6. Arab Saudi akan melawan Mali pada laga terakhir yang digelar Selasa (11/11/2025) malam WIB. Sejatinya Arab Saudi hanya butuh hasil imbang untuk mengunci satu tiket ke babak 32 besar. Bahkan jika mereka kalah dengan jumlah gol tak lebih dari 5, Arab Saudi tetap memiliki kans besar melaju ke babak selanjutnya. Arab Saudi saat ini berada di peringkat ke-7 klasemen peringkat 3 terbaik dengan 3 poin dan selisih gol 0. Seperti Arab Saudi, Paraguay juga hanya butuh hasil imbang untuk mengunci posisi peringkat 3 terbaik. Paraguay berpeluang besar lolos mengingat di laga terakhir akan melawan tim debutan, Republik Irlandia."
https://bola.kompas.com/read/2025/11/11/00385258/hajar-honduras-2-1-timnas-u17-indonesia-jadi-tim-asean-tersukses-di-piala-dunia,Bola,Timnas Indonesia,2025-11-11 00:38:52,"Hajar Honduras 2-1, Timnas U17 Indonesia Jadi Tim ASEAN Tersukses di Piala Dunia U17.","thailand, timnas u17 Indonesia, Piala Dunia U17, timnas u17, Piala Dunia U17 2025, Timnas U17 Indonesia vs Honduras, hasil Indonesia U17 vs Honduras U17, skor Indonesia U17 vs Honduras U17, Indonesia U17 vs Honduras U17","Sejarah tercipta di balik kemenangan Timnas U17 Indonesia atas Honduras dengan skor 2-1 di matchday 3 Grup H Piala Dunia U17 2025. Pertandingan Timnas U17 Indonesia vs Honduras digelar di Lapangan 2 Aspire Zone, Al Rayyan, Qatar, Senin (10/11/2025) malam WIB. Dua gol Timnas U17 Indonesia dicetak oleh Evandra Florasta (52' pen) dan Fadly Alberto (72'). Sementara gol balasan dari Honduras dicetak Luis Suazo (54' pen). Hasil ini memastikan Timnas U17 Indonesia finis di peringkat ke-3 Grup H dan masih memiliki peluang lolos ke babak selanjutnya lewat jalur peringkat 3 terbaik. Sekalipun tak lolos, Timnas U17 Indonesia berhasil menorehkan prestasi membanggakan dalam sejarah sepak bola nasional dan Asia Tenggara. Sejauh ini hanya Indonesia dan Thailand yang berhasil menembus ketatnya level Piala Dunia U17. Timnas U17 Indonesia menjadi tim asal ASEAN pertama yang mampu meraih kemenangan di ajang Piala Dunia U17 dalam sejarah. Kemenangan kontra Honduras memastikan Garuda Asia menjadi tim tersukses di turnamen ini. Skuad asuhan Nova Arianto berhasil melampaui pencapaian Thailand di Piala Dunia U17 yang tak mampu meraih kemenangan dan poin dari dua edisi yang mereka ikuti (1997 dan 1999). Kemenangan melawan Honduras memastikan Timnas U17 Indonesia memperoleh total 5 poin selama berpartisipasi di Piala Dunia U17. Pada edisi Piala Dunia U17 2023, Timnas U17 Indonesia mampu meraih 2 poin hasil dari dua kali imbang melawan Ekuador (1-1) dan Panama (1-1). Sedangkan di Piala Dunia U17 2025, Garuda Asia sukses mengamankan 3 poin perdana lewat kemenangan krusial atas Honduras (3-1). Sejak debutnya pada Piala Dunia U17 2023 lalu, Timnas U17 Indonesia konsisten finis di peringkat ke-3 fase grup. Pencapaian itu melampaui Thailand yang selalu menjadi tim juru kunci di Piala Dunia U17 1997 dan 1999, Timnas U17 Indonesia bahkan masih berpeluang lolos ke babak selanjutnya berkaca dari posisi klasemen peringkat 3 terbaik saat ini. Timnas U17 Indonesia menjadi tim asal ASEAN paling produktif di sepanjang gelaran Piala Dunia U17. Dalam dua edisi terakhir (2023 dan 2025), Garuda Asia telah mencetak 6 gol dari 6 pertandingan. Sementara itu, Thailand hanya mampu mencetak 5 gol dari dua edisi Piala Dunia U17 (1997 dan 1999)."
https://bola.kompas.com/read/2025/11/11/05314538/klasemen-peringkat-3-terbaik-piala-dunia-u17-2025-indonesia-masih-bisa-lolos,Bola,Timnas Indonesia,2025-11-11 05:31:45,Klasemen Peringkat 3 Terbaik Piala Dunia U17 2025: Indonesia Masih Bisa Lolos?,"Honduras, piala dunia u-17, Indonesia, Timnas U17 Indonesia Hadapi Afghanistan, hasil piala dunia u17 2025, Klasemen Piala Dunia U17 2025, Klasemen Grup H Piala Dunia U17 2025, Indonesia vs Honduras, Indonesia vs Honduras, klasemen peringkat tiga terbaik piala dunia u17 2025, Hasil Timnas U17 Indonesia vs Honduras, Skor Timnas U17 Indonesia vs Honduras","Timnas U17 Indonesia menempati peringkat tiga klasemen Grup H Piala Dunia U17 2025 usai menang 2-1 atas Honduras. Masih ada sedikit asa lolos untuk Garuda Asia. Pada laga terakhir Grup H, Indonesia berhasil mengalahkan Honduras dengan skor 2-1 dalam berlangsung di Lapangan 2 Aspire Zone, Doha, pada hari Senin (10/11/2025). Kemenangan bersejarah Timnas U17 Indonesia ini diraih berkat gol dari Evandra Florasta (52' pen.) dan Fadly Alberto Hengga (72'). Honduras sempat menyamakan kedudukan melalui sepakan penalti putra eks penyerang Inter Milan David Suazo, yakni Luis Suazo (54'). Dengan hasil ini, Indonesia menempati peringkat ketiga di klasemen akhir Grup H. Garuda Asia menuai total tiga poin dari tiga pertandingan, sementara Honduras berada di posisi keempat tanpa raihan angka. Sementara itu, pertandingan Grup H lainnya di Lapangan 4 Aspire Zone, Doha, pada hari yang sama antara Zambia dan Brasil berakhir dengan skor imbang 1-1 Dalam pertandingan tersebut, Zambia sempat unggul melalui gol Jonathan Kalimina (26') sebelum Brasil menyamakan kedudukan berkat gol dari Dell (81'). Dengan hasil imbang ini, Zambia dan Brasil menempati posisi dua teratas di klasemen akhir Grup H dengan masing-masing tujuh poin dari tiga pertandingan. Brasil melaju ke babak 32 besar sebagai juara Grup H berkat keunggulan selisih gol, sedangkan Zambia menjadi runner up. Walaupun Indonesia berada di posisi ketiga klasemen akhir, peluang mereka untuk lolos ke babak 32 besar Piala Dunia U-17 2025 sebagai salah satu dari delapan peringkat ketiga terbaik sangat sulit. Indonesia kini berada di posisi kesembilan dalam klasemen sementara peringkat ketiga terbaik Piala Dunia U17 2025, kalah dalam selisih gol dibandingkan negara-negara di atasnya yang masih memiliki satu pertandingan tersisa. Timnas U17 Indonesia mesti berharap Paraguay (Grup J) dan Arab Saudi (Grup L) kalah dengan margin besar di grup masing-masing, serta Uganda gagal meraih kemenangan di partai pamungkas Grup K. * Delapan tim teratas dari klasemen peringkat ketiga terbaik akan melanjutkan ke babak 32 besar Piala Dunia U-17 2025."
https://bola.kompas.com/read/2025/11/11/05593578/tanggapan-maarten-paes-usai-timnas-u17-indonesia-raih-kemenangan-bersejarah-di,Bola,Timnas Indonesia,2025-11-11 05:59:35,Tanggapan Maarten Paes Usai Timnas U17 Indonesia Raih Kemenangan Bersejarah di Piala Dunia U17.,"Honduras, piala dunia u-17, Indonesia, Timnas U17 Indonesia vs Honduras, Indonesia vs Honduras, Indonesia vs Honduras, Hasil Timnas U17 Indonesia vs Honduras, Skor Timnas U17 Indonesia vs Honduras","Kiper Timnas Indonesia, Maarten Paes, memberikan tanggapan mengenai keberhasilan juniornya menciptakan sejarah di Piala Dunia U17 2025. Timnas U-17 Indonesia menjalani pertandingan terakhir di Grup H Piala Dunia U-17 2025 dengan melawan Honduras. Pertandingan Timnas U17 Indonesia vs Honduras tersebut berlangsung di Lapangan 2 Aspire Zone, Doha, Qatar, pada Senin malam (10/11/2025) WIB. Hasilnya, pasukan Nova Arianto berhasil meraih kemenangan 2-1 atas Honduras. Pertandingan ini sempat berakhir imbang 0-0 di babak pertama. Seluruh gol baru tercipta di babak kedua. Indonesia membuka keunggulan lewat gol penalti Evandra Florasta pada menit ke-52. Namun, Honduras membalas dua menit kemudian melalui Luis Suazo yang juga mencetak gol dari penalti. Fadly Alberto kembali membawa Indonesia unggul pada menit ke-72 dengan tembakan dari luar kotak penalti. Hingga akhir pertandingan, tidak ada gol tambahan yang tercipta dari kedua tim. Kemenangan ini menjadi sangat berarti bagi Indonesia. Sebab, ini adalah kali pertama Garuda Muda berhasil mencatatkan kemenangan di ajang bergengsi Piala Dunia U17. Sebelumnya, pada edisi 2023, Indonesia yang bertindak sebagai tuan rumah hanya mampu meraih dua hasil imbang dan satu kekalahan. Akun Instagram resmi Timnas Indonesia mengunggah postingan tentang keberhasilan pasukan Nova Arianto mengalahkan Honduras. Unggahan tersebut segera mendapatkan banyak tanda suka dan komentar. Salah satu komentar datang dari Maarten Paes, yang tidak hanya memberikan tanda suka tetapi juga menuliskan tiga emoji api. Emoji tersebut biasanya digunakan untuk mengungkapkan pujian terhadap sesuatu yang luar biasa."
https://bola.kompas.com/read/2025/11/11/06223888/indonesia-ukir-sejarah-di-piala-dunia-u17-2025-evandra-florasta-tak-menyangka,Bola,Timnas Indonesia,2025-11-11 06:22:38,"Indonesia Ukir Sejarah di Piala Dunia U17 2025, Evandra Florasta Tak Menyangka.","Honduras, Nova Arianto, timnas u17 Indonesia, Evandra Florasta, Piala Dunia U17 2025, Timnas U17 Indonesia vs Honduras, Indonesia vs Honduras, Hasil Timnas U17 Indonesia vs Honduras, Skor Timnas U17 Indonesia vs Honduras","Timnas U17 Indonesia menuai kemenangan bersejarah di Piala Dunia U17 2025 usai melibas Honduras 2-1. Hasil ini tak disangka Evandra Florasta. Timnas U17 Indonesia mengalahkan Honduras dalam laga pamungkas Grup H Piala Dunia U17 2025 di Lapangan 2 Aspire Zone, Doha, Qatar, Senin (10/11/2025). Hasil Timnas U17 Indonesia vs Honduras dipastikan oleh gol-gol Evandra Florasta (52' pen.) dan Fadly Alberto Hengga (72') Honduras takluk meski sempat menyetarakan skor jadi 1-1 melalui sepakan penalti Luis Suazo, yang tak lain adalah putra eks pemain Inter Milan David Suazo. Sejujurnya, saya tidak menyangka kami bisa memenangkan pertandingan melawan Honduras ini,"" tutur Evandra Florasta dilansir dari situs resmi FIFA. Sebelum ini, Timnas U17 Indonesia belum pernah menuai kemenangan di ajang Piala Dunia U17. Pada partisipasi debut di edisi 2023 silam, Timnas U17 Indonesia asuhan Bima Sakti yang berstatus tuan rumah mengumpulkan dua poin di fase grup. Jumlah poin tersebut bersumber dari dua hasil seri ketika melawan Ekuador dan Panama. Saat berjumpa Maroko di partai terakhir fase grup, Garuda Asia takluk. Kini, Timnas U17 Indonesia besutan Nova Arianto menunjukkan proges dengan menutup penyisihan grup Piala Dunia U17 2025 via raihan tiga poin. Usai kalah dari Zambia (1-3) dan Brasil (0-4), Timnas U17 Indonesia mampu membekuk Honduras 2-1. ""Kami tahu para pemain senior kami yang bermain di Piala Dunia sebelumnya mengumpulkan dua poin, dan sekarang, alhamdulillah, saya dan rekan satu tim saya berhasil meraih tiga poin pertama bagi Indonesia di Piala Dunia. Saya sangat senang,"" tutur Evandra Florasta. Kemenangan atas Honduras menempatkan Timnas U17 Indonesia di peringkat tiga klasemen akhir Grup H Piala Dunia U17 2025. Asa Timnas U17 Indonesia lolos ke 32 besar Piala Dunia U17 2025 via jalur peringkat tiga terbaik masih ada, kendati itu sangat tipis. Kini, Timnas U17 Indonesia berada di luar jalur kelolosan karena duduk di posisi sembilan klasemen peringkat tiga terbaik. Sebagai catatan, hanya delapan tim teratas dari tim peringkat tiga terbaik dari 12 grup yang berhak melaju ke fase gugur."
https://bola.kompas.com/read/2025/11/11/06232588/kisah-fadly-alberto-pahlawan-timnas-u17-kontra-honduras-di-piala-dunia-u17-2025,Bola,Timnas Indonesia,2025-11-11 06:23:25,"Kisah Fadly Alberto, Pahlawan Timnas U17 kontra Honduras di Piala Dunia U17 2025.","Honduras, timnas u17 Indonesia, Hasil Timnas U17 Indonesia, Piala Dunia U17 2025, Fadly Alberto, Indonesia vs Honduras, pemain timnas u17, hasil Indonesia U17 vs Honduras U17, Indonesia U17 vs Honduras U17, profil Fadly Alberto","Fadly Alberto menjadi penentu kemenangan Timnas U17 Indonesia saat menghadapi Honduras pada laga terakhir Grup H Piala Dunia U17 2025. Bermain di Lapangan 7 Aspire Zone, Doha, Senin (10/11/2025), pertandingan Indonesia vs Honduras berakhir dengan skor 2-1 untuk Garuda Asia. Timnas U17 Indonesia lebih dulu unggul lewat penalti Evandra Florasta pada menit ke-52. Dua menit kemudian, Honduras membalas melalui tendangan penalti Luis Suazo, putra mantan penyerang Inter Milan, David Suazo. Gol kemenangan Indonesia kemudian hadir dari kaki Fadly Alberto pada menit ke-72. Sepakannya dari luar kotak penalti memastikan tiga poin pertama Timnas U17 Indonesia di ajang Piala Dunia FIFA. Performa Fadly Alberto di Piala Dunia U17 2025 sudah jadi sorotan FIFA sebelum laga kontra Honduras. Badan sepak bola dunia itu menilai pemain muda Bhayangkara Presisi FC tersebut memiliki potensi besar di kancah Asia. “Penampilan impresif Fadly Alberto bersama Timnas U-17 Indonesia di Piala Asia U17 menarik perhatian publik sepak bola nasional, ” tulis laman resmi FIFA. “Pemain muda Bhayangkara Presisi FC ini menjadi sosok penting dalam kemenangan bersejarah Garuda Muda atas Korea Selatan dan Yaman, dua kemenangan monumental yang mengantarkan Indonesia ke Piala Dunia, ” tulis laporan tersebut. Nama Fadly mulai dikenal sejak tampil di Piala Asia U17 2025 di Arab Saudi. Dari tiga laga yang dijalani, ia mencetak dua gol ke gawang Yaman dan Afghanistan. Fadly Alberto Hengga lahir di Timika, Papua Tengah, lalu dibesarkan di Desa Banjarsari, Bojonegoro, Jawa Timur. Sejak usia tiga tahun, ia mulai dekat dengan dunia sepak bola dan kini menempuh pendidikan di sebuah SMK di daerahnya."
