url,category,subcategory,tanggal_publish,judul_berita,tags,konten_berita
http://www.kompas.com/edu/read/2025/11/04/080956771/tka-sma-2025-kemendikdasmen-siswa-enggak-usah-cari-cari-bocoran-soal,Edukasi,Edu News,2025-11-04T08:09:56,"TKA SMA 2025, Kemendikdasmen: Siswa Enggak Usah Cari-cari Bocoran Soal","siswa, sekolah, TKA, Tes Kemampuan Akademik, Kemendikdasmen, TKA 2025, tes kemampuan akademik 2025, tka sma 2025, siswa live tiktok saat tka, tka bocor, soal tka bocor, bocoran soal tka sma 2025","Pihak Kementerian Pendidikan Dasar dan Menengah (Kemendikdasmen) mengingatkan agar siswa peserta Tes Kemampuan Akademik (TKA) tidak fokus mencari bocoran soal. Hal itu diungkapkan oleh Direktur Jenderal Pendidikan Anak Usia Dini, Pendidikan Dasar, dan Pendidikan Menengah Kementerian Pendidikan Dasar dan Menengah (Kemendikdasmen) Gogot Suharwoto. Ia pun menyarankan siswa untuk lebih fokus pada persiapan belajar dibanding sibuk mencari bocoran TKA. ""Dan pasti enggak usah cari-cari bocoran (soal), karena semua soalnya enggak akan sama. Setiap laptop itu berbeda dan setiap ruangan tokennya juga berbeda,"" kata Gogot di SMAN 78 Jakarta, Senin (3/11/2025. Sementara terkait adanya kekhawatiran beredarnya rekaman soal-soal TKA, Kepala Badan Standar Kurikulum dan Asesmen Pendidikan (BSKAP) Toni Toharudin menegaskan tidak akan ada soal TKA yang sama antar-siswa. Menurut Toni, setiap daerah memiliki kekhasan pada soal-soal TKA yang akan dikerjakan para siswa dan tidak akan ada yang diuntungkan pada beredarnya rekaman soal TKA. ""Kemendikdasmen berkomitmen menjaga integritas dan keadilan dalam setiap pelaksanaan TKA, serta mengajak seluruh peserta untuk menjunjung tinggi kejujuran dan sportivitas akademik,"" ujarnya. ""Untuk mendukung itu, kami juga membuka posko pemantauan pelaksanaan TKA secara daring untuk koordinasi dengan pemerintah daerah, dan panitia pelaksana di daerah, serta melakukan pemantauan TKA di berbagai daerah,"" lanjut dia. Toni menambahkan, pihaknya saat ini sedang menindaklanjuti laporan siswa yang live saat pelaksanaan TKA dan berkoordinasi dengan dinas pendidikan provinsi dan Kantor Wilayah Kementerian Agama (Kemenag) serta tim pelaksana dan pengawas ujian di lapangan. Ia juga menegaskan bahwa live saat pelaksanaan ujian tidak diperbolehkan karena melalui Keputusan Menteri Pendidikan Dasar dan Menengah (Kepmendikdasmen) Nomor 95 Tahun 2025 tentang Pedoman Penyelenggaraan TKA, disebutkan bahwa peserta tidak diperbolehkan membawa atau menggunakan gawai selama ujian berlangsung. Dengan demikian, apabila terbukti maka siswa tersebut akan dikenakan sanksi berupa pembatalan hasil TKA. ""Apabila terbukti melakukan pelanggaran, peserta dapat dikenai sanksi berupa pembatalan hasil TKA ujian sesuai dengan ketentuan tata tertib pelaksanaan TKA,"" jelas Toni."
http://www.kompas.com/edu/read/2025/11/05/104000971/20-sma-swasta-paling-berprestasi-se-indonesia-buat-2026-jawa-tengah,Edukasi,Edu News,2025-11-05T10:40:00,"20 SMA Swasta Paling Berprestasi se-Indonesia buat 2026, Jawa Tengah Terbanyak","sekolah, SMA swasta, Puspresnas, sma swasta paling berprestasi","Sudah banyak SMA swasta membuka pendaftaran tahun 2026 mulai saat ini. Bagi siswa SMP dan MTS kelas 9 bisa memulai mencari SMA untuk melanjutkan pendidikan. Tak kalah dengan SMA negeri, ada banyak banyak SMA swasta yang berprestasi. Bahkan paling berprestasi di Indonesia. Salah satu SMA paling berprestasi di Indonesia ialah SMA Trensains Muhammadiyah Sragen. Daftar SMA swasta paling berprestasi dirilis oleh Pusat Prestasi Nasional (Puspresnas) berdasarkan jumlah medali yang diperoleh oleh masing-masing sekolah. SMA yang tergabung dalam peringkat tersebut adalah SMA swasta maupun negeri dari seluruh Indonesia yang tercatat dalam data Sistem Informasi Manajemen Talenta (SMIT). SIMT dikelola oleh Pusat Prestasi Nasional (Puspresnas) di bawah Kementerian Pendidikan Dasar dan Menengah (Kemendikdasmen). Terdapat 1699 SMA se-Indonesia masuk dalam daftar ini. Dengan hasil, urutan pertama dalam rangking tersebut diduduki oleh sekolah dari Kabupaten Sragen, Jawa Tengah, yakni SMA Trensains Muhammadiyah Sragen. Adapun SIMT merupakan pangkalan data yang mendukung pencatatan dan pemetaan talenta nasional yang terintegrasi dan berkelanjutan. Berdasarkan data SIMT, data ini dikumpulkan dari tahun 2024 hingga 2025. Jenjang prestasi ini dikumpulkan dari level satuan pendidikan, wilayah, kecamatan, kota/kabupaten, provinsi, nasional, sampai internasional. Walaupun posisi pertama ialah SMA Trensains Muhammadiyah Sragen dengan 1.095 medali, berdasarkan data per daerah, yang masuk 20 teratas justru didominasi SMA di Jawa Tengah. Ada lima sekolah SMA di Jawa Tengah masuk dalam daftar. Selain SMA Trensains Muhammadiyah, ada dua SMA Unggulan Garuda yang masuk dalam daftar. Yaitu SMA Taruna Nusantara dan SMA Pradita Dirgantara. Berikut daftar lengkapnya: 1. SMA Trensains Muhammadiyah - Sragen, Jawa Tengah 2. SMA Pradita Dirgantara - Boyolali, Jawa Tengah 3. SMAS Unggul Del - Toba, Sumatera Utara 4. SMA Semesta Bilingual Boarding School- Semarang, Jawa Tengah"
http://www.kompas.com/edu/read/2025/11/06/082220071/biaya-kuliah-semester-1-7-jalur-snbp-di-ui-ugm-ipb-itb-dan-unair,Edukasi,Edu News,2025-11-06T08:22:20,"Biaya Kuliah Semester 1-7 Jalur SNBP di UI, UGM, IPB, ITB dan Unair","UI, itb, Perguruan tinggi, UGM, Unair, biaya kuliah, IPB University, UKT, SNBP","Berapa biaya kuliah jalur Seleksi Nasional Berdasarkan Prestasi (SNBP) 2026, bisa menjadi pertimbangan siswa saat memilih PTN (perguruan tinggi negeri). Meski pendaftaran SNBP 2026 masih dibuka 3 Februari mendatang, tetapi siswa sudah saatnya memilih kampus yang sesuai denganmu. Salah satunya mempertimbangkan biaya kuliah. Jalur SNBP adalah jalur non-tes yang biaya kuliahnya hanya Uang Kuliah Tunggal (UKT) saja. Walau begitu, masing-masing PTN menerapkan biaya kuliah yang disebut Uang Kuliah Tunggal (UKT) dengan nominal yang berbeda-beda. UKT ditetapkan berdasarkan ketentuan fakultas, pilihan program studi (prodi), dan kemampuan finansial orangtua maupun calon mahasiswa. Biaya ini wajib dibayar per semester. Mulai semester 1-7, sesuai durasi kuliah pada umumnya. Lalu, berapa biaya kuliah di Universitas Gadjah Mada (UGM), Universitas Indonesia (UI), Institut Teknologi Bandung (ITB), Institut Pertanian Bogor (IPB), dan Universitas Airlangga (Unair) jalur SNBP? UGM membagi UKT ke dalam enam kelompok dalam dua kategori besar. Yakni UKT Pendidikan Unggul dan UKT Pendidikan Unggul Bersubsidi. UKT Pendidikan Unggul ditetapkan secara berkeadilan untuk menciptakan pendidikan unggul sehingga dapat dijangkau seluruh masyarakat Indonesia. Sementara UKT Pendidikan Unggul Bersubsidi UGM adalah subsidi biaya kuliah sebesar 100 persen, 75 persen, 50 persen, atau 25 persen dari besaran nominal UKT Pendidikan Unggul. UKT Pendidikan Unggul Bersubsidi UGM 100 persen berlaku untuk UKT kelompok 1 dan 2, 75 persen untuk kelompok 3, 50 persen untuk kelompok 4, dan 25 persen untuk kelompok 5. Sedangkan, UKT Pendidikan Unggul berlaku untuk UKT kelompok 6. Contohnya, Jurusan Kedokteran S1 akan dikenakan UKT kelompok 1 dan 2 sebesar Rp 0. Sementara UKT S-1 Kedokteran kelompok 3 sebesar Rp 6.175.000, kelompok 4 Rp 12.350.000, kelompok 5 Rp 18.525.000, dan kelompok 6 Rp 24.700.000. Cek link berikut ini untuk mengetahui biaya kuliah UGM jalur SNBP secara lengkap  Berdasarkan informasi tahun ini, UI membagi UKT menjadi sebelas kelompok dengan besaran ratusan ribu hingga puluhan Rupiah."
http://www.kompas.com/edu/read/2025/11/06/091908471/11-universitas-swasta-terbaik-di-indonesia-versi-qs-asia-university-rankings,Edukasi,Edu News,2025-11-06T09:19:08,11 Universitas Swasta Terbaik di Indonesia Versi QS Asia University Rankings 2026,"Binus University , perguruan tinggi, universitas swasta terbaik di Indonesia, universitas swasta terbaik di indonesia 2026, qs asia university rankings 2026, qs aur 2026","Kegiatan QS Higher Ed Summit: Asia Pacific 2025 digelar pada 4 hingga 6 November 2025 di Seoul, Korea Selatan dan hasil pemeringkatan QS Asia University sudah diumumkan. Indonesia berhasil menempatkan 11 universitas swasta sebagai yang terbaik dalam daftar QS AUR 2026. Peringkat teratas swasta dipegang oleh Binus University. Menempati peringkat 165 di Asia serta posisi 45 di Asia Tenggara. Bagi Binus, kenaikan peringkat ini mencerminkan hasil dari berbagai inisiatif strategis yang dijalankan. Mulai dari penguatan kualitas akademik, peningkatan kolaborasi global, hingga kontribusi riset dan inovasi yang berdampak bagi masyarakat. Rektor Binus University, Dr. Nelly, S.Kom, M.M menyatakan bahwa capaian ini melingkupi kerja keras seluruh sivitas akademika kampus serta dukungan dari mitra nasional maupun internasional. ""Peningkatan peringkat ini merupakan hasil dari komitmen kami untuk terus bertransformasi dan menghadirkan dampak nyata, baik bagi Indonesia maupun dunia. Ini adalah langkah penting menuju visi kami untuk membina dan memberdayakan masyarakat dalam membangun dan melayani bangsa,"" ujar Dr. Nelly, dikutip dari siaran pers di situs resmi kampus, Kamis (6/11/2025). Hasil ini adalah tentang konsistensi, kolaborasi, dan semangat seluruh Binusian yang percaya bahwa pendidikan bisa membawa perubahan. ""Dari ruang-ruang kelas hingga forum global, Binus terus melangkah untuk menghadirkan dampak, membina dan memberdayakan masyarakat, membangun dan melayani bangsa,"" bunyi keterangan di akun Instagram @binusuniversityofficial, Selasa (4/11/2025). Pencapaian di QS World University Rankings: Asia 2026 menjadi momentum penting bagi Binus untuk terus memperluas jejaring dan kolaborasi internasional lewat berbagai kegiatan. Adapun 10 peringkat teratas area Asia dikuasai oleh universitas dari China daratan, Hong Kong, dan Singapura. Berikut Kompas.com rangkumkan 11 universitas swasta terbaik di Indonesia versi QS AUR 2026 yang bisa dijadikan rekomendasi calon mahasiswa dalam menentukan perguruan tinggi untuk kuliah tahun depan. 1. Bina Nusantara University (Binus) 2. Telkom University 3. Universitas Katolik Indonesia Atma Jaya (Unika Atma Jaya)"
http://www.kompas.com/edu/read/2025/11/06/151711871/pendidikan-ariel-noah-yang-akan-perankan-dilan-itb-1997,Edukasi,Edu News,2025-11-06T15:17:11,Pendidikan Ariel NOAH yang Akan Perankan Dilan ITB 1997,"Ariel NOAH, perguruan tinggi, Dilan ITB 1997, pendidikan ariel noah, ariel noah dilan itb 1997","Ariel vokalis band NOAH akan memerankan tokoh Dilan di film Dilan ITB 1997. Kabar yang diungkapkan oleh penulis novel Dilan ITB 1997 dan rumah produksi Falcon Pictures pada Rabu (5/11/2025) ini mengejutkan masyarakat. Namun tak sedikit yang menantikan penampilannya. Ariel yang biasa berdiri di belakang mikrofon punya alasan personal menerima tawaran berakting ini meskipun mula-mula sempat galau untuk memutuskannya. Pilihan tersebut ternyata berkaitan dengan mimpinya tentang pendidikan di masa remaja. Seperti apa pendidikan Ariel NOAH? Berikut Kompas.com rangkumkan profil singkat dan pendidikan Ariel Noah. Ariel lahir di Pangkalan Brandan, Sumatera Utara pada 16 September 1981. Nama aslinya Nazril Irham dengan latar belakang keluarga suku Minangkabau. Suatu hari Ariel sekeluarga pindah ke Bandung, Jawa Barat. Ia menghabiskan masa SMA di SMAN 23 Bandung dan lulus tahun 2000. Setelah tamat SMA ia tak langsung kuliah. Ariel melalui gap year satu tahun. Ia juga pernah mencoba mendaftar ke Jurusan Pertambangan namun tidak diterima. Ariel yang berbakat dalam menggambar kemudian kuliah di Universitas Parahyangan (Unpar), Bandung pada 2001. Bungsu dari tiga bersaudara ini bercita-cita menjadi insinyur. ""Aku sempat ambil kuliah jurusan Arsitek di Unpar karena aku bisa gambar dan mau jadi insinyur,"" kata Ariel saat dikutip Kompas.com dalam konten YouTube Soleh Solihun, Selasa (3/11/2020). Ternyata, Ariel sebenarnya bercita-cita kuliah di Institut Teknologi Bandung (ITB). Ia ingin menjadi mahasiswa Fakultas Seni Rupa dan Desain (FSRD) kampus bergengsi tersebut. ""Dulu setelah lulus SMA, saya sempat mendaftar ke FSRD ITB, tapi tidak diterima. Akhirnya saya kuliah arsitektur di Unpar,"" ujar Ariel, di kantor Falcon Pictures, Duren Tiga, Jakarta Selatan, Rabu (5/11/2025)."
http://www.kompas.com/edu/read/2025/11/07/081802671/ketika-universitas-terbaik-menolak-pemeringkatan-mengapa-kita-mengejarnya,Edukasi,Edu News,2025-11-07T08:18:02,"Ketika Universitas Terbaik Menolak Pemeringkatan, Mengapa Kita Mengejarnya","peringkat universitas, ranking universitas di Indonesia, menolak pemeringkatan universitas, mengejar peringkat universitas","DALAM dunia yang terobsesi peringkat, keputusan Universitas Sorbonne, institusi berusia 771 tahun yang melahirkan Marie Curie dan Jean-Paul Sartre, untuk keluar dari Times Higher Education Rankings pada 2026 bagaikan dentuman yang mengguncang fondasi industri pemeringkatan perguruan tinggi global. Seperti diberitakan oleh The Conversation, 30 September 2025, Presiden Universitas Sorbonne, Nathalie Drach-Temam, tidak main-main dalam kritiknya: ""Data yang digunakan untuk menilai kinerja universitas tidak terbuka atau transparan, dan reprodusibilitas hasil tidak dapat dijamin."" Pengumuman September 2025 ini sejalan dengan komitmen Sorbonne pada Coalition for Advancing Research Assessment (CoARA) yang ditandatangani 2022 dan Barcelona Declaration 2023, keduanya merekomendasikan untuk ""menghindari penggunaan ranking organisasi riset dalam penilaian riset."" Sorbonne tidak sendirian. Columbia University, Utrecht University, Yale Law School, Harvard Medical School, dan Johns Hopkins Medical School telah lebih dulu mengambil langkah serupa. Pertanyaannya: mengapa universitas paling bergengsi dunia justru meninggalkan sistem yang seharusnya mengukur keunggulan mereka? Dan apa implikasinya bagi Indonesia yang sedang mengejar peringkat internasional dengan penuh ambisi? Riset akademik mendokumentasikan masalah serius dalam metodologi ranking. Penggunaan metrik proxy yang buruk, composite indexing yang menggabungkan pengukuran tidak terkait, dan sistem pembobotan subjektif menciptakan ilusi objektivitas yang menyembunyikan keputusan arbitrer. Metodologi ini mengabaikan dampak lokal yang signifikan, panduan klinis nasional yang menyelamatkan nyawa atau riset pertanian yang meningkatkan ketahanan pangan lokal. Lebih mengejutkan lagi, organisasi pemeringkat menghasilkan pendapatan dengan menjual kembali data yang diberikan universitas secara gratis. Data institusional dikemas ulang dan dijual kembali ke institusi yang sama, pemerintah, dan korporasi dengan harga tinggi. Universitas yang menolak berpartisipasi tetap di-ranking dengan cara yang menghukum--biasanya diberi skor ""satu standar deviasi di bawah rata-rata"" untuk faktor yang datanya tidak tersedia. Ini bukan sistem evaluasi, ini sistem paksaan. Dampak paling merusak adalah distorsi prioritas institusional. Universitas yang seharusnya fokus pada pendidikan berkualitas dan riset bermakna malah menghabiskan sumber daya untuk konsultan ranking, akuntan yang ""mengoptimalkan"" data, dan administrator yang memanipulasi angka demi naik beberapa peringkat. Johns Hopkins Medical School menarik diri karena ""ranking mengukur hal yang salah."" Harvard dan Yale Law Schools keluar karena metodologi ""sangat cacat"" yang menghalangi mereka membantu mahasiswa kurang beruntung. Ranking berbasis output tahunan menciptakan tekanan jangka pendek yang tidak realistis. Hasil riset bermakna memerlukan waktu bertahun-tahun untuk terwujud, namun ranking menuntut hasil cepat, mendorong praktik tidak etis seperti publikasi massal tanpa substansi dan eksploitasi mahasiswa doktoral sebagai mesin produksi paper. Bagi Indonesia, gerakan penolakan ranking ini adalah momen kritis untuk refleksi. Selama ini, peningkatan ranking dianggap tujuan utama kebijakan pendidikan tinggi. Namun pertanyaan jarang diajukan: dengan harga apa pencapaian ini diraih? Berapa banyak riset relevan lokal yang diabaikan karena dianggap tidak cukup ""internasional""? Berapa banyak sumber daya yang dihabiskan untuk konsultan ranking yang seharusnya bisa diinvestasikan untuk laboratorium, beasiswa mahasiswa kurang mampu, atau kesejahteraan dosen? Gerakan penolakan ranking memberikan legitimasi pada pendekatan alternatif: membangun keunggulan berbasis konteks lokal. Indonesia memiliki aset intelektual unik--keanekaragaman hayati terbesar kedua dunia, kompleksitas sosial-budaya, ekonomi digital berkembang pesat, dan posisi strategis Indo-Pasifik. Bayangkan jika perguruan tinggi Indonesia mengembangkan pusat keunggulan: studi biodiversitas tropis, penelitian maritim, kajian masyarakat multikultural, energi terbarukan, atau teknologi pertanian berkelanjutan untuk iklim tropis. Program semacam ini tidak hanya relevan dengan kebutuhan nasional, tetapi juga unik secara global. Ketika peneliti asing ingin mempelajari dampak perubahan iklim terhadap negara kepulauan, deforestasi hutan tropis, atau demokratisasi di negara muslim terbesar, Indonesia harus menjadi destinasi pertama. Ini daya tarik autentik yang tidak dapat dibeli dengan optimasi indikator ranking. Sorbonne, Columbia, Yale, Harvard, dan Johns Hopkins. Kelima universitas terkemuka ini tidak keluar karena gagal. Mereka keluar karena cukup percaya diri menolak sistem yang tidak mencerminkan nilai dan misi mereka. Mereka memilih didefinisikan oleh kontribusi nyata terhadap pengetahuan dan masyarakat, bukan angka dalam tabel peringkat. Indonesia perlu mengambil pelajaran sama. Internasionalisasi tetap penting, tetapi bukan sebagai tujuan akhir. Ranking dapat digunakan sebagai referensi, tetapi bukan obsesi. Yang lebih fundamental adalah membangun institusi berkualitas tinggi dengan identitas kuat, relevan dengan konteks lokal namun diakui global karena keunikan dan kontribusinya. Keberhasilan sejati perguruan tinggi Indonesia bukan diukur dari posisi dalam QS atau THE Rankings, melainkan dari kemampuannya menghasilkan lulusan kompeten dan berkarakter, riset yang mengatasi masalah nyata bangsa, dan kontribusi terhadap kemajuan peradaban. Pertanyaan yang harus dijawab bukan ""Bagaimana kita naik peringkat?"" melainkan ""Untuk apa universitas kita ada?"" Jika jawabannya jelas--untuk mencerdaskan bangsa, mengatasi masalah nyata masyarakat, dan berkontribusi pada kemajuan kemanusiaan--maka ranking akan mengikuti dengan sendirinya, atau menjadi tidak relevan sama sekali."
http://www.kompas.com/edu/read/2025/11/07/193451271/7-ptn-di-pulau-jawa-yang-lulusannya-banyak-jadi-cpns-tiap-tahun,Edukasi,Edu News,2025-11-07T19:34:51,7 PTN di Pulau Jawa yang Lulusannya Banyak Jadi CPNS Tiap Tahun,"Perguruan tinggi, CPNS, PTN, lulusannya banyak jadi CPNS, PTN di pulau jawa","Jadwal Seleksi Calon Pegawai Negeri Sipil (CPNS) tahun 2025 maupun 2026 hingga kini belum diumumkan pemerintah. Sambil menunggu, ada satu informasi yang berguna buat siswa, mahasiswa yang ingin menjadi CPNS. Yaitu, ada 10 PTN yang lulusannya banyak jadi CPNS. Berdasarkan data Badan Kepegawaian Negara (BKN), dari 30.555 lulusan mahasiswa perguruan tinggi yang lolos CPNS 2019, berasal dari 10 PTN. Namun dari 10 PTN, ada tujuh yang berlokasi di Pulau Jawa. Ketujuh PTN di Jawa ini lulusannya banyak yang lolos CPNS dari tahun ke tahun. Bahkan jumlahnya mencapai angka ribuan Semua alumni mahasiswa ini menjadi peserta CPNS, dari total yang diterima pemerintah sebanyak 138.791 peserta CPNS. Jadi, mana saja PTN di Pulau Jawa yang lulusannya banyak jadi CPNS? Pada posisi nasional, diisi oleh Universitas Terbuka (UT). Kemudian diikuti oleh Universitas Gadjah Mada (UGM) dan Universitas Pendidikan Indonesia (UPI). Hanya ada tiga kampus dari luar Pulau Jawa yang masuk peringkat. Meski data ini dari tahun 2019, namun bisa menjadi acuan bagi siswa kelas 12, atau fresh graduate yang ingin tahu mana saja kampus yang banyak diserap menjadi PNS. Berikut datanya: Sementara kampus di luar Pulau Jawa yang masuk dalam daftar ini ialah Universitas Negeri Makassar (UNM) dengan 1.789 pelamar dinyatakan lolos. Lalu Universitas Sumatera Utara (USU), dengan 1.708 pelamar dinyatakan lolos. Posisi terakhir ada Universitas Sriwijaya (Unsri), dengan 1.630 pelamar dinyatakan lolos."
http://www.kompas.com/edu/read/2025/11/08/114637471/8-ekstrakurikuler-buat-masuk-sekolah-kedinasan-bisa-kuliah-gratis-dan-jadi,Edukasi,Edu News,2025-11-08T11:46:37,"8 Ekstrakurikuler buat Masuk Sekolah Kedinasan, Bisa Kuliah Gratis dan Jadi CPNS","sekolah, Perguruan tinggi, CPNS, ekstrakurikuler, Sekolah Kedinasan, ekstrakurikuler buat masuk sekolah kedinasan","Jika kamu adalah siswa SMA-SMK yang aktif di kegiatan ekstrakurikuler seperti OSIS, Pramuka, atau Paskibraka kamu bisa membuka peluang lebih besar untuk lolos sekolah kedinasan. Kegiatan semacam ini dinilai mencerminkan kepemimpinan, disiplin, dan kerja sama, nilai-nilai yang sangat dibutuhkan di dunia kedinasan. Melalui pengalaman di ekskul, siswa bisa memperoleh poin tambahan dan nilai unggul saat mengikuti seleksi, termasuk untuk sekolah kedinasan di bawah Kementerian Perhubungan (Kemenhub). Setiap tahun, Kemenhub membuka jalur pola pembibitan bagi lulusan SMA dan SMK sederajat yang ingin kuliah gratis sekaligus berkarier sebagai CPNS (Calon Pegawai Negeri Sipil) setelah lulus. Menariknya, bagi peserta yang memiliki prestasi atau aktif dalam kegiatan ekstrakurikuler, riwayat tersebut bisa dilampirkan sebagai poin tambahan dalam proses seleksi. Dengan begitu, kamu bisa memperoleh nilai unggul dibanding peserta lain. Namun, perlu dicatat bahwa sertifikat atau bukti kejuaraan yang dilampirkan harus sudah dikurasi oleh Pusat Prestasi Nasional (Puspresnas) agar dinilai sah dan diakui dalam seleksi. Sebelum mendaftar, penting untuk memahami bahwa sekolah kedinasan merupakan program pendidikan dari delapan kementerian dan lembaga yang menyiapkan lulusan SMA dan SMK menjadi abdi negara bertalenta. Berdasarkan persyaratan Sipencatar Kemenhub tahun 2025, ada 22 sekolah kedinasan Kemenhub yang dapat dipilih. Berikut 8 ekstrakurikuler yang bisa memperkuat peluangmu saat mendaftar sekolah kedinasan Kementerian Perhubungan (Kemenhub), terutama lewat jalur pola pembibitan: Kalau siswa mengikuti ekskul ini, maka bisa melampirkan prestasi yang ada. Kemenhub membuka kesempatan besar bagi siswa yang berprestasi jalur riset dan Inovasi. Deretan prestasi bidang ini, antara lain: Siswa yang ikut ekskul olahraga dan punya andil dalam Olimpiade Olahraga Siswa Nasional (O2SN), bisa mendaftar. Sama halnya dengan olahraga, jika siswa punya andil dalam: Bisa segera melampirkan sertifikat yang dimiliki. Suka debat? Maka hasil lomba debat dapat digunakan untuk mendaftar sekolah kedinasan Kemenhub. Caranya dengan melampirkan:"
http://www.kompas.com/edu/read/2025/11/08/155458571/ini-biaya-kuliah-binus-university-2026-untuk-semua-jurusan-s1,Edukasi,Edu News,2025-11-08T15:54:58,Ini Biaya Kuliah Binus University 2026 untuk Semua Jurusan S1,"calon mahasiswa, perguruan tinggi, Biaya kuliah Binus University, biaya kuliah Binus, biaya kuliah binus university 2026","Calon mahasiswa perlu mempersiapkan rencana B jika gagal masuk perguruan tinggi negeri. Salah satunya yakni dengan mendaftar di perguruan tinggi swasta (PTS). Kamu bisa mendaftar di salah satu perguruan tinggi swasta terbaik di Indonesia yakni Binus University (Universitas Bina Nusantara). Sebagai informasi, Binus University sudah mengumumkan biaya kuliah untuk tahun akademik 2026/2027. Berdasarkan pemeringkatan Quacquarelli Symonds World University Rankings (QS WUR) 2025, Binus University berada di posisi pertama untuk perguruan tinggi swasta terbaik di Indonesia. Pada rangking dunia, Binus University masuk dalam posisi 951-1.000 kampus terbaik. Biaya kuliah Binus University meliputi biaya semester 1, biaya laboratorium semester 1, biaya peralatan (dibayar hanya 1 kali), biaya sumbangan DP3 yang terdiri dari dua komponen. Yakni biaya normal dan biaya setelah beasiswa. Dilansir dari laman resminya, Sabtu (8/11/2025) berikut rincian biaya kuliah Binus University untuk semua jurusan S1. Biaya kuliah Binus University ini untuk tahun akademik 2026/2027 dan bisa dijadikan gambaran calon mahasiswa yang ingin kuliah di Binus University. 1. Desain Komunikasi Visual - Animasi, Desain Komunikasi Visual - Peran Kreatif, Desain Komunikasi Visual - Media Baru, Interior Desain, Film, Fashion 2. Cyber Security (Keamanan Siber), Aplikasi dan Teknologi Game, Artificial Intelligence (Kecerdasan Buatan), Ilmu Komputer, Data Science (Ilmu Data), Sistem Informasi, Business Analytics (Analis Bisnis) 3. Business Creation 4. International Business Management (Manajemen Bisnis Internasional), Global Business Marketing (Pemasaran Bisnis Global), Manajemen, Akuntansi, Finance, Perpajakan 5. Communication - Marketing Communication (Komunikasi Pemasaran), Communication - Digital Media Communication 6. Manajemen Hotel (D4), Event dan Travel Bisnis 7. Pariwisata 8. Hukum Bisnis, Psikologi 9. Arsitektur, Teknik Sipil, Teknik Industri"
http://www.kompas.com/edu/read/2025/11/09/122146571/13-sma-negeri-paling-berprestasi-di-indonesia-nomor-1-di-jakarta,Edukasi,Edu News,2025-11-09T12:21:46,"13 SMA Negeri Paling Berprestasi di Indonesia, Nomor 1 di Jakarta","sekolah, SMA Negeri, sma negeri paling berprestasi, sma Negeri paling berprestasi se-Indonesia","Masuk SMA negeri masih menjadi pilihan banyak siswa SMP atau MTs. Meski ada banyak SMA swasta yang menawarkan program unggulan menarik, tetapi pamor sekolah negeri masih memiliki daya tarik bagi siswa. Kalau ingin masuk SMA Negeri, siswa wajib mengikuti Sistem Penerimaan Murid Baru (SPMB) 2026 mendatang. Setiap tahun, SPMB digelar antara Mei-Juli. Terdapat jalur prestasi, zonasi, dan afirmasi. Karena masih ada waktu, ada baiknya memulai cari referensi SMA negeri paling berprestasi di Indonesia. SMA yang tergabung dalam peringkat tersebut adalah SMA swasta maupun negeri dari seluruh Indonesia yang tercatat dalam data Sistem Informasi Manajemen Talenta (SMIT). SIMT dikelola oleh Pusat Prestasi Nasional (Puspresnas) di bawah Kementerian Pendidikan Dasar dan Menengah (Kemendikdasmen). Terdapat 1699 SMA se-Indonesia masuk dalam daftar ini. Dengan hasil, urutan pertama dalam rangking tersebut diduduki oleh sekolah dari Kabupaten Sragen, Jawa Tengah, yakni SMA Trensains Muhammadiyah Sragen. Adapun SIMT merupakan pangkalan data yang mendukung pencatatan dan pemetaan talenta nasional yang terintegrasi dan berkelanjutan. Berdasarkan data SIMT, data ini dikumpulkan dari tahun 2024 hingga 2025. Jenjang prestasi ini dikumpulkan dari level satuan pendidikan, wilayah, kecamatan, kota/kabupaten, provinsi, nasional, sampai internasional. Berikut SMA negeri paling berprestasi di Indonesia yang bisa dijadikan referensi untuk ikut SPMB 2026 mendatang. 1. SMAN Unggulan M.H. Thamrin 2. SMA Negeri 3 Semarang 3. SMA Negeri 1 Semarang 4. SMAN 8 Jakarta"
