url,category,subcategory,tanggal_publish,judul_berita,tags,konten_berita,__source_file
https://megapolitan.kompas.com/read/2025/11/10/06060061/sejarah-dan-rumitnya-status-kepemilikan-menara-saidah-yang-tak-kunjung,News,,2025-11-10T06:06:00,Sejarah dan Rumitnya Status Kepemilikan Menara Saidah yang Tak Kunjung Direvitalisasi,"Menara Saidah, sejarah Menara Saidah, menara saidah punya siapa, menara saidah bekas apa, menara saidah milik siapa, Menara Saidah Jakarta, Menara Saidah miring, Menara Saidah kenapa kosong","Di antara padatnya arus kendaraan di Jalan MT Haryono, Jakarta Selatan, berdiri sebuah bangunan megah yang seolah terjebak di masa lalu. Pilar-pilar tinggi bergaya Korintus, patung marmer khas Italia, serta ukiran Eropa klasik kini kusam tertutup debu dan lumut. Gedung itu adalah Menara Saidah, ikon arsitektur era 1990-an yang kini menjelma menjadi simbol stagnasi tata kota Jakarta. Menara Saidah bukan sekadar gedung, melainkan monumen ambisi modernisasi Jakarta di penghujung dekade 1990-an. Dibangun oleh PT Hutama Karya dan rampung pada 1998, menara ini menelan biaya sekitar Rp 50 miliar. Awalnya bernama ""Gracindo Building"" dan dimiliki oleh Mooryati Soedibyo, pendiri Mustika Ratu. Kepemilikan gedung kemudian berpindah ke keluarga Saidah Abu Bakar Ibrahim, pemilik Merial Group. Putranya, Fajri Setiawan, melakukan renovasi besar-besaran dengan menambah jumlah lantai dari 18 menjadi 28 dan mengganti nama menjadi ""Menara Saidah"", mengabadikan nama sang ibu. Dikutip dari Arsip Harian Kompas (2 September 1999), gedung ini sempat menjadi kantor berbagai instansi penting, termasuk Sekretariat Panitia Pemilu 1999 (kini KPU) dan Kementerian Percepatan Pembangunan Kawasan Timur Indonesia. Kala itu, Menara Saidah menjadi pusat aktivitas bisnis dan pemerintahan. Bahkan, acara pernikahan artis Inneke Koesherawati dan Fahmi Darmawansyah digelar di sini pada 2004. Namun, di balik gemerlapnya, fondasi masalah mulai muncul. Tahun 2007 menjadi titik balik. Satu per satu penyewa hengkang setelah beredar kabar bahwa gedung miring beberapa derajat dan berisiko roboh. Hingga kini, tak pernah ada pernyataan resmi dari pihak pemilik maupun Suku Dinas Pengawasan dan Penertiban Bangunan (P2B) mengenai kondisi struktur tersebut. Pihak pengelola PT Gamlindo Nusa membantah isu kemiringan. Mereka menegaskan bahwa pengosongan terjadi semata karena masa sewa tenant telah berakhir. Namun, sejak saat itu, akses ke Menara Saidah ditutup total untuk umum. Warga sekitar menyebut sempat ada renovasi kecil pada 2015, tetapi berhenti dua bulan kemudian. Rencana pemerintah untuk mengambil alih pada 2016 pun tak pernah terealisasi. Kini, Menara Saidah hanya dijaga empat satpam, dikelilingi pagar seng berkarat setinggi dua meter bertuliskan besar "" Dilarang Masuk "". Menurut Kartika Andam Dewi, Ketua Sub Kelompok Penggunaan Bangunan Dinas Cipta Karya, Tata Ruang, dan Pertanahan (CKTRP) DKI Jakarta, hingga kini belum ada perkembangan berarti terkait status hukum, kondisi bangunan, maupun kepemilikannya. ""Sejauh ini belum ada update. Kalau tidak salah, satu atau dua tahun lalu sempat dibahas, tapi bukan di bawah kami. Sampai sekarang belum ada kabar terbaru lagi,"" ujar Kartika kepada Kompas.com, Jumat (7/11/2025). Ia menjelaskan, Menara Saidah masih terdaftar sebagai bangunan swasta, bukan aset Pemprov DKI.",kompas_news_scraped.csv
https://megapolitan.kompas.com/read/2025/11/10/07050061/menara-saidah-bayangan-kemegahan-yang-terbengkalai-di-tengah-megaproyek,News,,2025-11-10T07:05:00,"Menara Saidah, Bayangan Kemegahan yang Terbengkalai di Tengah Megaproyek Jakarta","Menara Saidah, bangunan terbengkalai, menara saidah punya siapa, menara saidah bekas apa, menara saidah milik siapa, kondisi menara saidah, Menara Saidah Jakarta, Menara Saidah miring, Menara Saidah kenapa kosong","Di antara hiruk-pikuk kendaraan di Jalan MT Haryono, Jakarta Selatan, berdiri sebuah menara yang seolah berhenti dalam waktu. Menara Saidah, dengan tiang-tiang korintus dan fasad bergaya Romawi klasik, kini hanya menjadi bayangan kemegahan masa lalu yang perlahan memudar di tengah pesatnya pembangunan Ibu Kota. Bangunan setinggi 28 lantai itu pernah menjadi simbol kemajuan kawasan bisnis Cawang pada awal 2000-an. Namun, hampir dua dekade berlalu, ia menjelma menjadi monumen bisu menggambarkan rumitnya tata kelola ruang Kota Jakarta dan lemahnya penegakan hukum terhadap aset-aset terabaikan. Penelusuran Kompas.com, Jumat (7/11/2025), menunjukkan bahwa Menara Saidah kini seperti artefak kota yang terlupakan. Di depan gedung, pagar seng berwarna abu-abu kusam setinggi dua meter membentang sepanjang sisi jalan, dengan tulisan besar berwarna merah: DILARANG MASUK. Setiap hari, orang-orang melintas hanya beberapa meter dari bangunan ini tanpa pernah benar-benar tahu apa yang tersisa di balik pagar itu. Begitu pagar seng dibuka oleh petugas keamanan, suasana berubah drastis. Sunyi. Hanya terdengar dengung mesin kendaraan dari kejauhan dan lolongan anjing penjaga di bawah naungan pohon besar yang tumbuh liar di depan lobi. Dua pos jaga kecil berdiri di sisi kanan dan kiri gerbang, terbuat dari kayu lapuk yang sebagian atapnya sudah bocor. ""Kami jaga empat orang, siang malam bergantian,"" ujar Juliadi (40), salah satu penjaga yang sudah bekerja di sana sejak 2014. ""Tugasnya cuma jaga biar enggak ada yang masuk tanpa izin. Banyak anak muda penasaran, kadang nekat manjat pagar,"" lanjutnya. Di halaman depan, lantai marmer yang dulu berkilau kini tertutup debu, pecahan genteng, dan dedaunan kering. Rumput liar tumbuh menembus sela ubin, membentuk lanskap alami yang menelan keanggunan desain arsitektur klasik Eropa yang dulu diagungkan. Fasad bangunan menampilkan enam pilar besar berwarna hijau tua dengan ukiran emas yang kini memudar. Ornamen berbentuk bunga teratai di atas atap lobi menghitam akibat jamur dan cuaca. Di bagian dalam lobi utama, dua patung klasik berwarna putih, satu berbentuk bust laki-laki dan satu lagi patung singa, duduk berdiri di tengah debu. Kedua patung itu kotor, tertutup jelaga dan sarang laba-laba, tetapi masih menjaga aura kemewahan masa lalu. Di langit-langit lobi, lukisan langit berwarna biru muda dengan awan putih masih tampak samar, diapit sisa ornamen emas di tepiannya. Lift yang dulu menjadi penghubung antar lantai kini hanya menyisakan poros besi vertikal tanpa kabin. Kabel-kabel menjuntai dari langit-langit, berkarat, dan sebagian putus. Dinding-dinding di sekitar tangga darurat mengelupas, menampakkan lapisan bata merah dan kerangka besi bangunan. Tangga sempit menuju lantai dua dan seterusnya tak diterangi cahaya. Udara terasa lembap dan berbau besi tua. Lantai atas tampak seperti ruang terbuka yang membisu. Beberapa ruangan kosong masih memiliki sisa meja, sebagian besar berdebu dan berkarat.",kompas_news_scraped.csv
https://nasional.kompas.com/read/2025/11/09/14444931/uang-suap-untuk-bupati-ponorogo-diterima-lewat-saudara-dan-ipar,News,,2025-11-09T14:44:49,Uang Suap untuk Bupati Ponorogo Diterima Lewat Saudara dan Ipar,"kasus suap, Ponorogo, Sugiri Sancoko, KPK, ott bupati ponorogo, bupati ponorogo ott, uang suap bupati ponorogo","Komisi Pemberantasan Korupsi (KPK) mendalami keterlibatan keluarga Bupati Ponorogo Sugiri Sancoko dalam kasus suap pengurusan jabatan serta proyek RSUD Ponorogo dan penerimaan lainnya di Pemkab Ponorogo. Dari hasil penyelidikan KPK, uang untuk pengurusan jabatan tidak langsung diterima Sugiri, melainkan saudaranya. ""Jadi Pak Bupati Ponorogo ini selalu tidak langsung untuk menerima uang. Jadi, ketika diberikan sejumlah uang, khususnya dari Yunus Mahatma selaku Direktur RSUD Dr. Harjono Kabupaten Ponorogo, dia tidak mau langsung menerima. Jadi, dilewatkan ke saudaranya,"" ujar Pelaksana Tugas (Plt) Deputi Penindakan dan Eksekusi KPK Asep Guntur Rahayu, di Gedung Merah Putih, Jakarta, Minggu (9/11/2025) dini hari. Asep menjelaskan, sejauh ini, sudah ada dua peristiwa yang melibatkan keluarga Sugiri, yaitu pada proses penyerahan uang pada 7 November 2025. Lalu penyerahan pada tahun 2024. ""Di yang tanggal 7 (November) kemarin, itu dilewatkan ke iparnya, saudara NNK. Kemudian, untuk uang dari proyek RSUD itu dilewatkan ke saudara Eli (ELW). Ini tahun 2024 sekitar Rp 950 juta dan Rp 450 juta,"" lanjut Asep. Asep menjelaskan, selama ini, penyerahan uang kepada Sugiri dilakukan secara berlapis, tidak langsung diterima oleh Bupati Ponorogo dua periode ini. Diberitakan sebelumnya, Sugiri bersama tiga orang lainnya ditetapkan sebagai tersangka dalam sejumlah kasus suap di Pemkab Ponorogo. Tiga orang yang juga ditetapkan sebagai tersangka adalah Agus Pramono selaku Sekretaris Daerah Kabupaten Ponorogo, Yunus Mahatma selaku Direktur RSUD Dr. Harjono Kabupaten Ponorogo, dan Sucipto selaku rekanan RSUD Ponorogo. ""Setelah ditemukan kecukupan alat bukti, KPK menetapkan 4 orang sebagai tersangka, yaitu Sugiri, Agus, Yunus, dan Sucipto,"" kata Asep. Sugiri dan para tersangka lainnya terjaring operasi tangkap tangan (OTT) pada Jumat (7/11/2025). Ia diketahui menyalahgunakan kewenangannya untuk mengatur jabatan di lingkungan Rumah Sakit Umum Daerah (RSUD). Atas perbuatannya, Sugiri dan Yunus diduga melakukan perbuatan tindak pidana korupsi sebagaimana diatur dalam Pasal 12 huruf a atau b dan/atau Pasal 11 dan/atau Pasal 12B UU TPK jo Pasal 55 ayat (1) ke-1 KUHP. Yunus, dalam hal pengurusan jabatan, diduga melakukan perbuatan tindak pidana korupsi sebagaimana diatur dalam Pasal 5 ayat (1) huruf a atau b, dan/atau Pasal 13 UU TPK. Sedangkan terhadap Sugiri, bersama-sama dengan Agus Pramono, diduga melakukan perbuatan tindak pidana korupsi sebagaimana diatur dalam Pasal 12 huruf a atau b dan/atau Pasal 11 dan/atau Pasal 12B UU TPK jo Pasal 55 ayat (1) ke-1 KUHP. Sucipto, dalam hal paket pekerjaan di lingkungan Pemkab Ponorogo, diduga melakukan perbuatan TPK sebagaimana diatur dalam Pasal 5 ayat (1) huruf a atau b, dan/atau Pasal 13 UU TPK.",kompas_news_scraped.csv
https://nasional.kompas.com/read/2025/11/09/17371611/prabowo-kumpulkan-pejabat-di-kertanegara-ada-menhan-hingga-ketua-mpr,News,,2025-11-09T17:37:16,"Prabowo Kumpulkan Pejabat di Kertanegara, Ada Menhan hingga Ketua MPR","Prabowo, Kertanegara, Presiden Prabowo, prabowo panggil menteri, prabowo kumpulkan menteri di kertanegara","Presiden Prabowo Subianto mengumpulkan sejumlah pejabat di kediamannya, Jalan Kertanegara, Selong, Kebayoran Baru, Jakarta Selatan, Minggu (9/11/2025). Pantauan Kompas.com, pejabat yang memasuki rumah Prabowo adalah Panglima TNI Jenderal Agus Subiyanto, Kapolri Jenderal Listyo Sigit Prabowo, dan Ketua MPR RI Ahmad Muzani. Selain itu, ada juga Menteri Kebudayaan Fadli Zon, dan Menteri Pertahanan Sjafrie Sjamsoeddin. Mereka tiba antara pukul 16.00 WIB sampai 17.00 WIB, dan kompak menggunakan kemeja batik. Belum diketahui maksud Prabowo mengumpulkan sejumlah pejabat di kediaman pribadinya tersebut. Namun, sejauh ini, situasi di depan rumah Presiden yang juga Ketua Umum Partai Gerindra itu dijaga ketat oleh petugas. Sebanyak dua mobil Maung buatan PT Pindad terlihat juga terparkir di Jalan Kertanegara. Sebagaimana diketahui, Presiden Prabowo memang kerap mengumpulkan para menterinya di hari Sabtu atau Minggu. Bahkan, saat meresmikan gedung layanan terpadu dan institut neurosains nasional RSPON Dr. Mahar Mardjono di Cawang, Jakarta Timur pada Selasa, 26 Agustus 2025, Prabowo mengaku kasihan pada para menterinya. Sebab, para menteri Kabinet Merah Putih harus bekerja tujuh hari dalam seminggu tanpa hari libur demi mengejar target-target pemerintah. ""Makanya saya ini sebetulnya ya ada kasihan juga sama menteri-menteri saya itu. Karena di Kabinet Merah Putih kata mereka enggak ada hari merah di kalender. We work seven days a week,"" kata Prabowo, Selasa.",kompas_news_scraped.csv
https://nasional.kompas.com/read/2025/11/09/19192651/besok-prabowo-bakal-umumkan-10-pahlawan-nasional-soeharto-masuk,News,,2025-11-09T19:19:26,"Besok, Prabowo Bakal Umumkan 10 Pahlawan Nasional, Soeharto Masuk","Prabowo, pahlawan nasional, gelar pahlawan nasional, Soeharto, hari pahlawan, Soeharto diusulkan jadi pahlawan nasional, so american, soeharto pahlawan nasional","Presiden Prabowo Subianto dijadwalkan mengumumkan sepuluh nama calon penerima gelar Pahlawan Nasional pada Senin (10/11/2025) besok. Pengumuman tersebut bertepatan dengan peringatan Hari Pahlawan yang jatuh setiap tanggal 10 November. ""Besok, Insya Allah akan diumumkan. Iya (oleh Presiden Prabowo langsung). Kurang lebih sepuluh nama,"" kata Menteri Sekretaris Negara Prasetyo Hadi di Jalan Kertanegara, Selong, Kebayoran Baru, Jakarta Selatan, Minggu (9/11/2025). Saat ditanya apakah Presiden ke-2 RI Soeharto masuk dalam sepuluh daftar nama tersebut, Prasetyo pun membenarkannya. ""Ya, masuk, masuk,"" ujar Prasetyo. Prasetyo lalu menjelaskan, alasan pemerintah hendak memberikan gelar kepada sepuluh orang itu karena dianggap telah berjasa kepada bangsa ini. ""Itu kan bagian dari bagaimana kita menghormati para pendahulu, terutama para pemimpin kita, yang apa pun sudah pasti memiliki jasa yang luar biasa terhadap bangsa dan negara,"" katanya. Diberitakan sebelumnya, Dewan Gelar Tanda Jasa, dan Tanda Kehormatan (GTK) mengkaji 49 nama yang diusulkan mendapatkan gelar Pahlawan Nasional tahun 2025. Di antara deretan nama itu, beberapa mencuri perhatian publik. Ada Presiden ke-2 RI Soeharto, Presiden ke-4 RI Abdurrahman Wahid atau Gus Dur, hingga aktivis buruh Marsinah. Usulan itu datang dari berbagai kalangan, mulai dari tingkat kabupaten/kota hingga lembaga pusat. Tak heran, sejumlah nama pun menuai perdebatan. Namun, sebanyak 500 aktivis dan akademisi belum lama ini menyatakan penolakan terhadap usulan pemberian gelar Pahlawan Nasional kepada Soeharto. Sikap serupa juga disampaikan Kepala Badan Sejarah Indonesia DPP Partai Demokrasi Indonesia Perjuangan (PDI-P), Bonnie Triyana. Tetapi, di sisi lain, ada pula pihak yang mendukung Soeharto untuk dianugerahi gelar tersebut. Dukungan di antaranya datang dari sejumlah organisasi massa (ormas) Islam, seperti Pengurus Besar Nahdlatul Ulama (PBNU) dan Majelis Ulama Indonesia (MUI).",kompas_news_scraped.csv
https://nasional.kompas.com/read/2025/11/09/19284171/istana-benarkan-soeharto-dapat-gelar-pahlawan-nasional,News,,2025-11-09T19:28:41,Istana Benarkan Soeharto Dapat Gelar Pahlawan Nasional,"istana, Prabowo, pahlawan nasional, Soeharto, Mensesneg, gelar pahlawan nasional, Soeharto diusulkan jadi pahlawan nasional, soeharto pahlawan nasional, Soeharto diusulkan terima gelar pahlawan nasional, Soeharto pahlawan nasional atau bukan","Menteri Sekretaris Negara (Mensesneg) Prasetyo Hadi membenarkan bahwa Presiden ke-2 RI Soeharto bakal mendapatkan gelar Pahlawan Nasional. Pemberian gelar Pahlawan Nasional itu bakal diberikan langsung oleh Presiden Prabowo Subianto pada Senin (10/11/2025) besok. ""Ya, masuk, masuk,"" jawab Prasetyo saat ditanya apakah Soeharto masuk dalam daftar nama yang mendapat gelar Pahlawan Nasional, saat ditemui di Kertanegara, Kebayoran Baru, Jakarta Selatan, Minggu (9/11/2025). Kemudian, Prasetyo menyebut, ada setidaknya 10 nama yang akan mendapatkan gelar Pahlawan Nasional tahun 2025. ""Besok, Insya Allah akan diumumkan. Iya (oleh Presiden Prabowo langsung. Kurang lebih sepuluh nama,"" ujarnya. Namun, Prasetyo belum mengungkapkan sembilan nama lainnya. Dia hanya membenarkan bahwa Soeharto termasuk dalam daftar yang mendapat gelar Pahlawan Nasional. Diberitakan sebelumnya, Dewan Gelar Tanda Jasa, dan Tanda Kehormatan (GTK) mengkaji 49 nama yang diusulkan mendapatkan gelar Pahlawan Nasional tahun 2025. Di antara deretan nama itu, beberapa mencuri perhatian publik. Ada Presiden ke-2 RI Soeharto, Presiden ke-4 RI Abdurrahman Wahid atau Gus Dur, hingga aktivis buruh Marsinah. Usulan itu datang dari berbagai kalangan, mulai dari tingkat kabupaten/kota hingga lembaga pusat. Tak heran, sejumlah nama pun menuai perdebatan. Namun, sebanyak 500 aktivis dan akademisi belum lama ini menyatakan penolakan terhadap usulan pemberian gelar Pahlawan Nasional kepada Soeharto. Sikap serupa juga disampaikan Kepala Badan Sejarah Indonesia DPP Partai Demokrasi Indonesia Perjuangan (PDI-P), Bonnie Triyana. Tetapi, di sisi lain, ada pula pihak yang mendukung Soeharto untuk dianugerahi gelar tersebut. Dukungan di antaranya datang dari sejumlah organisasi massa (ormas) Islam, seperti Pengurus Besar Nahdlatul Ulama (PBNU) dan Majelis Ulama Indonesia (MUI).",kompas_news_scraped.csv
https://nasional.kompas.com/read/2025/11/10/09565511/densus-88-terduga-pelaku-ledakan-di-sman-72-bawa-7-peledak-4-meledak-di,News,,2025-11-10T09:56:55,"Densus 88: Terduga Pelaku Ledakan di SMAN 72 Bawa 7 Peledak, 4 Meledak di Lokasi","Densus 88, ledakan SMAN 72 Jakarta, ledakan SMAN 72, Korban ledakan SMAN 72, sman 72 jakut","Juru Bicara Detasemen Khusus (Densus) 88 Antiteror Polri, AKBP Mayndra Eka Wardhana, mengungkapkan bahwa terduga pelaku peledakan di SMAN 72 Kelapa Gading, Jakarta Utara, membawa tujuh peledak. ""Benar bahwa ditemukan tujuh peledak,"" kata Mayndra kepada Kompas.com, Senin (10/11/2025). Dari tujuh peledak yang dibawa terduga pelaku, empat di antaranya meledak di dua lokasi. Sementara, tiga peledak lainnya tidak meledak. ""TKP 1 (Masjid) dua bom meledak, TKP 2 Taman Baca dan Bank Sampah terdapat dua bom meledak. Tiga yang tidak meledak,"" jelasnya. Mayndra juga menyebut bahwa pihaknya telah mengetahui jenis peledak yang dibawa itu. Namun, ia enggan memerinci detail jenis peledak tersebut. ""Untuk jenisnya telah diketahui, dan bisa ditanyakan kepada otoritas Brimob Gegana atau Polda Metro Jaya,"" terang Mayndra. Sebelumnya diberitakan, ledakan terjadi pada Jumat (7/11/2025) sekitar pukul 12.15 WIB di lingkungan SMAN 72 Jakarta yang berada di kompleks Kodamar TNI Angkatan Laut, Kelapa Gading. Berdasarkan keterangan saksi, letusan pertama terdengar saat khotbah Jumat sedang berlangsung, disusul ledakan kedua dari arah berbeda. Peristiwa tersebut menyebabkan puluhan korban mengalami luka bakar dan luka akibat serpihan, serta menimbulkan kepanikan di lingkungan sekolah dan masyarakat sekitar. Dari hasil penyelidikan awal, pelaku diduga merupakan salah satu siswa sekolah tersebut.",kompas_news_scraped.csv
https://nasional.kompas.com/read/2025/11/10/11521681/titiek-peluk-hangat-bambang-tutut-usai-soeharto-diberi-gelar-pahlawan,News,,2025-11-10T11:52:16,Titiek Peluk Hangat Bambang-Tutut Usai Soeharto Diberi Gelar Pahlawan Nasional,"Prabowo, Titiek Soeharto, Bambang Trihatmodjo, tutut soeharto, Soeharto, Soeharto pahlawan nasional","Anak-anak Presiden ke-2 RI Soeharto tampak berpelukan usai sang ayah mendapat gelar pahlawan nasional dari Presiden Prabowo Subianto di Istana Negara, Kompleks Istana Kepresidenan, Jakarta Pusat, Senin (10/11/2025). Momen itu terjadi saat pemberian selamat dari undangan yang hadir kepada keluarga pahlawan nasional, sebelum acara selesai pasca Keputusan Presiden (Keppres) pemberian gelar pahlawan nasional dibacakan. Di sana, Titiek Soeharto sebagai anggota DPR RI turut hadir, dan berbaris bersama para menteri untuk memberikan selamat kepada keluarga. Setibanya di hadapan kedua kakaknya, Bambang Trihatmodjo dan Siti Hardiyanti Rukmana atau Tutut Soeharto, Titiek tampak memeluk keduanya bergantian. Raut wajah cerah juga diperlihatkannya, sembari menepuk punggung sang kakak berkali-kali. Setelahnya, Menteri Koordinator Bidang Hukum, HAM, Imigrasi, dan Pemasyarakatan, Yusril Ihza Mahendra yang berbaris di belakang Titiek tampak ikut menyalami Bambang dan Tutut. Adapun Soeharto menjadi pahlawan nasional di bidang perjuangan bersenjata dan politik. Ia diberikan gelar lantaran perjuangan yang menonjol sejak masa kemerdekaan. ""Jenderal Soeharto menonjol sejak masa kemerdekaan. Sebagai wakil komandan BKR Yogyakarta ia memimpin pelucutan senjata di Jepang, Kota Baru 1945,"" sebut narator saat Prabowo memberikan tanda gelar kepada ahli waris yang menerima. Totalnya, ada 10 nama yang diberikan pahlawan nasional oleh Presiden Prabowo hari ini. Berikut nama-namanya: 1. Almarhum K.H. Abdurrahman Wahid (Bidang Perjuangan Politik dan Pendidikan Islam) 2. Almarhum Jenderal Besar TNI H. M. Soeharto (Bidang Perjuangan Bersenjata dan Politik) 3. Almarhumah Marsinah (Bidang Perjuangan Sosial dan Kemanusiaan) 4. Almarhum Prof. Dr. Mochtar Kusumaatmadja (Bidang Perjuangan Hukum dan Politik) 5. Almarhumah Hajjah Rahmah El Yunusiyyah (Bidang Perjuangan Pendidikan Islam) 6. Almarhum Jenderal TNI (Purn) Sarwo Edhie Wibowo (Bidang Perjuangan Bersenjata) 7. Almarhum Sultan Muhammad Salahuddin (Bidang Perjuangan Pendidikan dan Diplomasi) 8. Almarhum Syaikhona Muhammad Kholil (Bidang Perjuangan Pendidikan Islam) 9. Almarhum Tuan Rondahaim Saragih (Bidang Perjuangan Bersenjata) 10. Almarhum Zainal Abidin Syah (Bidang Perjuangan Politik dan Diplomasi)",kompas_news_scraped.csv
https://nasional.kompas.com/read/2025/11/10/11551911/mengenal-mochtar-kusumaatmadja-menteri-era-soeharto-yang-resmi-jadi-pahlawan,News,,2025-11-10T11:55:19,"Mengenal Mochtar Kusumaatmadja, Menteri Era Soeharto yang Resmi Jadi Pahlawan Nasional","pahlawan nasional, Prabowo Subianto, Mochtar Kusumaatmadja, gelar pahlawan nasional, Gelar Pahlawan Nasional 2025, Mochtar Kusumaatmadja pahlawan nasional, Mochtar Kusumaatmadja ditetapkan jadi pahlawan nasional, Mochtar Kusumaatmadja dianugerahkan gelar pahlawan nasional","Presiden Prabowo Subianto menganugerahkan gelar pahlawan nasional kepada Mochtar Kusumaatmadja. Mochtar Kusumaatmadja yang merupakan tokoh dari Provinsi Jawa Barat ditetapkan sebagai pahlawan dalam bidang perjuangan hukum dan politik. Perjuangan Mochtar Kusumaatmadja yang paling menonjol adalah gagasannya tentang konsep negara kepulauan yang digunakan oleh Djuanda Kartawidjaja dalam mendeklarasikan Djuanda pada 1953. Lantas, siapakah Mochtar Kusumaatmadja yang dianugerahi gelar pahlawan nasional oleh Prabowo? BErikut profilnya: Mochtar Kusumaatmadja lahir 17 Februari 1929, di Batavia, Hindia Belanda. Ayahnya merupakan seorang apoteker yang berasal dari Tasikmalaya. Sedangkan ibunya adalah anak dari Bajuri Surawisastra pemilik Pondok Pesantren Balerante Palimanan, Cirebon. Ia merupakan lulusan S1 Fakultas Hukum Universitas Indonesia pada 1955. Setelah itu, ia melanjutkan studi di Yale University, Amerika Serikat. Mochtar Kusumaatmadja dikenal sebagai akademisi yang akhirnya mengantarnya menjadi Dekan Fakultas Hukum Universitas Padjadjaran. Di sana, Mochtar Kusumaatmadja menghasilkan banyak karya dan pemikiran tentang hukum laut, batas darat, serta batas laut teritorial. Namanya dikenal sebagai arsitek utama konsep ""Wawasan Nusantara"" dalam hukum laut, yang kemudian menjadi dasar perjuangan Indonesia di forum internasional hingga menghasilkan pengakuan Zona Ekonomi Eksklusif (ZEE). Pada 1972, Kusumaatmadja diangkat menjadi Rektor Unpad. Namun, jabatan tersebut tidak bertahan lama, karena pada 1974, ia dipercaya oleh Presiden Soeharto menjadi Menteri Kehakiman dalam Kabinet Pembangunan II. Setelah selesai menjadi Menteri Kehakiman pada 1978, ia lanjut duduk dalam Kabinet Pembangunan III sebagai Menteri Luar Negeri (Menlu). Puncak prestasi yang ia peroleh selama menjadi Menlu adalah diterimanya konsep Negara Kepulauan dalam Konvensi Hukum Laut 1982. Selepas menjadi Menlu, Kusumaatmadja masih aktif berkegiatan di berbagai forum internasional, seperti menjadi anggota Komisi Hukum Internasional PBB selama dua tahun. Mochtar Kusumaatmadja meninggal dunia pada 6 Juni 2021 dalam usia 92 tahun.",kompas_news_scraped.csv
https://nasional.kompas.com/read/2025/11/10/12035391/kejagung-usut-dugaan-korupsi-pengadaan-minyak-mentah-bumn-sudah-naik,News,,2025-11-10T12:03:53,"Kejagung Usut Dugaan Korupsi Pengadaan Minyak Mentah BUMN, Sudah Naik Penyidikan","minyak mentah, Kejaksaan Agung, dugaan korupsi, Pertamina Energy Trading, pengadaan minyak mentah, pengadaan minyak mentah BUMN","Kejaksaan Agung (Kejagung) tengah mengusut dugaan tindak pidana korupsi dalam pengadaan minyak mentah pada perusahaan Pertamina Energy Trading Limited (Petral) atau Pertamina Energy Services Pte Ltd (PES). Kasus tersebut kini telah naik ke tahap penyidikan sejak Oktober 2025. ""Sudah naik penyidikan,"" kata Kepala Pusat Penerangan Hukum (Kapuspenkum) Kejagung Anang Supriatna, kepada wartawan, Senin (10/11/2025). Meski sudah berada di tahap penyidikan, Anang menegaskan bahwa belum ada tersangka yang ditetapkan dalam perkara tersebut. Anang mengatakan, koordinasi tengah dilakukan antara Kejagung dan Komisi Pemberantasan Korupsi (KPK), mengingat lembaga antirasuah itu juga disebut turut menelusuri dugaan korupsi serupa di sektor pengadaan minyak mentah Pertamina. ""Sedang dikoordinasikan dengan KPK,"" ucap Anang. Namun, Anang belum dapat menjelaskan lebih jauh mengenai perbedaan fokus penyelidikan antara Kejagung dan KPK dalam perkara ini. ""Belum tahu pasti, tapi koordinasi saat ini sedang berjalan,"" ujar dia. Terkait dengan tindakan lanjutan seperti penggeledahan, Anang mengatakan, hingga saat ini belum ada informasi resmi dari penyidik. Sebelumnya, KPK menerbitkan surat perintah penyidikan (sprindik) umum terkait kasus dugaan korupsi minyak mentah dan produk kilang di Pertamina Energy Trading Limited (PETRAL)/Pertamina Energy Service Pte. Ltd. (PES) periode tahun 2009-2015. Juru Bicara KPK Budi Prasetyo mengatakan, sprindik umum diterbitkan setelah ditemukan adanya kerugian keuangan negara dalam perkara tersebut. Meski demikian, dia belum mengungkapkan jumlah kerugian negara dalam perkara tersebut. ""Oleh karena itu, KPK menerbitkan Surat Perintah Penyidikan (SPRINDIK) baru,"" kata Budi, dalam keterangannya, Senin (3/11/2025).",kompas_news_scraped.csv
