url,category,subcategory,tanggal_publish,judul_berita,tags,konten_berita
https://money.kompas.com/read/2019/08/01/124215826/kompascom-kembali-jadi-pemenang-kategori-media-online-tepercaya,Otomotif,News,2019-08-01 12:42:15,Kembali Jadi Pemenang Kategori Media Online Tepercaya.,"media online, Kompas.com, Superbrands","Superbrands, lembaga arbiter internasional untuk brand terkemuka bersama lembaga survei Nielsen kembali memberikan apresiasi kepada merek-merek terbaik Indonesia. Untuk kategori Trusted Online Media (media online tepercaya), tampil sebagai pemenang di antara ribuan media online yang tumbuh dan berkembang di era digital di Indonesia. Pada 2018, Dewan Pers mencatat, setidaknya ada 43. 000 media online di Indonesia. Dari puluhan ribu media online itu, tidak lebih dari 200 media online yang dikategorikan terverifikasi. Pengumuman pemenang dan pemberian penghargaan sebagai media online tepercaya dilakukan pada Gala Awards Superbrands 2019 di Ballroom 1, Sheraton Gandaria, Jakarta, Jumat, 26 Juli 2019. Superbrands adalah lembaga yang sudah berdiri selama lebih dari 26 tahun di lebih dari 86 negara. Atas pengakuan dan penghargaan Superbrands 2019 sebagai media online tepercaya ini, Pemimpin Wisnu Nugroho mengucapkan terima kasih khususnya kepada para pembaca. “Pengakuan dan penghargaan ini adalah peneguh atas upaya selama 23 tahun lebih untuk menjadi media rujukan tepercaya bagi para pembaca, ” ujar Wisnu di Jakarta, Kamis (1/8/2019). yang didirikan pada 14 September 1995, penghargaan sebagai media online tepercaya merupakan penghargaan berturut-turut kedua setelah pada 2018 mendapat penghargaan yang sama. “Terima kasih pertama-tama untuk para pembaca, ” ujar Wisnu Nugroho. Dalam satu tahun terakhir, sebagai media online tepercaya, berperan dalam jaringan internasional penguji fakta (International Fact Checking Network/IFCN) untuk melawan hoaks dan mengungkapkan kebenaran dengan kerja-kerja jurnalistik. Terkait pemberian penghargaan ini, CEO Superbrands Indonesia Grandtyana Mayasari mengatakan, penghargaan yang diraih para pemilik brand merupakan bukti pencapaian. “ Brand yang mendapat Superbrands Awards 2019 telah menjadi TOP of Mind yang mendapat tempat sangat spesial di mata para konsumen, melalui inovasi-inovasi yang dilakukan selama ini, ” ujar Grandtyana. Acara Gala Awards Superbrands Indonesia 2019 dihadiri sekitar 40 brand terkemuka di Indonesia yang mendapatkan status dan penghargaan berdasarkan penilaian yang dilakukan oleh Nielsen dengan 38 kategori penghargaan."
https://otomotif.kompas.com/read/2025/11/09/204528915/hasil-motogp-portugal-2025-bezzecchi-juara-marquez-kedua,Otomotif,News,2025-11-09 20:45:28,"GP Portugal 2025: Bezzecchi Juara, Marquez Kedua.","MotoGP, balap motor, MotoGP Portugal, motogp 2025, MotoGP Portugal 2025","MotoGP Portugal 2025 yang digelar di Sirkuit Algarve, Portimao, dimenangkan oleh Marco Bezzecchi. Diikuti Alex Marquez di urutan kedua dan Pedro Acosta ketiga. Jalannya balapan dipimpin oleh Marco Bezzecchi yang memulai balapan dari pole position, diikuti oleh Pedro Acosta di urutan kedua dan Alex Marquez di urutan ketiga. Belum lama balapan dimulai, Franco Morbidelli mengalami low side di tikungan kelima. Pebalap VR46 itu mencoba memotong ke dalam, melebar, kemudian berusaha memotong kembali di tengah tikungan, hingga akhirnya bersenggolan dengan pebalap KTM Pol Espargaro. Aksi saling susul yang cukup seru juga terjadi memasuki lap kedua antara Alex dan Acosta untuk memperebutkan urutan kedua. Acosta bahkan sempat kehilangan kendali sepeda motornya dan nyaris terjatuh, beruntungnya hal tersebut bisa diatasi. A MASSIVE moment there for? #PortugueseGP? pic. twitter. com/0YuYEhRwzJ Pada lap ketiga pebalap Honda Joan Mir memasuki pit lane, masih belum diketahui penyebabnya. Tak lama Enea Bastianini juga menyusul masuk ke pit lane. Kedua pebalap tersebut tidak mengalami kecelakaan. Memasuki lap kedepana, Bezzecchi masih unggul di depan, dengan gap 0, 5 detik dari Alex yang berada di urutan kedua. Acosta masih berada diurutan ketiga, diikuti oleh Francesco Bagnaia di urutan keempat dan Fabio Quartararo di posisi kelima. Tak berselang lama, Bastianini kembali ke lintasan. Tampaknya kontak dengan Morbidelli di tikungan kelima menyebabkan kerusakan pada roda depan Bastianini. Hal inilah yang menyebabkan dirinya masuk pit. Namun, Bastianini kini telah tertinggal di belakang dan berada di posisi ke-19. Kontak juga sempat terjadi antara Brand Binder dan Fermin Aldeguer pada lap ke-10. Namun, senggolan itu tidak menyebabkan kecelakaan dan keduanya masih melanjutkan balapan. Another Sunday crash from? This may put a massive dent on his chances to finish 3rd in the Championship? #PortugueseGP? pic. twitter. com/jdZ021RtjD Memasuki lap ke-11, pebalap tim pabrikan Ducati, Bagnaia mengalami low side. Insiden ini otomatis membuat Bagnaia harus mengikhlaskan posisi ketiga kejuaraan dunia 2025 kepada Bezzecchi. Ini sekaligus menjadi kecelakaan keempat berturut-turut bagi pebalap Italia tersebut. Dia kehilangan kendali bagian depan saat pengereman karena lintasan datar di puncak bukit di sana. Aksi side by side cukup seru juga disajikan oleh Quartararo dan Binder untuk memperebutkan posisi kelima. Namun, Quartararo masih belum berhasil menyusul Binder. Pada lap ke 17, Bezzecchi makin menjauhi Alex yang berada di urutan kedua dengan gap 2, 5 detik."
https://otomotif.kompas.com/read/2025/11/09/211040115/klasemen-motogp-2025-usai-gp-portugal-duo-mrquez-di-posisi-puncak,Otomotif,News,2025-11-09 21:10:40,GP 2025 Usai GP Portugal: Duo Márquez di Posisi Puncak.,"MotoGP, klasemen, MotoGP Portugal","Marco Bezzecchi tampil gemilang di Grand Prix Portugal 2025 setelah sukses finis pertama di Sirkuit Algarve, Portimão. Pebalap Aprilia Racing itu memimpin sejak pertengahan lomba dan menahan tekanan hebat dari Álex Márquez hingga garis finis. Kemenangan ini menjadi momen penting bagi Bezzecchi, yang sebelumnya kesulitan menembus podium utama dalam beberapa seri terakhir. Sementara itu, Álex Márquez finis kedua dan menambah poin berharga untuk menjaga posisinya di klasemen. Meski begitu, di puncak klasemen Marc Márquez masih terlalu tangguh. Pebalap Ducati Lenovo Team itu tetap kokoh di posisi teratas dengan 545 poin, unggul jauh dari para rivalnya meski gagal naik podium di Portugal. Di bawah Marc, Álex Márquez kini mengoleksi 445 poin, memperkuat posisi runner-up setelah tampil impresif di Portimão. Bezzecchi pun merangkak ke urutan ketiga dengan 323 poin, disusul Francesco Bagnaia (288 poin) dan Pedro Acosta (285 poin). Hasil Klasemen usai MotoGP"
https://otomotif.kompas.com/read/2025/11/10/074200515/pemulihan-lancar-marc-marquez-segera-kembali-ke-atas-motor,Otomotif,News,2025-11-10 07:42:00,"Pemulihan Lancar, Marc Marquez Segera Kembali ke Atas Motor.","MotoGP, Marc Marquez, Ducati, Marquez","Manajer, Marc Marquez yaitu Jaime Martinez menyebut proses pemulihan cedera bahu Marquez berjalan dengan baik. Martinez bahkan berujar bahwa jika sesuai rencana juara dunia MotoGP tujuh kali itu bakal""segera kembali menunggangi motor. "" “Proses pemulihan berjalan dengan baik, selangkah demi selangkah, ” kata Martinez di sela-sela MotoGP Portugal, dikutip dari Crash, Senin (10/11/2025). “Kami mengikuti semua saran dokter dengan ketat, dan benar-benar menyesuaikan dengan waktu yang diperlukan. Tapi sejauh ini semuanya berjalan sangat baik, ” ujarnya. Seperti diketahui, Marquez mengalami cedera bahu kanan cukup serius setelah bersenggolan dengan pebalap Aprilia, Marco Bezzecchi, pada lap pertama MotoGP Indonesia 2025. Cedera tersebut memaksanya absen hingga akhir musim. Awalnya, tim medis belum menilai perlu adanya operasi. Namun, demi mempercepat proses pemulihan, Marquez akhirnya menjalani tindakan pembedahan. Menurut Martinez, pemulihan pebalap Ducati Corse itu menunjukkan perkembangan menggembirakan dan diharapkan rampung sebelum tes pramusim MotoGP 2026 dimulai. Ketika ditanya kapan Marquez akan kembali menunggangi motor, Martinez menjawab hal itu tergantung keputusan tim medis. “Itu lebih tergantung pada dokter, yang pasti, kami sadar ini cedera serius yang butuh kesabaran. Begitu dokter memberi lampu hijau, dia akan langsung naik motor lagi, ” kata Martinez. “Dia terus berusaha setiap hari untuk memperbaiki kondisinya, dan saya pikir dalam waktu dekat dia akan kembali menunggangi motor, ” lanjutnya. Sebelumnya, petugas medis MotoGP, Dr. Angel Charte, menilai keputusan Marquez mengakhiri musim lebih awal merupakan langkah tepat. Pasalnya berkaca pada cedera pada 2020 silam, memaksakan diri kembali terlalu cepat justru bisa memperburuk kondisinya dan mengancam karier. Cedera bahu kanan ini dialami hanya sepekan setelah Marquez merebut gelar juara dunia MotoGP ketujuhnya dan yang pertama dalam enam tahun terakhir. Beruntung, cedera tersebut tidak memperparah kondisi tulang humerusnya yang pernah patah akibat kecelakaan lima tahun lalu. Untuk dua seri terakhir musim ini di Portugal dan Valencia, posisi Marquez akan digantikan oleh bintang Ducati World Superbike, Nicolo Bulega."
https://otomotif.kompas.com/read/2025/11/10/084200215/tantangan-suzuki-menjual-satria-pro-di-tengah-lautan-motor-matik,Otomotif,News,2025-11-10 08:42:00,Tantangan Suzuki Menjual Satria Pro di Tengah Lautan Motor Matik.,"motor matik, Satria F150, Teuku Agha, Satria Pro","Suzuki Indomobil Sales (SIS) resmi meluncurkan Satria F150 dan Satria Pro belum lama ini. Dengan harga mulai Rp 31 juta, Satria F150 dan Pro akan bersaing di pasar motor yang mayoritas diisi oleh motor matik. Sebelumnya, Satria memang terkenal sebagai motor untuk anak muda. Namun, saat ini kebanyakan remaja lebih memilih motor matik, baik yang berkapasitas 150cc atau di bawahnya, daripada motor bebek sporty. Teuku Agha, 2W Sales & Marketing Department Head PT SIS, mengatakan bahwa dahulu pangsa pasar Satria kebanyakan diisi oleh para anak muda. ""Dulu mungkin sebelum 2020, motor ini (Satria) pangsanya memang anak muda. Sekarang tantangannya adalah bagaimana motor ini bisa kembali diminati oleh anak muda,"" kata Agha di Bogor, Sabtu (8/11/2025). Agha menjelaskan bahwa untuk menjual Satria F150 maupun Pro, strategi yang diambil adalah dengan meningkatkan pengalaman berkendara. Agha mengacu pada bagaimana V-Strom 250SX diterima di Indonesia. ""Kita belajar dari V-Strom 250SX, bagaimana agar motor yang mereka anggap sebagai motor India ini bisa diterima. Kita ingin membuat Satria seperti itu, bagaimana caranya bisa menjadi motor hobi,"" kata Agha. Menurut Agha, pasar motor matik tidak bisa dilawan dengan Satria. Namun, kehadiran Satria dapat diterima sebagai motor hobi, mengingat di kelasnya sudah cukup stagnan, sementara Honda dan Yamaha tidak kunjung memberikan pembaruan untuk Sonic dan MX-King. ""Motor matik tidak bisa dilawan, kita juga memiliki motor matik sendiri. Ini (Satria) kita jalani sendiri saja,"" kata Agha. Untuk penjualan, Agha menargetkan 1. 000 unit Satria F150 dan Pro terjual setiap bulan. Varian Pro dengan fitur rem ABS, keyless, Suzuki Ride Connect, serta desain baru diharapkan menjadi yang paling banyak dipesan."
https://otomotif.kompas.com/read/2025/11/10/090200215/mobil-nasional--chery-siap-berkontribusi-apapun-kebutuhan-indonesia,Otomotif,News,2025-11-10 09:02:00,Mobil Nasional: Chery Siap Berkontribusi Apapun Kebutuhan Indonesia.,"mobil nasional, Agus Gumiwang Kartasasmita, Chery Sales Indonesia, Budi Darmawan","PT Chery Sales Indonesia (CSI) menyatakan dukungan penuh terhadap rencana pemerintah untuk menghadirkan mobil nasional yang diproduksi di dalam negeri. Vice Country Director PT CSI Budi Darmawan mengatakan bahwa pihaknya siap berkolaborasi dan berkontribusi sesuai kebutuhan pemerintah. “Kita sih pada intinya support ya tentunya. Sebagai pemain pelaku otomotif, kita akan support saja. Anything yang pemerintah nanti butuhkan, ” ujar Budi di Bogor, Sabtu (8/11/2025). Budi menjelaskan bahwa Chery melihat inisiatif mobil nasional sebagai langkah positif untuk memperkuat ekosistem industri otomotif lokal. Dengan pengalaman Chery dalam mengembangkan kendaraan listrik, hybrid, dan teknologi produksi modern, kolaborasi dengan pemerintah dinilai bisa mempercepat proses kemandirian otomotif Indonesia. Dukungan dari Chery datang di tengah langkah konkret pemerintah yang tengah menyiapkan program mobil nasional sebagai bagian dari Proyek Strategis Nasional (PSN). Menteri Perindustrian Agus Gumiwang Kartasasmita menyebut bahwa pemerintah sudah mengajukan usulan agar proyek tersebut mendapat status PSN, yang akan mempermudah pelaksanaannya berkat dukungan lintas kementerian. “Kami tentu mendukung dan kami sudah mengusulkan program mobil nasional jadi PSN, proyek strategis nasional, ” kata Agus di Jakarta belum lama ini. Ia menambahkan, begitu status PSN disetujui, seluruh dukungan infrastruktur dan perizinan akan lebih mudah terealisasi. “Pokoknya kalau sudah PSN, semua disiapkan, sudah siap. Jadi status PSN dulu yang diperjuangkan, Kamis sudah usulkan, ” ujarnya. Sebelumnya, Presiden Prabowo Subianto juga telah menyampaikan bahwa pemerintah menargetkan Indonesia mampu memproduksi mobil nasional dalam tiga tahun ke depan. Bahkan, pemerintah telah mengalokasikan dana dan menyiapkan lahan untuk pabrik yang akan menjadi basis produksi. “Saya sudah alokasi dana, sudah kita siapkan lahan untuk pabrik-pabriknya. Sedang bekerja sekarang tim. Kita sudah menghasilkan jip buatan Indonesia, ” kata Prabowo saat Sidang Kabinet Paripurna di Istana Negara pada Oktober lalu. Dengan dukungan berbagai pihak, termasuk produsen global seperti Chery, rencana mobil nasional kini memasuki babak yang lebih serius. Jika kolaborasi ini terwujud, bukan tidak mungkin Indonesia akan segera memiliki mobil buatan anak bangsa yang benar-benar lahir dari kekuatan industri otomotif dalam negeri."
https://otomotif.kompas.com/read/2025/11/10/091200215/daftar-wilayah-yang-lakukan-penagihan-ke-rumah-penunggak-pajak-kendaraan,Otomotif,News,2025-11-10 09:12:00,Daftar Wilayah yang Lakukan Penagihan ke Rumah Penunggak Pajak Kendaraan.,"door to door, Pajak Kendaraan Bermotor, penunggak pajak kendaraan, penunggak pajak kendaraan akan dikejar sampai rumah","Badan Pendapatan Daerah (Bapenda) di berbagai wilayah mulai melakukan penagihan langsung ke rumah warga yang belum membayar pajak kendaraan bermotor (PKB). Langkah jemput bola atau program door to door ini dilakukan untuk menekan angka tunggakan dan meningkatkan kesadaran masyarakat agar taat membayar PKB tepat waktu. PKB merupakan kewajiban tahunan bagi setiap pemilik atau penguasa kendaraan bermotor, baik roda dua maupun roda empat, yang pembayarannya dilakukan setiap satu tahun sekali dan pengesahan STNK setiap lima tahun. Sesuai Undang-Undang Nomor 28 Tahun 2009 tentang Pajak Daerah dan Retribusi Daerah, keterlambatan pembayaran pajak kendaraan dapat dikenakan sanksi berupa denda administratif. Maka dari itu, melalui program penagihan langsung diharapkan masyarakat lebih disiplin dalam memenuhi kewajiban pajak demi mendukung pembangunan dan pelayanan publik di daerahnya. Adapun beberapa wilayah yang mulai menerapkan kebijakan datangi rumah penunggak pajak kendaraan, yaitu: 1. Jawa Tengah Pemerintah Provinsi (Pemprov) Jawa Tengah melalui Badan Pengelola Pendapatan Daerah (Bapenda) mulai menggelar program door to door ke rumah penunggak pajak kendaraan. Kepala Bidang PKB Bapenda Jawa Tengah, Danang Wicaksono mengatakan pemerintah berupaya menekan nilai piutang pajak, salah satunya dengan program Samsat door to door, yakni menagih sampai rumah. Namun, Danang menjelaskan, karena anggaran terbatas, penagihan pajak kendaraan dilakukan bertahap untuk efisiensi. Awalnya masyarakat diingatkan melalui program sengkuyung, lalu jika tiga bulan tetap menunggak, penagihan dilakukan lewat pesan WhatsApp sebelum akhirnya petugas mendatangi rumah. Prioritas diberikan pada penunggak dengan nilai piutang besar, terutama kendaraan roda empat. 2. Sulawesi Selatan Unit Pelaksana Teknis (UPT) Badan Pendapatan Daerah (Bapenda) Provinsi Sulawesi Selatan mulai aktif menjalankan program penagihan pajak kendaraan bermotor dengan sistem door to door atau kunjungan langsung ke rumah wajib pajak. Program ini dilakukan oleh masing-masing UPT di wilayahnya untuk mengingatkan masyarakat agar segera melunasi Pajak Kendaraan Bermotor (PKB) di kantor Samsat terdekat. Berdasarkan informasi, kegiatan penagihan langsung ini telah berjalan sejak Mei 2024."
https://otomotif.kompas.com/read/2025/11/10/092200615/opsi-semakin-banyak--daftar-mobil-phev-tahun-2025-di-indonesia,Otomotif,News,2025-11-10 09:22:00,Opsi Semakin Banyak: Daftar Mobil PHEV Tahun 2025 di Indonesia.,"mobil PHEV, SUV Hybrid, teknologi kendaraan, pilihan mobil 2025","Mobil berteknologi plug-in hybrid electric vehicle (PHEV) semakin beragam di Indonesia. Dari SUV yang mendominasi, harga mobil ini berkisar dari ratusan juta hingga miliaran rupiah, menciptakan banyak pilihan untuk konsumen. Berbagai pabrikan dari Eropa, Jepang, dan China kini menawarkan produk PHEV, meskipun jika dibandingkan dengan hybrid electric vehicle (HEV) atau battery electric vehicle (BEV), pilihan PHEV masih cukup terbatas. BMW XM menjadi SUV performa tinggi pertama yang sepenuhnya dikembangkan oleh divisi BMW M. Mobil ini mengusung mesin V8 4. 4 liter twin-turbo plug-in hybrid, menghasilkan tenaga gabungan hingga 653 PS dan torsi 800 Nm. ""Dengan baterai berkapasitas 25, 7 kWh, BMW XM mampu menempuh jarak sekitar 80 km secara full elektrik,"" ungkap seorang perwakilan BMW. Mobil ini dibanderol Rp 3, 776 miliar untuk varian XM 50e, sedangkan XM Label Red mencapai Rp 7, 966 miliar. Chery Tiggo 9 CSH AWD hadir sebagai SUV flagship dengan konfigurasi 7 penumpang dan mesin 1. 5T plug-in hybrid. ""Kabin Tiggo 9 menonjol lewat dua layar besar 12, 3 inci dan sistem audio Sony 14 speaker,"" jelas pihak Chery. Harga untuk model ini adalah Rp 719, 9 juta, dan jarak tempuh dalam mode EV diklaim mencapai 180 km. Mengusung pendekatan lebih praktis, Chery Tiggo 8 CSH memiliki konfigurasi 6 atau 7 kursi, serta mesin 1. 5T hybrid yang menghasilkan tenaga gabungan 245 PS. ""Fitur keselamatan yang ada, termasuk blind spot monitoring, menjadikannya sebagai pilihan yang aman,"" kata juru bicara Chery. Dengan harga Rp 509, 9 juta, SUV ini menawarkan jarak tempuh EV sekitar 90 km. Geely Starray EM-i tampil modern dengan desain “Energy Burst” dan mesin 1. 5 liter hybrid. ""Teknologi EM-i Smart Hybrid System memungkinkan perpindahan tenaga halus antara mesin dan motor listrik,"" ungkap Geely. Mobil ini dijual dengan harga Rp 499 juta dan mampu menempuh jarak sekitar 83 km dalam mode EV. Sebagai SUV bergaya urban-offroad, Jaecoo J7 SHS menawarkan mesin 1. 5T plug-in hybrid dengan tenaga gabungan 245 PS. ""Interiornya mengusung konsep ‘Tough Elegance’ dan fitur penggerak adaptif untuk berbagai medan,"" ujar Jaecoo."
https://otomotif.kompas.com/read/2025/11/10/113100715/xpeng-g6-extended-range-terlihat-di-bekasi-sinyal-varian-baru-siap-meluncur,Otomotif,News,2025-11-10 11:31:00,"Xpeng G6 Extended Range Terlihat di Bekasi, Sinyal Varian Baru Siap Meluncur?","SUV listrik, Xpeng, Xpeng G6, XPENG G6 Extended Range","SUV listrik dengan balutan stiker kamuflase bermotif zebra tertangkap kamera melintas di kawasan Bekasi, Jawa Barat. Dari bentuk bodi, desain lampu depan, kuat dugaan mobil tersebut adalah XPENG G6 Extended Range (E-REV), varian baru dari SUV listrik asal Tiongkok yang kini tengah menjadi sorotan global. Sebelumnya, XPENG sudah lebih dulu menghadirkan G6 versi listrik murni di Indonesia melalui ajang GIIAS 2025. Namun, varian Extended Range atau E-REV belum pernah diumumkan secara resmi untuk pasar Tanah Air. Kamuflase bermotif zebra yang menutupi hampir seluruh bodi mobil menjadi tanda kuat bahwa unit tersebut sedang menjalani uji jalan atau tahap pra-produksi. Jika benar merupakan versi E-REV, XPENG tampaknya tengah menguji sistem range extender, yakni kombinasi motor listrik dan mesin bensin kecil yang berfungsi sebagai generator daya. Teknologi ini memungkinkan kendaraan menempuh jarak lebih jauh tanpa bergantung penuh pada pengisian daya listrik — solusi praktis bagi pasar seperti Indonesia yang infrastruktur pengisian dayanya masih terbatas. Menariknya, kemunculan unit ini sejalan dengan langkah XPENG di pasar global. Belum lama ini, pabrikan asal Guangzhou itu juga memamerkan XPENG X9 Extended-Range Electric Vehicle (EREV), yang akan diluncurkan di China pada kuartal keempat tahun ini. Berdasarkan data dari Kementerian Perindustrian dan Teknologi Informasi (MIIT) China, X9 EREV dibekali mesin 1. 5T, baterai 63, 3 kWh, dan tangki bahan bakar 60 liter. Kombinasi ini memberi jarak tempuh listrik murni 452 km, dan total jangkauan hingga 1. 602 km dalam siklus CLTC. Kehadiran model seperti X9 EREV memperlihatkan arah pengembangan XPENG yang kini fokus memperluas teknologi E-REV ke berbagai segmen, termasuk SUV menengah seperti G6. Dengan demikian, uji jalan yang terlihat di Bekasi bisa menjadi sinyal awal kehadiran varian G6 E-REV untuk pasar Indonesia di masa mendatang. Hingga kini, belum ada keterangan resmi dari XPENG Indonesia mengenai keberadaan unit kamuflase tersebut. Namun, jika benar merupakan bagian dari pengujian pra-peluncuran, bukan tidak mungkin G6 Extended Range akan menjadi model berikutnya yang dirilis setelah G6 listrik murni — sekaligus memperkuat posisi XPENG di pasar kendaraan elektrifikasi nasional."
https://otomotif.kompas.com/read/2025/11/10/121200815/bapenda-jawa-barat-bakal-datangi-rumah-penunggak-pajak-kendaraan,Otomotif,News,2025-11-10 12:12:00,Bapenda Jawa Barat Bakal Datangi Rumah Penunggak Pajak Kendaraan.,"penunggak pajak kendaraan, samsat door to door, Penagihan tunggakan PKB","Pemerintah secara aktif melakukan penagihan terhadap penunggak pajak kendaraan bermotor (PKB). Sebelumnya, program pemutihan telah diberikan sebagai wujud memperingan kewajiban masyarakat terhadap negara. Pajak merupakan kewajiban warga kepada negara, dan hasilnya digunakan untuk membiayai berbagai kebutuhan bersama. Tanpa pajak, negara tidak bisa berjalan dengan baik. Tak hanya sebagai kewajiban, lewat pajak sama artinya masyarakat telah bergotong royong secara modern dalam membangun negara. Sekretaris Bapenda Jawa Barat, Mohamad Deni Zakaria mengatakan pemerintah secara aktif melakukan penagihan terhadap penunggak pajak sebagai wujud pelayanan. “Kami datangi ke rumah, ditelusuri nama-nama penunggak PKB lalu untuk dilakukan penagihan, tujuannya agar masyarakat lebih mudah menjalankan kewajibannya, ” ucap Deni saat, Minggu (9/11/2025). Deni mengatakan, pihak pemerintah menjalin kerja sama dengan pihak ketiga, polisi dan bahkan pegawai Samsat juga turun tangan ke lapangan langsung untuk melakukan penagihan. “Kami ada razia dengan Polres untuk menagih penunggak PKB, penagihan lewat pesan WhatsApp, dan mendatangi penunggak pajak sampai ke rumah, ” ucap Deni. Hal itu dilakukan bukan karena pemerintah rakus atau tega dengan warganya. Hanya saja mereka memang ditugaskan untuk memungut pajak dari masyarakat. Sekali lagi, pajak merupakan hal penting untuk negara. Dedi Mulyadi, Gubernur Jawa Barat menjelaskan bahwa pajak kendaraan bermotor menjadi sumber penting bagi pembangunan infrastruktur daerah. Fasilitas jalan menjadi kewenangan provinsi, dengan masyarakat taat bayar pajak, jalan rusak bisa diperbaiki dan dilengkapi fasilitas penunjang seperti drainase, penerangan jalan umum (PJU), serta CCTV. Gubernur mengajak seluruh masyarakat untuk terus mendukung pembangunan daerah melalui kepatuhan membayar pajak."
