url,category,subcategory,tanggal_publish,judul_berita,tags,konten_berita
https://money.kompas.com/read/2019/08/01/124215826/kompascom-kembali-jadi-pemenang-kategori-media-online-tepercaya,Properti,News,2019-08-01T12:42:15,Kompas.com Kembali Jadi Pemenang Kategori Media Online Tepercaya,"media online, Kompas.com, Superbrands","- Superbrands, lembaga arbiter internasional untuk brand terkemuka bersama lembaga survei Nielsen kembali memberikan apresiasi kepada merek-merek terbaik Indonesia. Untuk kategori Trusted Online Media (media online tepercaya), Kompas.com tampil sebagai pemenang di antara ribuan media online yang tumbuh dan berkembang di era digital di Indonesia. Pada 2018, Dewan Pers mencatat, setidaknya ada 43.000 media online di Indonesia. Dari puluhan ribu media online itu, tidak lebih dari 200 media online yang dikategorikan terverifikasi. Pengumuman pemenang dan pemberian penghargaan kepada Kompas.com sebagai media online tepercaya dilakukan pada Gala Awards Superbrands 2019 di Ballroom 1, Sheraton Gandaria, Jakarta, Jumat, 26 Juli 2019. Superbrands adalah lembaga yang sudah berdiri selama lebih dari 26 tahun di lebih dari 86 negara. Atas pengakuan dan penghargaan Superbrands 2019 untuk Kompas.com sebagai media online tepercaya ini, Pemimpin Redaksi Kompas.com Wisnu Nugroho mengucapkan terima kasih khususnya kepada para pembaca. ""Pengakuan dan penghargaan ini adalah peneguh atas upaya jurnalistik Kompas.com selama 23 tahun lebih untuk menjadi media rujukan tepercaya bagi para pembaca,"" ujar Wisnu di Jakarta, Kamis (1/8/2019). Untuk Kompas.com yang didirikan pada 14 September 1995, penghargaan sebagai media online tepercaya merupakan penghargaan berturut-turut kedua setelah pada 2018 mendapat penghargaan yang sama. ""Terima kasih pertama-tama untuk para pembaca,"" ujar Wisnu Nugroho. Dalam satu tahun terakhir, sebagai media online tepercaya, Kompas.com berperan dalam jaringan internasional penguji fakta (International Fact Checking Network/IFCN) untuk melawan hoaks dan mengungkapkan kebenaran dengan kerja-kerja jurnalistik. Terkait pemberian penghargaan ini, CEO Superbrands Indonesia Grandtyana Mayasari mengatakan, penghargaan yang diraih para pemilik brand merupakan bukti pencapaian. "" Brand yang mendapat Superbrands Awards 2019 telah menjadi TOP of Mind yang mendapat tempat sangat spesial di mata para konsumen, melalui inovasi-inovasi yang dilakukan selama ini,"" ujar Grandtyana. Acara Gala Awards Superbrands Indonesia 2019 dihadiri sekitar 40 brand terkemuka di Indonesia yang mendapatkan status dan penghargaan berdasarkan penilaian yang dilakukan oleh Nielsen dengan 38 kategori penghargaan."
https://properti.kompas.com/read/xml/2016/09/22/075300621/mea.scg.siap.menguasai.pasar.semen.indonesia,Properti,News,2016-09-22T07:53:00,"MEA, SCG Siap Menguasai Pasar Semen Indonesia",nan,"Segudang harapan membuncah saat Masyarakat Ekonomi Asosiasi Negara-negara Asia Tenggara (MEA) terwujud pada akhir 2015 lalu. Bayangkan, ada potensi pasar dari 625 juta jiwa penduduk yang tersebar di seluruh sepuluh negara anggotanya. Asal tahu saja, Perserikatan Bangsa-Bangsa (PBB) dalam catatan salah satu organisasinya, Lembaga Kerja Sama Ekonomi dan Pembangunan (OECD) pada akhir 2015 itu menyatakan bahwa 625 juta jiwa penduduk di ASEAN setara dengan 8,8 persen total jumlah penduduk dunia. Tentu saja, di ASEAN, Indonesia adalah negara dengan jumlah penduduk paling banyak, 250 juta jiwa. ""Populasi ASEAN termasuk padat,"" begitu pendapat OECD. Yang menarik pula, masih menurut OECD, seluruh negara ASEAN masuk dalam kategori negara-negara yang tengah membangun. Tengok saja, Indonesia. Tak ketinggalan pula, Vietnam, Filipina, Thailand, hingga Myanmar dan Kamboja. Membangun secara kasat mata dalam konteks MEA adalah pembangunan secara fisik di berbagai sektor mulai dari properti hingga transportasi. Di era modern ini, mengutip salah satu catatan Asosiasi Semen Indonesia (ASI), pembangunan tak bisa lepas dari semen. Bahkan, ada pemeo yang mengemuka bahwa masyarakat modern lekat dengan keberadaan semen. Masih menurut ASI sebagaimana informasi yang ada pada laman kemenperin.go.id, konsumsi semen di Indonesia kian tahun kian menanjak. Angkanya bisa mencapai lebih dari 60 juta ton. Sementara, industri semen domestik dianggap mampu menghasilkan hingga 90 juta ton semen per tahun pada 2016. Mari menilik data lima tahun ke belakang atau pada 2010 hingga 2015 ihwal konsumsi semen di ASEAN. Thailand sejak 2010 mampu menyerap hingga 25,1 juta ton lebih semen per tahunnya. Lalu, Vietnam pada selang waktu 2010-2014 menyedot 32 juta ton semen per tahun. Diperkirakan, pada tahun-tahun selepas 2014 ke depan, konsumsi Vietnam bisa berada di kisaran 40 juta ton lebih. Selanjutnya, pada level penyerapan semen dalam angka belasan juta ton, ada negara Malaysia, Filipina, dan Singapura yang juga menunjukkan peningkatan kebutuhan. Hal sama juga terjadi pada negara-negara dengan daya serap satu digit ton semen tiap tahunnya yakni Myanmar, Brunei Darussalam, Kamboja, dan Laos. Juara Permintaan semen di dalam negeri terbanyak berasal dari sektor properti, yang porsinya mencapai hingga 75 persen. Sementara proyek infrastruktur berkontribusi sekitar 30 persen dari total kebutuhan. Meski tengah terlanda perlambatan, sektor properti, boleh dikata, masih tetap doyan menyerap semen. Kementerian Perindustrian menghitung, ada 13 industri semen di Indonesia. Sementara, tantangan paling besar menunjukkan bahwa konsumsi semen terbesar di Indonesia masih terpusat di Jawa. Produksi semen pun belum menyebar. Padahal, jika produksi menyebar, hal itu akan memudahkan distribusi dan mempermurah harga. Guna merangsang minat investasi di industri semen, Kemenperin bersedia merekomendasikan pemberian potongan pajak (tax allowance) untuk proyek pabrik di luar Jawa. Pada sisi lain produsen semen juga harus menurunkan efek gas rumah kaca sesuai Peraturan Presiden No. 61/2011. Dan tahun ini tercatat beberapa pabrik semen baru beroperasi: dua di Provinsi Jawa Tengah, lalu satu di Kalimantan. Selanjutnya, Kemenperin mencatat selama 2013 - 2017 ada 12 investor siap membenamkan modal 6,68 miliar dollar AS untuk membangun pabrik semen di Tanah Air. Efeknya tentu berupa peningkatan kapasitas produksi yang diperkirakan mencapai 108,77 juta ton per tahun. Sesungguhnya, bertolak dari data-data di atas, ada peluang meraup pasar pembangunan dan menjadi juara di Indonesia, khususnya di bidang semen. Apalagi, menurut ASI, industri semen mesti fokus mulai dari hulu ke hilir. Cermatilah tayangan televisi komersial berdurasi 50 detik oleh SCG (Siam Cement Group). Begini petikan kata-kata di dalam tayangan itu. ""SCG mengerti pentingnya bangunan performa tinggi untuk membangun tempat tinggal yang ideal, pentingnya kemasan kuat dengan kualitas cetak maksimal pentingnya produk plastik bermutu terbaik untuk hidup yang lebih baik."" Dari sana tecermin bahwa fokus mulai dari sektor hulu hingga hilir adalah cara penting untuk berhasil menguasai pasar semen di Indonesia. Sejak 2013, menurut data dari Bursa Efek Indonesia (BEI), SCG setidaknya mengakuisisi tiga perusahaan terbuka yang punya kaitan erat dengan penguasaan sektor tersebut. Ketiganya adalah Kokoh Inti Arebama, Keramika Indonesia Asosiasi (KIA), dan Chandra Asri Petrochemical (CAP). Secara berurutan, Kokoh Inti Arebama bergerak dalam distribusi bahan bangunan, KIA adalah produsen keramik, dan CAP giat dalam menghasilkan bahan kimia. Beroperasi di Indonesia sejak 1995, SCG yang berbasis utama di Thailand sudah memiliki 23 perusahaan di Indonesia. Seluruh perusahaan itu bergerak dengan pondasi tiga pilar bisnis utama yakni semen-bahan bangunan, kimia dan kemasan. Saat ini SCG memiliki lebih dari 7.100 karyawan di Indonesia."
https://www.kompas.com/properti/read/2025/11/04/170224921/investor-china-bikin-kawasan-industri-di-subang-meledak,Properti,News,2025-11-04T17:02:24,Investor China Bikin Kawasan Industri di Subang Meledak,"industri tekstil, Subang, investasi China di Indonesia, relokasi pabrik, pasar lahan industri jabodetabek, Harga Lahan Industri Bekasi Karawang, Tingkat Hunian Pergudangan","Kawasan industri dan pergudangan di Jakarta, Bogor, Depok, Tangerang, Bekasi) masih menjadi barometer utama kesehatan ekonomi Indonesia, terutama di sektor manufaktur dan logistik. Data terbaru hingga Kuartal III-2025 menunjukkan pasar ini mengalami dinamika yang kompleks, ditandai oleh lonjakan pasokan lahan baru, namun disertai pergeseran sektor permintaan utama yang dipicu oleh faktor geopolitik global. Director Strategic Consulting Indonesia Cushman & Wakefield Indonesia Arief Rahardjo menuturkan, secara umum, pasar lahan industri di Jabodetabek mencatat peningkatan pasokan signifikan. ""Dorongan terbesar datang dari peluncuran kawasan industri baru di Subang, yang langsung menyuntikkan pasokan seluas 169 hektar dalam inventaris regional,"" ujar Arief, dikutip Kompas.com, Selasa (5/11/2025). Namun, peningkatan ini datang di tengah isu kelangkaan lahan di area primer yang sudah matang. Kawasan industri ternama di Bekasi dan Karawang terus melakukan ekspansi dan akuisisi lahan tambahan. Langkah ini mengindikasikan bahwa meskipun ada pasokan di Subang, lahan yang strategis dan sudah terintegrasi di koridor Bekasi-Karawang masih sangat langka dan diburu. Rata-rata harga lahan industri mencapai Rp 2.891.000 per meter persegi pada akhir Kuartal III-2025, mencerminkan kenaikan moderat sebesar 3,5 persen secara tahunan atau year on year. ""Kenaikan harga yang berkelanjutan ini menegaskan tingginya minat jangka panjang terhadap aset-aset industri strategis di koridor Timur Jakarta,"" imbuh Arief. Laju permintaan sektor industri baru-baru ini didominasi oleh fenomena pemindahan basis produksi (relokasi) yang dipicu oleh perang tarif antara Amerika Serikat dan China. Mafhum jika kemudian permintaan lahan industri Indonesia sebagian besar didorong oleh investor asal China. Indonesia, dengan biaya operasional yang kompetitif dan lokasi yang strategis, dipandang sebagai safe haven (tempat aman) untuk menghindari dampak sanksi tarif global. Namun demikian, meskipun total transaksi penjualan lahan turun 46,4 persen secara tahunan yang disebabkan oleh lonjakan permintaan dari sektor otomotif untuk kendaraian listrik atau electric vehicle (EV) pada tahun 2024, terjadi pergeseran menarik pada kuartal ini. Menurut Arif, industri tekstil menjadi bintang, memimpin dalam permintaan lahan. Hal ini menunjukkan adanya revitalisasi di sektor padat karya ini. Disusul sektor kosmetik dan barang konsumsi cepat edar atau fast moving consumer goods (FMCG) sebagai kontributor utama kedua."
https://www.kompas.com/properti/read/2025/11/04/200000121/pemerintah-targetkan-proyek-tol-terpanjang-indonesia-dimulai-2026,Properti,News,2025-11-04T20:00:00,Pemerintah Targetkan Proyek Tol Terpanjang Indonesia Dimulai 2026,"Kementerian PU, Tol Terpanjang di Indonesia, Tol Getaci, proyek tol getaci","Proyek Jalan Tol Gedebage-Tasikmalaya-Cilacap (Getaci) masih dalam proses lelang. Pemerintah berharap proyek bakal jalan tol terpanjang di Indonesia ini segera dimulai, atau bahkan bisa dimulai pada tahun 2026. ""Targetnya sih kalau bisa 2026 ya 2026,"" kata Menteri Pekerjaan Umum (PU) Dody Hanggodo dalam kunjungannya ke Bandung, Jawa Barat, Rabu (04/11/2025). Dody mengungkapkan, salah satu tantangan yang dihadapi dalam proyek ini adalah pembebasan lahan. Meskipun demikian, Dody mengaku proyek tersebut tidak bermasalah. ""Proses biasa saja, enggak ada masalah, tapi biasanya sih urusan di lahan,"" ujarnya. Selayaknya proyek infrastruktur jumbo pada umumnya, proyek Tol Getaci akan dilakukan dengan skema Kontrak Tahun Jamak atau Multi Years Contract (MYC). Ia juga mengatakan bahwa pemerintah tidak mau terburu-buru dalam menyiapkan proyek ini, agar pelaksanaan berjalan dengan optimal. ""Kita enggak mau terlalu buru-buru, karena kalau buru-buru biasanya secara desain kurang bagus juga,"" kata Dody. Pembangunan Tol Getaci juga bakal dilakukan bertahap sesuai segmen atau seksi jalan tol yang nanti telah ditentukan. Sebelumnya, Direktur Jenderal Pembiayaan Infrastruktur Rachman Arief Dienaputra mengatakan bahwa proyek Tol Getaci bakal dievaluasi ulang. Pasalnya, proyek skema Kerjasama Pemerintah dengan Badan Usaha (KPBU) tersebut memiliki porsi dukungan konstruksi (dukon) yang besar. Artinya, selain dibiayai oleh badan usaha sebagai investor, proyek tersebut juga memerlukan suntikan Anggaran Pendapatan dan Belanja Negara (APBN). Rachman Arief mengatakan bahwa dukon yang diberikan untuk Tol Getaci lebih dari separuh biaya proyek. ""Kemarin saya lapor Pak Menteri, saat ada kebutuhan dukon yang cukup besar itu harus kita evaluasi dulu karena kita alokasinya sekarang sangat terbatas, apakah dimungkinkan dukonnya Rp 4 triliun-Rp 5 triliun,"" ucap Rachman Arief di Kompleks Parlemen, Senayan, Jakarta, Kamis (13/02/2025). Ada pun trase dari Garut-Bandung dinilai butuh pembiayaan besar sebab lokasinya yang naik-turun. Sebagai informasi, rencana awalnya Tol Getaci sepanjang 206,65 kilometer membentang sampai Cilacap dan akan mulai dibangun pada akhir tahun 2022. Dengan panjang itu, Tol Getaci digadang menjadi jalan tol terpanjang di Indonesia. Sebelumnya, Konsorsium BUMN-Swasta PT Jasamarga Gedebage Cilacap yang terdiri dari PT Jasa Marga (Persero) Tbk, Kemitraan PT Daya Mulia Turangga-Gama Group-PT Jasa Sarana, PT Waskita Karya (Persero) Tbk, PT PP (Persero) Tbk, dan PT Wijaya Karya (Persero) Tbk, telah menjadi pemenang tender proyek Tol Getaci. Namun, Konsorsium BUMN tersebut mundur karena masalah restrukturisasi salah satu Badan Usaha Jalan Tol (BUJT). Kemudian proyek Tol Getaci kembali dilelang ulang."
https://www.kompas.com/properti/read/2025/11/05/090000821/mulai-dibangun-2026-inilah-profil-calon-tol-terpanjang-di-indonesia,Properti,News,2025-11-05T09:00:00,"Mulai Dibangun 2026, Inilah Profil Calon Tol Terpanjang di Indonesia","bandung, infrastruktur, Kementerian PU, Tasikmalaya, Cilacap, Tol Gedebage-Tasikmalaya-Cilacap, Tol Terpanjang di Indonesia, Tol Getaci, Kementerian Pekerjaan Umum (PU)","Peta jaringan jalan tol di Indonesia akan segera diguncang oleh kehadiran mega proyek yang digadang-gadang menjadi pemegang rekor baru terpanjang di Indonesia, Jalan Tol Gedebage-Tasikmalaya-Cilacap (Getaci). Setelah melalui proses lelang yang berulang dan evaluasi mendalam, proyek ini telah ditetapkan sebagai Proyek Strategis Nasional (PSN) 2025. ""Targetnya sih kalau bisa 2026 ya 2026,"" kata Menteri Pekerjaan Umum (PU) Dody Hanggodo dalam kunjungannya ke Bandung, Jawa Barat, Rabu (04/11/2025). Meskipun konstruksi direncanakan baru dimulai pada tahun 2026, Tol Getaci telah menarik perhatian investor dan publik karena ambisinya yang monumental dan kompleksitas teknisnya. Tol Getaci membentang dari Bandung, Jawa Barat, hingga Cilacap, Jawa Tengah. Dengan panjang total 206,65 kilometer, Getaci akan menggeser posisi Tol Terbanggi Besar-Pematang Panggang-Kayu Agung (Terpeka) yang saat ini memegang rekor sebagai tol terpanjang di Indonesia (189 km). Tol Getaci dirancang untuk menghubungkan dua provinsi vital: Proyek ini sangat vital karena akan mempersingkat waktu tempuh yang ekstrem dari Jakarta/Bandung menuju kawasan Priangan Timur (Garut, Tasikmalaya, Ciamis) dan Jawa Tengah bagian selatan, membuka simpul ekonomi dan pariwisata yang selama ini terisolasi. Keunikan dan kompleksitas Tol Getaci terletak pada rutenya yang dijuluki ""paling ekstrem"" di Nusantara. Ruas ini melintasi sebagian besar wilayah Priangan Timur yang memiliki topografi yang sangat menantang: pegunungan, lembah yang dalam, dan zona rawan pergerakan tanah yang kompleks. Untuk menaklukkan kontur wilayah yang ekstrem tersebut, perencana Tol Getaci dipaksa menggunakan desain konstruksi hybrid yang kompleks dan mahal, melibatkan tiga struktur utama. Berikut rinciannya: 1. Struktur Desain At Grade 2. Elevated (Tol Layang) 3. Tunnel (Terowongan) Diperkirakan akan menggunakan terowongan kembar, serupa dengan yang digunakan di Tol Cisumdawu, untuk menembus bukit/pegunungan yang sulit."
https://www.kompas.com/properti/read/2025/11/06/170000321/5-mal-terbesar-di-dunia-adakah-dari-jakarta-,Properti,News,2025-11-06T17:00:00,"5 Mal Terbesar di Dunia, Adakah dari Jakarta?","China, Filipina, Thailand , Asia Tenggara, 5 mal terbesar di dunia","Konsep pusat perbelanjaan atau shopping mall telah mengalami evolusi dramatis, dari pasar kuno seperti Trajan's Market di Roma hingga kompleks multifungsi raksasa yang mendominasi lanskap kota-kota modern saat ini. Transformasi ini mencapai puncaknya setelah tahun 1980-an, di mana mal tidak lagi berfungsi murni sebagai pusat ritel, melainkan sebagai pusat aktivitas sosial, hiburan, dan rekreasi. Mal terbesar di dunia saat ini adalah representasi kekuatan ekonomi, ambisi arsitektural, dan cerminan langsung dari pergeseran keinginan konsumen global. Struktur mega ini tidak hanya menarik penduduk lokal, tetapi juga menjadi generator ekonomi yang signifikan, menarik wisatawan, menciptakan lapangan kerja, dan mendorong pembangunan urban di sekitarnya. Seperti yang terlihat pada Dubai Mall yang menarik lebih dari 80 juta pengunjung setiap tahun. Berikut kami rangkumkan lima pusat perbelanjaan terbesar di dunia dengan skala dan kapasitas mal diukur melalui dua metrik kunci yakni Gross Floor Area (GFA) atau Luas Lantai Kotor dan Gross Leasable Area (GLA) atau Luas Area yang Dapat Disewakan, yang menjadi indikator kapasitas ritel yang paling andal. 1. New South China Mall, China Dengan GLA mencapai 600.000 meter persegi, ini merupakan mal terbesar di dunia sejak 2005. Fasilitas meliputi trek karting indoor dan teater IMAX. 2. Golden Resources Mall, China Dengan GLA 560.000 meter persegi, mal high-end mewah di Beijing, ini didominasi produk premium, perhiasan, dan elektronik. Sempat menjadi yang terbesar di dunia (2004-2005). 3. ICONSIAM, Thailand GLA mencapai 525.000 meter persegi, berada di dalam kompleks mixed-use di tepi Sungai Chao Phraya. Unik dengan indoor floating market, museum sungai, dan sayap mewah ICONLUXE. 4. SM Megamall, Filipina Luas GLA tembus 474.000 meter, mal ini dikunjungi 800.000 orang per hari. Menawarkan hiburan lengkap, 14 layar bioskop (termasuk IMAX), bowling alley, dan skating rink. 5. SM Mall of Asia (MOA), Filipina"
https://www.kompas.com/properti/read/2025/11/07/160000221/kawasan-tambak-di-pantura-jawa-bakal-ditata-jadi-terintegrasi,Properti,News,2025-11-07T16:00:00,Kawasan Tambak di Pantura Jawa Bakal Ditata Jadi Terintegrasi,"penyusunan rdtr, revitalisasi kawasan tambak di pantura","Kementerian Agraria dan Tata Ruang/Kepala Badan Pertanahan Nasional (ATR/BPN) tengah menyusun Rencana Detail Tata Ruang (RDTR) di kawasan tambak Pantai Utara (Pantura) Jawa. Direktur Jenderal (Dirjen) Tata Ruang, Suyus Windayana mengatakan bahwa kawasan tambak Pantura bakal disulap jadi kawasan terintegrasi. ""Kita akan buat RDTR-nya supaya itu menjadi kawasan yang terintegrasi,"" kata Suyus saat ditemui usai acara Sarasehan Hari Agraria dan Tata Ruang Nasional 2025 di Jakarta Selatan, Kamis (06/11/2025). RDTR adalah rencana penataan ruang wilayah kabupaten/kota yang dilengkapi dengan peraturan zonasi. RDTR memiliki fungsi sebagai acuan untuk mengendalikan pemanfaatan ruang secara lebih rinci, mempercepat perizinan investasi, serta menjadi panduan untuk pembangunan di wilayah tersebut. ""Jadi kita bisa lihat di mana aksesnya, pabriknya, pengolahannya, hingga rumahnya itu bisa kita atur semuanya,"" ujar Suyus. Pendataan RDTR akan mendapatkan kucuran pendanaan dari Anggaran Pendapatan dan Belanja Negara (APBN) sebesar Rp 3,6 triliun untuk 1.200 dokumen. Menteri ATR/Kepala BPN Nusron Wahid mengatakan, komitmen ini telah disampaikan oleh Menteri Keuangan Purbaya Yudhi Sadewa. Nusron menegaskan bahwa setiap dokumen RDTR akan mendapatkan alokasi anggaran sebesar Rp 3 miliar. ""Menteri Keuangan sudah committed akan intervensi budget untuk dua tahun ini sebanyak 1.200 RDTR,"" ujar Nusron pada kesempatan yang sama. Selain kucuran APBN, penyelesaian target RDTR juga didukung oleh pinjaman dari Bank Dunia untuk 500 RDTR. ""Jadi di antara tahun 2026, 2027, 2028 ini tantangan buat kita akan ada 1.700 RDTR, yang itu diinisiasi dari Pemerintah Pusat sumber dananya, 1.200 dari APBN murni, 500 dari Integrated Land Administration and Spatial Planning (ILASP) dari loan Bank Dunia, belum lagi di daerah-daerah yang fiskalnya kuat,"" kata Nusron. Adapun total target nasional pendataan RDTR adalah sebanyak 2.000 dokumen. Sementara sampai dengan November 2025, pencapaian pendataan RDTR di seluruh Indonesia baru menyentuh angka 669. "" Insya Allah kami yakin seyakin-yakinnya tahun 2028, bahkan tahun 2027 sampai 2028, nanti RDTR 2.000 Insya Allah selesai semua,"" ucap Nusron."
https://www.kompas.com/properti/read/2025/11/07/190000121/konsentrasi-ekstra-lewat-tol-lingkar-luar-jakarta-ada-perbaikan-jalan,Properti,News,2025-11-07T19:00:00,"Konsentrasi Ekstra Lewat Tol Lingkar Luar Jakarta, Ada Perbaikan Jalan","Perbaikan jalan, Tol JORR, perbaikan jalan tol","Jasamarga Metropolitan Tollroad (JMT) bersama PT Jasamarga Tollroad Maintenance (JMTM) melakukan perbaikan Jalan Tol Jakarta Outer Ring Road (JORR) atau Tol Lingkar Luar Jakarta Seksi W2S. Perbaikan jalan dilakukan untuk menjaga keamanan dan keselamatan pengguna jalan, serta memastikan kondisi jalan tetap prima sesuai Standar Pelayanan Minimal (SPM). Pekerjaan pemeliharaan Tol JORR Seksi W2S yang dilakukan berupa rekonstruksi perkerasan, yang akan dilaksanakan mulai hari Jumat, 07 November 2025 hingga Senin, 10 November 2025. Senior Manager Representative Office 1 Jasamarga Metropolitan Tollroad Regional Division Alvin Andituahta Singarimbun mengatakan, selama masa pekerjaan, lajur yang menjadi lokasi pemeliharaan tidak dapat dilintasi untuk sementara waktu. ""Namun lajur lainnya tetap dibuka untuk mendukung kelancaran lalu lintas,"" katanya, dikutip dari keterangan resmi, Jumat (07/11/2025). Berikut rincian waktu dan titik perbaikan Jalan Tol JORR: Arah Pondok Indah Arah Serpong Pengguna jalan diimbau untuk mengatur waktu dan rute perjalanan untuk menghindari kepadatan yang mungkin timbul akibat perbaikan jalan. Selain itu, pengguna jalan juga diminta untuk mematuhi rambu lalu lintas, serta mengikuti arahan petugas di lapangan. Pastikan saldo uang elektronik mencukupi untuk mempercepat proses transaksi di gerbang tol dan menghindari antrean."
https://www.kompas.com/properti/read/2025/11/07/200000021/poros-jakarta-moskow--ri-dan-rusia-jalin-aliansi-sektor-infrastruktur,Properti,News,2025-11-07T20:00:00,Poros Jakarta-Moskow: RI dan Rusia Jalin Aliansi Sektor Infrastruktur,"Indonesia, infrastruktur, kemaritiman, Rusia, menko ahy, pelabuhan hijau","Indonesia dan Federasi Rusia secara resmi memperkuat kemitraan strategis di sektor infrastruktur dan kemaritiman. Penandatanganan Memorandum of Understanding (MoU) di Jakarta pada Kamis (6/11/2025) menjadi tonggak bersejarah, yang menghubungkan visi Poros Maritim Dunia Indonesia dengan kekuatan teknologi kelautan Rusia. Kesepakatan ini diteken oleh Menteri Koordinator Bidang Infrastruktur dan Pembangunan Kewilayahan, Agus Harimurti Yudhoyono (AHY), bersama Ketua Dewan Maritim Federasi Rusia, Nikolai Patrushev, yang juga Penasihat Presiden Vladimir Putin. Menko AHY menegaskan bahwa kerja sama ini sejalan dengan visi Presiden Prabowo Subianto yang menempatkan penguatan sektor maritim sebagai pilar pembangunan ekonomi nasional menuju Indonesia Maju 2045. ""Presiden Prabowo menekankan pentingnya pengembangan sektor maritim sebagai tulang punggung logistik nasional, termasuk memperkuat jaringan tol laut dan meningkatkan kapasitas pelabuhan utama,"" kata AHY dikutip Kompas.com, Jumat (7/11/2025). Fokus strategis Indonesia kini adalah pada Transformasi Pelabuhan Hijau dan berkelanjutan. AHY menyatakan inisiatif ini bukan hanya soal lingkungan, tetapi juga meningkatkan efisiensi logistik dan memperkuat konektivitas dari Aceh hingga Papua, yang akan menjadi motor pertumbuhan ekonomi berkelanjutan. Sementara itu, Ketua Dewan Maritim Federasi Rusia, Nikolai Patrushev, menegaskan bahwa kerja sama ini didasarkan pada mandat strategis Dewan Maritim yang dibentuk oleh Presiden Putin, yang fokus pada pengembangan industri perkapalan dan inovasi laut. Rusia menawarkan kontribusi signifikan yang bersumber dari pengalaman panjang dan keunggulan teknologi mereka. Sebagaimana diketahui, Rusia memiliki pengalaman besar di bidang industri, ilmu pengetahuan, dan teknologi kelautan yang siap dibagi kepada Indonesia. Kerja sama ini akan mencakup isu-isu pengembangan bersama di bidang galangan kapal dan infrastruktur pelabuhan, dan peningkatan kapasitas Sumber Daya Manusia (SDM) maritim sipil. Sebelum penandatanganan MoU, delegasi Rusia telah melakukan kunjungan ke PT Pelindo dan PT PAL Indonesia di Surabaya, meninjau fasilitas pelabuhan dan galangan kapal, serta menjajaki peluang kolaborasi langsung dengan BUMN. MoU ini mengunci enam bidang utama kerja sama yang bersifat holistik, menyentuh seluruh rantai nilai maritim: ""Kerja sama ini adalah jembatan yang akan mempererat persahabatan abadi dan mewujudkan kemakmuran bersama antara kedua bangsa,"" tuntas AHY."
https://www.kompas.com/properti/read/2025/11/07/225336921/5-mal-terbesar-di-indonesia-pakuwon-surabaya-juaranya,Properti,News,2025-11-07T22:53:36,"5 Mal Terbesar di Indonesia, Pakuwon Surabaya Juaranya","Indonesia, Grand Indonesia, Tunjungan Plaza, Central Park, Pakuwon Mall Surabaya, Summarecon Mall Kelapa Gading, mal terbesar di Indonesia","Konsep pusat perbelanjaan di Indonesia telah berevolusi jauh melampaui fungsinya sebagai tempat belanja. Mal terbesar kini berperan sebagai pusat aktivitas ekonomi, hiburan, dan gaya hidup yang terintegrasi dalam sebuah superblok masif. Pengukuran skala mal didasarkan pada Net Leasable Area (NLA), yang mencerminkan kapasitas sewa dan operasionalnya. Berdasarkan luas area sewa, berikut adalah profil lima mal terbesar yang mendominasi pasar ritel Indonesia. 1. Pakuwon Mall Surabaya Mal ini berlokasi di Surabaya, Jawa Timur, dengan NLA mendekati 200.000 meter persegi. Pusat perbelanjaan ini diakui secara luas sebagai mal terbesar di Indonesia. Pakuwon Mall Surabaya adalah bagian dari superblok besar di Surabaya Barat yakni Pakuwon Indah CBD dan dikenal dengan arsitektur modernnya. Luasnya yang masif memungkinkannya menampung lebih dari 1.000 tenant dan memfasilitasi berbagai event besar, konvensi, dan pameran. Ekspansi besar-besaran, termasuk ekstensi 76.000 meter persegi pada 2017 telah memperkuat posisi Surabaya sebagai ibu kota ritel. 2. Tunjungan Plaza (TP 1-6) Mal ini berlokasi di Surabaya, Jawa Timur, dengan luas NLA 175.000 meter persegi. Ini merupakan superblok pertama di Surabaya yang dioperasikan oleh PT Pakuwon Jati Tbk, yang mencakup enam bangunan yang saling terhubung. Lokasi strategis di pusat bisnis Surabaya menjadikan TP sebagai destinasi high-end yang menawarkan lebih dari 550 toko ritel. Integrasi fungsionalnya yang meliputi fashion avenue, area kuliner adalah kunci daya tariknya yang abadi. 3. Summarecon Mall Kelapa Gading (MKG) Berlokasi di Jakarta Utara, mal ini dirancang dengan NLA seluas 150.000 meter persegi. Dikembangkan oleh PT Summarecon Agung Tbk sejak 1990, MKG telah mengalami beberapa tahap perluasan."
