url,category,subcategory,tanggal_publish,judul,tags,konten
https://money.kompas.com/read/2019/08/01/124215826/kompascom-kembali-jadi-pemenang-kategori-media-online-tepercaya,Money,Ekbis,2019-08-01 12:42:15,Kompas.com Kembali Jadi Pemenang Kategori Media Online Tepercaya,"media online, Kompas.com, Superbrands","JAKARTA, KOMPAS.com — Superbrands, lembaga arbiter internasional untuk brand terkemuka bersama lembaga survei Nielsen kembali memberikan apresiasi kepada merek-merek terbaik Indonesia. Untuk kategori Trusted Online Media ( media online tepercaya), Kompas.com tampil sebagai pemenang di antara ribuan media online yang tumbuh dan berkembang di era digital di Indonesia. Pada 2018, Dewan Pers mencatat, setidaknya ada 43.000 media online di Indonesia. Dari puluhan ribu media online itu, tidak lebih dari 200 media online yang dikategorikan terverifikasi. Pengumuman pemenang dan pemberian penghargaan kepada Kompas.com sebagai media online tepercaya dilakukan pada Gala Awards Superbrands 2019 di Ballroom 1, Sheraton Gandaria, Jakarta, Jumat, 26 Juli 2019. Superbrands adalah lembaga yang sudah berdiri selama lebih dari 26 tahun di lebih dari 86 negara. Atas pengakuan dan penghargaan Superbrands 2019 untuk Kompas.com sebagai media online tepercaya ini, Pemimpin Redaksi Kompas.com Wisnu Nugroho mengucapkan terima kasih khususnya kepada para pembaca. “Pengakuan dan penghargaan ini adalah peneguh atas upaya jurnalistik Kompas.com selama 23 tahun lebih untuk menjadi media rujukan tepercaya bagi para pembaca,” ujar Wisnu di Jakarta, Kamis (1/8/2019). Untuk Kompas.com yang didirikan pada 14 September 1995, penghargaan sebagai media online tepercaya merupakan penghargaan berturut-turut kedua setelah pada 2018 mendapat penghargaan yang sama. “Terima kasih pertama-tama untuk para pembaca,” ujar Wisnu Nugroho. Dalam satu tahun terakhir, sebagai media online tepercaya, Kompas.com berperan dalam jaringan internasional penguji fakta (International Fact Checking Network/IFCN) untuk melawan hoaks dan mengungkapkan kebenaran dengan kerja-kerja jurnalistik. Terkait pemberian penghargaan ini, CEO Superbrands Indonesia Grandtyana Mayasari mengatakan, penghargaan yang diraih para pemilik brand merupakan bukti pencapaian. “ Brand yang mendapat Superbrands Awards 2019 telah menjadi TOP of Mind yang mendapat tempat sangat spesial di mata para konsumen, melalui inovasi-inovasi yang dilakukan selama ini,” ujar Grandtyana. Acara Gala Awards Superbrands Indonesia 2019 dihadiri sekitar 40 brand terkemuka di Indonesia yang mendapatkan status dan penghargaan berdasarkan penilaian yang dilakukan oleh Nielsen dengan 38 kategori penghargaan."
https://money.kompas.com/read/2025/11/09/081000826/warren-buffett-siap-pamit-kas-berkshire-sentuh-rekor-baru,Money,Ekbis,2025-11-09 21:53:45,"Warren Buffett Siap Pamit, Kas Berkshire Sentuh Rekor Baru","Berkshire Hathaway, warren buffet, kas berkshire hathaway, warren buffett pensiun","KOMPAS.com – Saham Berkshire Hathaway naik 4,5 persen pada pekan ini setelah laporan laba kuartal III 2025 menunjukkan hasil yang kuat. Kenaikan terjadi di tengah tekanan pasar akibat kekhawatiran valuasi saham kecerdasan buatan (AI) yang dinilai terlalu tinggi dan kekhawatiran terhadap pelemahan ekonomi Amerika Serikat (AS). Indeks Nasdaq tercatat turun 3 persen, menjadi penurunan mingguan terburuk sejak April 2025. Dikutip dari CNBC , Minggu (9/11/2025), kinerja positif saham Berkshire Hathaway memangkas jarak underperformance terhadap indeks acuan S&P 500 menjadi 4,3 poin persentase, dari sebelumnya 12,2 poin pada 29 Oktober. Laba operasi dari perusahaan yang sepenuhnya dimiliki Berkshire naik 34 persen menjadi hampir 13,5 miliar dollar AS pada kuartal III 2025. Kenaikan terutama berasal dari lonjakan 200 persen pada pendapatan underwriting asuransi. Meski demikian, Berkshire tidak melakukan pembelian kembali ( buyback ) saham. Hal ini menunjukkan Buffett menilai saham perusahaannya belum cukup murah, meski sempat melemah sejak Mei 2025. Tanpa buyback dan dengan penjualan saham yang lebih besar dari pembelian, posisi kas Berkshire per 30 September 2025 mencapai 381,7 miliar dollar AS, naik 10,9 persen dari akhir Juni. Setelah dikurangi kas milik BNSF dan penyesuaian pembelian surat utang pemerintah AS, total kas mencapai 354,3 miliar dollar AS atau naik 4,3 persen dari Juni. Warren Buffett dikabarkan akan menyampaikan pesan terakhirnya sebagai CEO Berkshire pada Senin (10/11/2025). “Pada Senin, 10 November, Berkshire akan mengeluarkan pernyataan yang berisi pesan dari Tuan Buffett mengenai filantropi, Berkshire, dan hal-hal lain yang mungkin menarik bagi pemegang saham dan pihak lain,” demikian dalam keterangan resmi perusahaan. Bagian mengenai filantropi diperkirakan berkaitan dengan kontribusi tahunan Buffett untuk yayasan keluarga menjelang Hari Thanksgiving. Sementara itu, bagian “Berkshire dan hal-hal lain” disebut-sebut bisa menjadi pesan perpisahan Buffett menjelang dirinya mundur sebagai CEO di akhir tahun ini. Buffett akan tetap menjabat sebagai ketua dewan direksi, tetapi tidak akan tampil di panggung pada pertemuan pemegang saham Mei mendatang. Surat tahunan kepada pemegang saham juga akan ditulis oleh CEO baru, Greg Abel. Dengan keputusan itu, Buffett mulai membatasi kesempatan berbicara di hadapan publik. Banyak pihak menilai pesan yang akan disampaikan pekan depan bisa menjadi “kata perpisahan” terakhirnya. Laporan keuangan kuartal III Berkshire menunjukkan adanya penjualan tambahan saham Apple selama tiga bulan yang berakhir pada 30 September 2025."
https://money.kompas.com/read/2025/11/09/220245526/emiten-ramai-ramai-lakukan-buyback-saham-apa-artinya-bagi-investor,Money,Ekbis,2025-11-09 22:02:45,"Emiten Ramai-ramai Lakukan Buyback Saham, Apa Artinya bagi Investor?","pasar modal, aksi korporasi, investasi saham, buyback saham, valuasi saham","JAKARTA, KOMPAS.com — Sejumlah emiten melakukan aksi korporasi berupa pembelian kembali ( buyback ) saham dengan nilai besar dalam beberapa waktu terakhir. Analis menilai, tren ini mencerminkan posisi kas emiten yang kuat serta valuasi saham yang masih di bawah nilai wajarnya. Salah satu emiten yang melaksanakan buyback adalah PT Indo Tambangraya Megah Tbk (ITMG). Perseroan telah mendapatkan persetujuan dari pemegang saham dalam RUPS untuk melakukan buyback saham senilai Rp 2,49 triliun. Manajemen ITMG menjelaskan, langkah tersebut dilakukan karena harga saham saat ini belum sepenuhnya mencerminkan nilai fundamental dan prospek jangka panjang perusahaan. “Pembelian saham kembali akan dilakukan melalui Bursa Efek, baik secara bertahap maupun sekaligus, dan diselesaikan paling lambat 12 bulan dari tanggal RUPSLB,” tulis manajemen ITMG dalam keterangannya, Selasa (4/11/2025). Selain ITMG, PT Astra International Tbk (ASII) juga mengumumkan rencana buyback saham dengan nilai maksimal Rp 2 triliun. Jumlah buyback ini tidak melebihi 20 persen dari modal ditempatkan dan disetor, serta menjaga saham free float agar tidak kurang dari 7,5 persen. Aksi buyback ASII berlangsung dari 3 November 2025 hingga 30 Januari 2026. Anak usaha Astra, PT United Tractors Tbk (UNTR), turut melakukan buyback senilai maksimal Rp 2 triliun, yang digelar mulai 31 Oktober 2025 sampai 30 Januari 2026. Sementara itu, PT Bank Central Asia Tbk (BBCA) menyiapkan dana hingga Rp 5 triliun untuk buyback saham yang berlangsung dari 22 Oktober 2025 hingga 19 Januari 2026. Analis BRI Danareksa Sekuritas Reza Diofanda menilai, maraknya buyback saham menandakan kombinasi antara fundamental emiten yang kuat, valuasi yang undervalued, serta posisi kas yang solid. Menurut dia, neraca keuangan yang sehat memberi ruang bagi emiten untuk melakukan buyback tanpa mengganggu arus kas operasional maupun rencana ekspansi. “Aksi buyback sering dimanfaatkan manajemen sebagai sinyal kepercayaan terhadap prospek jangka panjang perusahaan dan upaya menjaga stabilitas harga saham di tengah potensi pelemahan likuiditas pasar,” ujar Reza, Jumat (7/11/2025). Analis Korea Investment & Sekuritas Indonesia (KISI) Muhammad Wafi juga menilai mayoritas emiten melakukan buyback karena valuasi saham sudah di bawah nilai wajarnya. Ditambah dengan kondisi likuiditas pasar yang cukup tinggi, buyback menjadi langkah strategis untuk menjaga stabilitas harga saham di tengah volatilitas indeks. Dalam jangka pendek, aksi buyback biasanya memberikan dampak positif bagi emiten karena dapat meningkatkan sentimen pasar dan earning per share (EPS) melalui pengurangan jumlah saham beredar. Namun, buyback juga dapat menurunkan kas perusahaan meski tidak signifikan bagi emiten besar. “Buat investor, buyback ini menunjukkan kepercayaan dari manajemen emiten, sehingga bisa menjadi momentum akumulasi,” kata Wafi."
https://money.kompas.com/read/2025/11/10/062800026/soal-redenominasi-rupiah-pemerintah-perlu-buat-jadwal-transisi,Money,Ekbis,2025-11-10 06:28:00,"Soal Redenominasi Rupiah, Pemerintah Perlu Buat Jadwal Transisi","redenominasi, uang rupiah, RUU Redenominasi, redenominasi rupiah, redenominasi rupiah adalah, redenominasi rupiah kapan, redenominasi rupiah artinya, arti redenominasi","JAKARTA, KOMPAS.com - Chief Economist Permata Bank, Josua Pardede, meminta pemerintah bersama Bank Indonesia (BI) menyusun jadwal transisi redenominasi rupiah. Wacana pemangkasan nominal mata uang rupiah diketahui mulai diseriusi pemerintah setelah Menteri Keuangan Purbaya Yudhi Sadewa menerbitkan Peraturan Menteri Keuangan (PMK) Nomor 70 Tahun 2025 tentang Rencana Strategis Kementerian Keuangan Tahun 2025-2029. “Pemerintah bersama Bank Indonesia dan otoritas lain perlu menyiapkan jadwal transisi bertahap,” ujar Josua saat dihubungi Kompas.com, Minggu (9/11/2025). Selain itu, sosialisasi dan edukasi tentang perubahan nominal rupiah juga harus dilakukan sampai pelosok negeri. ""Agar tidak terjadi salah paham antara redenominasi dan pemotongan nilai,” kata Josua. Lebih lanjut, ekonom itu juga mengingatkan para pelaku usaha dan keuangan harus memetakan pembaruan sistem akuntansi dan teknologi informasi (IT) jauh-jauh hari dari pelaksanaan redenominasi rupiah . “Karena bank dan perusahaan butuh waktu untuk menyesuaikan sistem,” jelas Josua. Tidak hanya itu, pemerintah juga harus mengawasi harga komoditas harian berbasis data selama periode penandaan harga ganda. Tujuannya, untuk mencegah pihak tertentu melakukan pembulatan uang secara berlebihan. “Perluasan transaksi nontunai dapat membantu menekan biaya logistik uang fisik di lapangan,” kata dia. Sebelumnya, rencana pemerintah melakukan redenominasi rupiah yang sudah bergulir bertahun-tahun kini semakin terlihat jelas."
https://money.kompas.com/read/2025/11/10/065727426/wall-street-sepekan-ini-diproyeksi-goyang-investor-cermati-data-ekonomi-as-dan,Money,Ekbis,2025-11-10 06:57:27,"Wall Street Sepekan Ini Diproyeksi Goyang, Investor Cermati Data Ekonomi AS dan Dampak Shutdown","Wall Street, bursa saham, pasar saham","NEW YORK, KOMPAS.com - Bursa saham Amerika Serikat (AS) alias Wall Street tergelincir dari rekor tertingginya, setelah gejolak saham teknologi dan data tenaga kerja lemah memicu kekhawatiran baru terhadap arah perekonomian Negeri Paman Sam. Para investor kini bersiap menghadapi pekan ini yang dinilai penuh ketidakpastian. Mengutip Reuters,nSenin (10/11/2025), indeks S&P 500 menutup perdagangan Jumat (7/11/2025) dengan penurunan mingguan, setelah sebelumnya mencatat kenaikan selama tiga pekan berturut-turut. Indeks acuan itu kini terkoreksi sekitar 2,4 persen dari level tertingginya pada 28 Oktober lalu. Kekhawatiran terhadap valuasi saham yang dinilai terlalu tinggi, khususnya saham-saham teknologi yang melonjak karena euforia kecerdasan buatan (AI), semakin membesar setelah munculnya data ketenagakerjaan yang lemah. Salah satu laporan menunjukkan lonjakan pengumuman pemutusan hubungan kerja (PHK) di kalangan perusahaan AS. Situasi ini diperparah oleh keterbatasan data ekonomi resmi akibat penutupan sebagian pemerintah federal AS (shutdown) sejak 1 Oktober, yang membuat publikasi data ekonomi oleh lembaga pemerintah tertunda. “Kami tidak banyak mendapatkan data ekonomi. Pada valuasi saat ini dan setelah kenaikan yang besar, investor mulai lebih berhati-hati. Itu bukan hal buruk, tapi datang di saat ketidakpastian pertumbuhan ekonomi meningkat,” ujar Anthony Saglimbene, Kepala Strategi Pasar di Ameriprise Financial. Investor kini menimbang apakah koreksi yang terjadi merupakan profit-taking wajar setelah reli panjang, atau awal dari penurunan yang lebih tajam. Kekhawatiran akan terbentuknya “gelembung AI” membuat pelaku pasar tetap waspada. Sejak awal tahun, S&P 500 masih mencatat kenaikan 14 persen, dan telah melonjak 35 persen dari titik terendah tahun ini pada April."
https://money.kompas.com/read/2025/11/10/071200926/ekonom-ingatkan-pemerintah-tak-redenominasi-rupiah-di-tahun-politik,Money,Ekbis,2025-11-10 07:12:00,Ekonom Ingatkan Pemerintah Tak Redenominasi Rupiah di Tahun Politik,"rupiah, tahun politik, RUU Redenominasi, redenominasi rupiah, pecahan rupiah, RUU Redenominasi Rupiah","JAKARTA, KOMPAS.com - Chief Economist Permata Bank, Josua Pardede meminta pemerintah tidak menerapkan redenominasi rupiah pada tahun politik. Hal ini Josua sampaikan saat dimintai pandangan mengenai waktu yang tepat bagi pemerintah untuk memangkas jumlah angka dalam pecahan rupiah . “Pengalaman dan rancangan yang pernah disusun menunjukkan pentingnya menghindari periode politik yang sarat kontestasi,” kata Josua saat dihubungi Kompas.com, Minggu (9/11/2025). PIXABAY/MOHAMAD TRILAKSONO Ilustrasi rupiah. Menurut Josua, pendekatan yang paling aman adalah dengan memisahkan keputusan politik terkait undang-undang yang menjadi dasar redenominasi rupiah dengan pelaksanaan kebijakan tersebut. Undang-undang, kata Josua, bisa disahkan dalam waktu lebih awal guna memastikan berbagai persiapan penerapan redenominasi rupiah. Sementara, teknis pelaksanaan baru dimulai setelah seluruh prasyarat stabilitas terpenuhi dan masa persiapan minimal sudah memadai. Adapun prasyarat itu adalah inflasi yang tertambat, nilai tukar rupiah ke terhadap dollar stabil,ekspektasi harga terjada, dan situasi sosial-politik kondusif. “Dengan fase transisi beberapa tahun melalui penandaan harga ganda hingga penarikan uang lama,” ujar Josua. Lebih lanjut, Josua mengungkapkan, penerapan penyederhanaan pecahan rupiah itu penting dilakukan secara bertahap untuk agar masyarakat dan pelaku usaha memiliki waktu yang cukup untuk beradaptasi. “Dengan desain seperti itu, redenominasi tidak mengganggu kegiatan ekonomi, tidak mendorong inflasi, dan justru memperkuat kepercayaan terhadap rupiah,” tutur Josua. Sebelumnya, rencana pemerintah melakukan redenominasi rupiah yang sudah bergulir bertahun-tahun kini semakin terlihat jelas."
https://money.kompas.com/read/2025/11/10/073449526/ihsg-berpeluang-menguat-berikut-rekomendasi-saham-hari-ini,Money,Ekbis,2025-11-10 07:34:49,"IHSG Berpeluang Menguat, Berikut Rekomendasi Saham Hari Ini","TLKM, Rekomendasi Saham Hari Ini, IHSG, BBCA, Saham","JAKARTA, KOMPAS.com - Indeks Harga Saham Gabungan (IHSG) menguat 0,69 persen ke level 8.394 pada penutupan perdagangan, Jumat (7/11/2025), disertai dengan meningkatnya volume pembelian. Penguatan ini berhasil mendorong IHSG menembus area resistance terdekatnya, membuka peluang lanjutan kenaikan pada pembukaan perdagangan pada Senin(10/11/2025). Analis MNC Sekuritas, Herditya Wicaksana, menyebut secara teknikal, pergerakan IHSG saat ini diperkirakan masih berada pada awal wave (iii) dari wave [iii], yang menandakan potensi penguatan lanjutan selama momentum beli tetap terjaga. SHUTTERSTOCK/THAPANA STUDIO Ilustrasi saham. Dalam skenario terbaik (best case), IHSG berpeluang menuju area target berikutnya di kisaran 8.390 hingga 8.463. “Best case (hitam), IHSG masih berada di awal wave (iii) dari wave [iii] sehingga IHSG berpeluang melanjutkan penguatannya, adapun area penguatan selanjutnya yang berada di 8,390-8,463,” ujar Herditya lewat analisa hariannya. Adapun level support penting IHSG berada di 8.332 dan 8.276, sementara area resistance berikutnya diperkirakan di 8.432 dan 8.454. Senada, Equity Analyst PT Indo Premier Sekuritas (IPOT), Hari Rachmansyah, mengatakan IHSG yang kembali mencetak rekor tertinggi baru di level 8.394 pada akhir pekan lalu ditopang oleh aksi beli bersih investor asing senilai Rp 3,3 triliun, serta sentimen positif dari data ekonomi domestik yang solid, di antaranya pertumbuhan ekonomi yang stabil dan inflasi yang terkendali. Hari menilai capaian tersebut menunjukkan ketahanan pasar modal Indonesia di tengah tekanan global, terutama saat bursa Wall Street terkoreksi akibat kekhawatiran atas valuasi tinggi saham -saham teknologi berbasis kecerdasan buatan (AI). “Pasar Indonesia menunjukkan resiliensi yang kuat. Investor asing melihat valuasi yang atraktif didukung pertumbuhan PDB 5,04 persen dan inflasi terkendali di 2,86 persen,” ucap Hari."
https://money.kompas.com/read/2025/11/10/075300426/ekonom-redenominasi-rupiah-cuma-pangkas-digit-bukan-nilai-uang,Money,Ekbis,2025-11-10 07:53:00,"Ekonom: Redenominasi Rupiah Cuma Pangkas Digit, Bukan Nilai Uang","redenominasi, uang rupiah, redenominasi rupiah, RUU Redenominasi Rupiah, redenominasi rupiah artinya, arti redenominasi, Dampak redenominasi Rupiah, rencana redenominasi rupiah","JAKARTA, KOMPAS.com - Chief Economist Permata Bank, Josua Pardede, menegaskan, redenominasi rupiah hanya memangkas digit angka pada uang, tidak memangkas nilai. Josua mengatakan, redenominasi berbeda dengan pemotongan nilai dan tidak membuat harga barang-barang naik jika prasyaratnya terpenuhi. Sebagai contoh, redenominasi rupiah memangkas jumlah digit nol pada uang Rp 25.000 menjadi hanya Rp 25 tanpa mengubah nilai uang tersebut. PIXABAY/DARNO BEGE Ilustrasi rupiah, uang rupiah. “Redenominasi hanya memangkas digit, bukan memangkas nilai, sehingga bersifat netral terhadap inflasi bila prasyaratnya dipenuhi,” kata Josua saat dihubungi Kompas.com, Minggu (10/11/2025). Kebijakan redenominasi rupiah bermanfaat untuk membuat transaksi dan pencatatan efisien hingga menghemat biaya percetakan uang dalam jangka panjang. Meski demikian, kebijakan ini sangat bergantung pada sejumlah prasyarat yang harus dipenuhi, yakni inflasi tertambat, nilai tukar rupiah terhadap dollar stabil, ekspektasi harga terjaga, dan situasi sosial politik yang relatif kondusif. “Pengalaman berbagai negara menunjukkan keberhasilan ketika dilakukan pada saat perekonomian stabil dan didukung komunikasi publik yang intensif,” ujar Josua. Menurut Josua, kebijakan memangkas tiga angka nol pada uang rupiah lebih mudah dipahami masyarakat dan meminimalisasi risiko pembulatan harga berlebihan untuk transaksi kecil. “Dengan pertimbangan tersebut, rencana ini patut didukung sebagai program penataan, bukan sebagai resep mengatasi masalah harga atau kurs,” kata dia. Sebelumnya, rencana pemerintah melakukan redenominasi rupiah yang sudah bergulir bertahun-tahun kini semakin terlihat jelas."
https://money.kompas.com/read/2025/11/10/081729526/purbaya-bersih-bersih-impor-ilegal-pemerintah-kompak-bergerak,Money,Ekbis,2025-11-10 08:17:29,"Purbaya Bersih-bersih Impor Ilegal, Pemerintah Kompak Bergerak","pakaian bekas, impor ilegal, Purbaya Yudhi Sadewa , impor pakaian bekas, pakaian bekas ilegal","JAKARTA, KOMPAS.com - Pemerintah tengah kompak menumpas praktik impor ilegal yang semakin marak membanjiri pasar dalam negeri. Sejumlah kementerian, mulai dari Kementerian Keuangan, Kementerian Koperasi dan UKM, hingga Kementerian Perdagangan, kini bergerak bersama untuk menuntaskan persoalan tersebut. Langkah tegas pertama datang dari Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa. Ia menegaskan akan menindak keras para pelaku impor pakaian bekas yang dinilai merugikan negara dan mematikan industri pakaian dalam negeri. KOMPAS.com/RAHEL Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa di Kompleks Parlemen, Jakarta, Senin (3/11/2025). “Kita sudah tahu pemain-pemainnya siapa saja. Kalau ada yang pernah impor balpres, akan saya blacklist supaya tidak bisa impor barang lagi,” ujar Purbaya, dikutip dari KompasTV, Rabu (22/10/2025). Menurut Purbaya, kebijakan pemblokiran ini merupakan langkah terakhir setelah upaya penindakan sebelumnya terbukti tidak efektif. Ia menilai pemberian denda kepada para pelaku tidak memberikan efek jera sekaligus tidak memberi manfaat ekonomi bagi negara. “Saya enggak dapat duit, enggak didenda. Negara malah rugi karena harus keluar biaya untuk memusnahkan barang-barang itu dan memberi makan orang-orang di penjara,” jelasnya. Purbaya menambahkan, saat ini Kementerian Keuangan telah mengantongi nama-nama importir yang terlibat dalam praktik impor pakaian bekas balpres ilegal. Karena itu, Purbaya meminta para pelaku segera menghentikan aktivitasnya sebelum pemerintah menindak dengan sanksi lebih berat melalui regulasi baru."
https://money.kompas.com/read/2025/11/10/082730426/purbaya-siapkan-ruu-redenominasi-rupiah-pakar-belum-tepat-saat-ini,Money,Ekbis,2025-11-10 08:27:30,"Purbaya Siapkan RUU Redenominasi Rupiah, Pakar: Belum Tepat Saat Ini","redenominasi, uang rupiah, redenominasi rupiah, ekonomi Indonesia","JAKARTA, KOMPAS.com - Pemerintah tengah mempersiapkan Rancangan Undang-Undang (RUU) tentang Perubahan Harga Rupiah (Redenominasi), yang targetnya akan rampung pada 2027. Langkah redenominasi rupiah dinilai belum tepat dilakukan saat ini. Guru Besar Departemen Ekonomi Universitas Andalas, Syafruddin Karimi, di tengah tekanan global, pelemahan nilai tukar, dan meningkatnya risiko fiskal. Shutterstock Ilustrasi uang. Angsuran KUR BRI 2025. Tabel angsuran KUR BRI 2025. KUR BRI 2025. Pemerintah, kata Syafruddin, seharusnya fokus memperkuat kebijakan ekonomi makro ketimbang menghabiskan energi politik dan fiskal untuk mengganti tampilan angka pada mata uang. “Redenominasi bukanlah solusi bagi permasalahan riil ekonomi Indonesia . Ia tidak memperbaiki defisit transaksi berjalan, tidak memperbesar pangsa ekspor, dan tidak menambah daya saing industri nasional,” ujarnya kepada Kompas.com, Senin (10/11/2025). Syafruddin menjelaskan, jika tujuan pemerintah adalah memperkuat rupiah dan membangun kepercayaan pasar, maka cara terbaik ialah menjaga inflasi tetap terkendali, meningkatkan produktivitas, serta memastikan iklim investasi tetap kondusif. Menurutnya, kebutuhan mendesak Indonesia saat ini bukan menghapus tiga nol di uang rupiah , melainkan meningkatkan produktivitas nasional melalui reformasi pendidikan, perluasan akses logistik, penguatan industri berbasis nilai tambah, serta integrasi rantai pasok global. Ia menegaskan, target pertumbuhan ekonomi di atas 8 persen per tahun tidak bisa dicapai dengan langkah simbolik seperti redenominasi rupiah , melainkan melalui strategi ekonomi yang substantif, terukur, dan konsisten. “Redenominasi justru mengalihkan perhatian dari agenda besar pembangunan yang lebih mendesak,” katanya. Dihubungi terpisah, pakar kebijakan publik Wijayanto Samirin menilai wacana pelaksanaan redenominasi rupiah membutuhkan waktu yang panjang untuk diwujudkan."
