url,category,subcategory,tanggal_publish,judul,tags,konten
https://money.kompas.com/read/2019/08/01/124215826/kompascom-kembali-jadi-pemenang-kategori-media-online-tepercaya,Sains,Fenomena,2019-08-01 12:42:15,Kompas.com Kembali Jadi Pemenang Kategori Media Online Tepercaya,"media online, Kompas.com, Superbrands","JAKARTA, KOMPAS.com — Superbrands, lembaga arbiter internasional untuk brand terkemuka bersama lembaga survei Nielsen kembali memberikan apresiasi kepada merek-merek terbaik Indonesia. Untuk kategori Trusted Online Media ( media online tepercaya), Kompas.com tampil sebagai pemenang di antara ribuan media online yang tumbuh dan berkembang di era digital di Indonesia. Pada 2018, Dewan Pers mencatat, setidaknya ada 43.000 media online di Indonesia. Dari puluhan ribu media online itu, tidak lebih dari 200 media online yang dikategorikan terverifikasi. Pengumuman pemenang dan pemberian penghargaan kepada Kompas.com sebagai media online tepercaya dilakukan pada Gala Awards Superbrands 2019 di Ballroom 1, Sheraton Gandaria, Jakarta, Jumat, 26 Juli 2019. Superbrands adalah lembaga yang sudah berdiri selama lebih dari 26 tahun di lebih dari 86 negara. Atas pengakuan dan penghargaan Superbrands 2019 untuk Kompas.com sebagai media online tepercaya ini, Pemimpin Redaksi Kompas.com Wisnu Nugroho mengucapkan terima kasih khususnya kepada para pembaca. “Pengakuan dan penghargaan ini adalah peneguh atas upaya jurnalistik Kompas.com selama 23 tahun lebih untuk menjadi media rujukan tepercaya bagi para pembaca,” ujar Wisnu di Jakarta, Kamis (1/8/2019). Untuk Kompas.com yang didirikan pada 14 September 1995, penghargaan sebagai media online tepercaya merupakan penghargaan berturut-turut kedua setelah pada 2018 mendapat penghargaan yang sama. “Terima kasih pertama-tama untuk para pembaca,” ujar Wisnu Nugroho. Dalam satu tahun terakhir, sebagai media online tepercaya, Kompas.com berperan dalam jaringan internasional penguji fakta (International Fact Checking Network/IFCN) untuk melawan hoaks dan mengungkapkan kebenaran dengan kerja-kerja jurnalistik. Terkait pemberian penghargaan ini, CEO Superbrands Indonesia Grandtyana Mayasari mengatakan, penghargaan yang diraih para pemilik brand merupakan bukti pencapaian. “ Brand yang mendapat Superbrands Awards 2019 telah menjadi TOP of Mind yang mendapat tempat sangat spesial di mata para konsumen, melalui inovasi-inovasi yang dilakukan selama ini,” ujar Grandtyana. Acara Gala Awards Superbrands Indonesia 2019 dihadiri sekitar 40 brand terkemuka di Indonesia yang mendapatkan status dan penghargaan berdasarkan penilaian yang dilakukan oleh Nielsen dengan 38 kategori penghargaan."
https://www.kompas.com/sains/read/2024/01/27/201340023/apa-itu-debu-kosmik,Sains,Fenomena,2024-01-27 20:13:40,Apa Itu Debu Kosmik?,"debu kosmik, debu luar angkasa, ruang angkasa, alam semesta","KOMPAS.com - Saat kita melihat ke langit malam, langit terlihat sepi dan bersih, namun kenyataannya ruang angkasa sama sekali tidak kosong. Faktanya, ruang angkasa penuh dengan debu. Debu kosmik ini memainkan peran penting bagi alam semesta dan berasal dari berbagai sumber, dengan implikasi yang menarik bagi alam semesta. Debu kosmik terdiri dari partikel-partikel kecil yang melayang di angkasa. Partikel-partikel ini bisa sangat kecil, lebarnya kira-kira 80 mikrometer, lebih kecil dari lebar rambut manusia, dan ini bukan debu biasa. Para ilmuwan meyakini debu kosmik ini berasal dari asteroid dan komet. Meskipun masuk akal untuk berteori bahwa debu berasal dari asteroid dan komet, penemuan terbaru telah mengungkapkan hal lain. Debu kosmik terbuat dari berbagai unsur, termasuk karbon, silikat, es, dan logam. Hal penting lainnya yang perlu diperhatikan adalah partikel mikro ini mendarat di setiap meter persegi Bumi. Debu kosmik, salah satunya, berperan dalam kelahiran bintang-bintang baru. Ia bertindak sebagai perisai pelindung, menghalangi sebagian radiasi intens dan panas yang dipancarkan oleh bintang-bintang muda. Hal ini memungkinkan gas di sekitarnya mendingin dan runtuh, yang pada akhirnya membentuk bintang dan sistem planet baru. Partikel debu merupakan bahan penting dalam pembentukan planet. Mereka berkumpul untuk menciptakan planetesimal (planet kecil), yang kemudian tumbuh menjadi planet yang terbentuk sempurna. Tanpa debu kosmik, Bumi dan planet-planet lain di tata surya tidak akan ada."
https://www.kompas.com/sains/read/2024/01/28/103647623/danau-singkarak-sumatera-barat-diguncang-5-rentetan-gempa-hari-sabtu,Sains,Fenomena,2024-01-28 10:36:47,Danau Singkarak Sumatera Barat Diguncang 5 Rentetan Gempa Hari Sabtu,"gempa, Danau Singkarak","KOMPAS.com - Area Danau Singkarak, Sumatera Barat diguncang 5 gempa berturut-turut pada Sabtu (27/01/2024). Rentetan gempa ini terjadi berturut-turut pada pukul 15.15 WIB, 15.42 WIB, 15.45 WIB, 16.41 WIB, dan 23.50 WIB. Daftar rentetan gempa yang terjadi di Danau Singkarak , Sumatera Barat pada Sabtu (27/01/2024): Menurut rilis yang disebutkan oleh Badan Meteorologi, Klimatologi, dan Geofisika (BMKG), dari kelima gempa tersebut dua guncangan di antaranya dirasakan oleh masyarakat sekitar. ""Gempa ke-3 dan ke-5 guncangannya dirasakan oleh masyarakat dipicu aktivitas sesar aktif di pertemuan segmen sesar Sianok - Sumani,"" tulis Daryono, Kepala Pusat Gempa Bumi dan Tsunami BMKG melalui pesan singkat yang diterima Kompas.com pada Minggu (28/01/2024). Daryono menjelaskan bahwa kawasan tersebut merupakan kawasan seismik aktif dan kompleks. ""Disebut aktif karena aktivitas kegempaan di sini cukup tinggi,"" tulis Daryono. ""Disebut kompleks karena kawasan ini merupakan 'pertemuan' segmen sesar Sianok dan Sumani,"" sambungnya. Daryono juga menjelaskan bahwa Danau Singkarak sendiri terbentuk akibat mekanisme pull-apart kedua sesar tersebut. Melansir dari laman resmi Badan Nasional Penanggulangan Bencana (BNPB), Danau Singkarak juga mencatatkan sejarah gempa besar, bahkan menimbulkan ""tsunami"" dari air danau. ""Sejarah mencatat pada 28 Juni 1926, di Sumatera Barat diguncang gempa kuat yang diduga kuat pusat gempa berada di Danau Singkarak, Namun gempa ini populer sebagai gempa Padang Panjang. Sebab di Kota Padang Panjang sangat banyak korban berjatuhan,"" tulis Daryono. ""Peristiwa gempa dahsyat ini juga menyebabkan seiche yaitu tumpahnya air Danau Singkarak ke daratan,"" imbuhnya. Dalam gempa tahun 1926 ini memiliki kekuatan M 7,6 yang dipicu oleh aktivitas sesar aktif, tepatnya segmen Sianok. Peristiwa yang terjadi 98 tahun silam tersebut, dilaporkan ribuan rumah rusak dan terjadi banyak rekahan tanah di wilayah Padang Panjang. Selain itu, jumlah korban mencapai 350 jiwa. Gempa ini menimbulkan trauma yang mendalam pada masyarakat Padang Panjang. Bahkan hingga Maret 1927 dilaporkan sebagian besar masyarakat masih tinggal dalam tenda meski pemerintah telah merekonstruksi rumah-rumah mereka dalam kurun waktu 1926-1927."
https://www.kompas.com/sains/read/2024/01/28/143200123/berapa-lama-mahluk-nyari-abadi-tardigrade-bisa-hidup-,Sains,Fenomena,2024-01-28 14:32:00,Berapa Lama Mahluk Nyari Abadi Tardigrade Bisa Hidup?,"Tardigrade, Mahluk Nyari Abadi Tardigrade , berapa lama tardigrade bisa hidup","KOMPAS.com - Tardigrade mungkin adalah hewan yang paling unik di planet ini. Organisme mikroskopis ini memang punya penampakan yang menggemaskan. Namun di sisi lain mereka juga disebut sebagai mahluk paling tangguh yang nyaris abadi. Dengan ukuran 1 milimeter, tubuh kecil mereka mengandung kekuatan super biologis yang membantu mereka bertahan dalam kondisi yang dapat menyebabkan kematian bagi organisme lain. Mengingat ketangguhannya, tentu menjadi pertanyaan berapa lama tardigrade bisa hidup? Mengutip Live Science , Kamis (25/1/2024) jawabannya adalah tergantung di mana mereka ditemukan. Tardigrade hidup hampir di semua tempat di planet ini, namun sebagian besar menyukai di habitat lembap. Ketika tardigrade memiliki cukup makanan dan air untuk mendukung fungsi tubuhnya, mereka menjalani kehidupan alaminya dan jarang yang bertahan lebih dari 2,5 tahun. Namun, tardigrade dapat bertahan hidup lebih lama jika mereka memasuki kondisi yang disebut kriptobiosis, yang dipicu ketika kondisi lingkungan menjadi tidak tertahankan. ""Tardigrade adalah mahluk kecil yang menarik. Mereka memiliki kemampuan untuk mengatasi lingkungan ekstrem dengan menutup metabolisme mereka. Kemampuan untuk mengatasi kekeringan atau pembekuan inilah yang memberi mereka daya tahan di Antartika,"" ungkap Sandra Mclnnes, peneliti tardigrade di British Antarctic Survey. Kondisi tersebut disebut tun, di mana mereka akan memperlambat metabolisme hingga terhenti, mengurangi kebutuhan oksigen dan membersihkan sel dari air. Dalam kondisi menyusut itu, tardigrade mampu bertahan hidup di tempat yang tidak memiliki air, pada suhu minus 200 Celcius dan suhu panas 151 derajat Celcius. Namun saat mereka terkena air lagi, mereka akan hidup kembali ke kehidupan normal dalam hitungan jam. ""Selama tardigrade bisa berada dalam kondisi tun, ia akan mampu menghadapi apa pun,"" kata Mclnnes. McInnes pernah mencairkan sampel lumut dari percobaan sebelumnya dan menemukan bahwa sampel tersebut mengandung tardigrade hidup. Dia menyimpulkan bahwa organisme tersebut telah bertahan, membeku, setidaknya selama delapan tahun. Pada tahun 2016, sebuah makalah yang diterbitkan dalam jurnal Cryobiology membuat heboh ketika menunjukkan bahwa segelintir tardigrade, yang dibekukan dalam sampel lumut Antartika lainnya pada tahun 1983, telah bertahan dalam keadaan dingin ini selama 30 tahun hingga mereka dihidupkan kembali pada tahun 2014."
https://www.kompas.com/sains/read/2024/01/29/161017523/5-manfaat-campuran-bawang-putih-dan-jahe-untuk-kesehatan,Sains,Fenomena,2024-01-29 16:10:17,5 Manfaat Campuran Bawang Putih dan Jahe untuk Kesehatan,"manfaat jahe, manfaat bawang putih, manfaat campuran bawang putih dan jahe , bawang putih dan jahe","KOMPAS.com - Bawang putih dan jahe sama-sama terkenal dengan manfaat kesehatannya. Penelitian ilmiah selama puluhan tahun telah menunjukkan bahwa bahan-bahan ini dapat memberikan perlindungan terhadap penyakit. Menurut studi, bawang putih dan jahe memiliki banyak khasiat obat, seperti antioksidan, antiinflamasi, antikanker, penambah sirkulasi darah, dan sebagainya. Menggabungkan keduanya mungkin juga mempunyai efek meningkatkan kesehatan. Keduanya dapat dikonsumsi dalam hidangan seperti tumisan, sup, atau dalam bentuk suplemen. Berikut adalah beberapa manfaat menggabungkan jahe dengan bawang putih. Salah satu manfaat jahe dan bawang putih yang paling terkenal adalah kemampuannya mengurangi peradangan. Meskipun respons peradangan tubuh sangat penting untuk menjaga kesehatan, peradangan kronis terkait dengan perkembangan banyak penyakit, termasuk penyakit jantung dan kanker tertentu. Bawang putih dan jahe mengandung senyawa tanaman antiinflamasi yang kuat yang dapat membantu menghambat protein proinflamasi yang terkait dengan peradangan kronis. Stres oksidatif terjadi ketika terdapat kelebihan molekul yang disebut spesies oksigen reaktif (ROS) yang membebani pertahanan tubuh. Sistem pertahanan antioksidan tubuh mencakup enzim antioksidan, seperti superoksida dismutase dan glutathione peroksidase. Ini membantu menjaga tingkat ROS tetap seimbang. Namun, ketika sistem ini kewalahan, terjadi stres oksidatif yang menyebabkan kerusakan sel. Studi menunjukkan, bawang putih dan jahe dapat membantu mengurangi penanda stres oksidatif, termasuk senyawa malondialdehyde yang sangat reaktif dan merusak. Sebuah studi tahun 2015 memberi 2 gram bubuk jahe per hari selama 12 minggu pada penderita diabetes tipe 2. Pada akhir pengobatan ini, mereka mengalami penurunan kadar malondialdehid dalam darah secara signifikan dibandingkan dengan kelompok kontrol. Kemudian, sebuah studi tahun 2016 menunjukkan bahwa mengonsumsi suplemen jahe dapat mengurangi kadar malondialdehid serta penanda inflamasi TNF-α pada penderita tuberkulosis."
https://www.kompas.com/sains/read/2024/01/30/153400423/kenapa-pilih-bikin-koloni-di-mars-daripada-di-bulan,Sains,Fenomena,2024-01-30 15:34:00,Kenapa Pilih Bikin Koloni di Mars daripada di Bulan?,"Bulan, Mars, luar angkasa, Kenapa pilih bikin koloni di Mars","KOMPAS.com - Seiring populasi Bumi yang makin meningkat, sumber daya planet ini pun makin menipis. Itu mengapa ada wacana kita harus mencari rumah baru. Mars disebut-sebut sebagai kandidat yang baik sebagai rumah masa depan manusia. Sayangnya, perjalanan ke Mars memakan waktu berbulan- bulan dan itu pun bergantung pada kesejajarannya dengan Bumi. Perjalanan ke Planet Merah juga bukan perkara yang gampang. Bahkan, mengirimkan mesin kecil pun memerlukan roket yang lebih besar dan boros bahan bakar sehingga pertukaran infrastruktur untuk membangun seluruh koloni untuk saat ini adalah hal yang mustahil. Penundaan komunikasi juga bisa terjadi hingga 4 menit sehingga perlu waktu jika ingin memanggil bantuan. Prospek kolonisasi pun nampaknya jauh lebih mudah dilakukan di tempat yang letaknya lebih dekat dengan planet kita, yaitu Bulan. Bulan yang mengorbit Bumi hanya berjarak 3 hari jadi penundaan komunikasi hanya beberapa detik saja. Memanggil bantuan menjadi lebih memungkinkan dan bertukar informasi pun bukan masalah besar. Namun, terlepas dari kemudahan itu, mengapa para penjelajah luar angkasa tetap memilih Mars sebagai alternatif tempat tinggal di masa depan? Ternyata ada beberapa alasan. Dikutip dari Science ABC , menghuni Mars lebih menjanjikan karena seperti planet kita, Mars diselimuti dan dilindungi oleh atmosfer. Meskipun atmosfernya tidak mampu menampung oksigen bertekanan seperti yang kita miliki yang sangat penting untuk kehidupan, atmosfernya tetap melindungi planet ini dari hujan meteoroid yang merusak. Lapisan atmosfer juga akan melindungi kita dari sinar UV matahari, yang tanpanya kita akan terpanggang. Sementara di sisi lain, Bulan kekurangan atmosfer sehingga hujan meteorid yang merusak menjadi sebuah fenomena yang umum di sana. Selain itu, minimnya lapisan atmosfer bakal membuat manusia terpanggang dalam hitungan detik di Bulan. Gravitasi Mars lebih kecil dari Bumi tetapi cukup besar untuk menarik gas dan membentuk atmosfer. Gravitasinya yang hanya sepertiga Bumi ini tentu akan membuat astronot memerlukan waktu untuk membiasakan diri. Akan tetapi, saat di Bulan diperlukan waktu yang lebih lama untuk membiasakan diri. Ini karena gravitasi Bulan hanya seperenam Bumi."
https://www.kompas.com/sains/read/2025/11/03/204700223/ilmuwan-temukan-air-dan-minyak-bisa-menyatu-di-bulan-titan-saturnus,Sains,Fenomena,2025-11-03 20:47:00,Ilmuwan Temukan Air dan Minyak Bisa Menyatu di Bulan Titan Saturnus,"antariksa, saturnus, Bulan Saturnus, bulan titan, bulan saturnus titan","KOMPAS.com - Di permukaan beku Titan, bulan terbesar planet Saturnus, molekul sederhana mampu melanggar salah satu prinsip paling mendasar dalam ilmu kimia. Sebuah studi baru menunjukkan bahwa di sana, campuran komponen polar dan nonpolar, yang di Bumi dikenal sebagai minyak dan air, justru dapat menyatu dan membentuk struktur padat yang stabil. Prinsip kimia yang dimaksud adalah ""like dissolves like"" (sejenis melarutkan sejenis), yang menyatakan bahwa zat polar dan nonpolar tidak akan bercampur, melainkan membentuk lapisan terpisah. Namun, para ilmuwan dari NASA's Jet Propulsion Laboratory dan Chalmers University of Technology di Swedia dikejutkan oleh temuan di bulan Titan . Molekul polar hidrogen sianida membentuk kristal bersama yang stabil dengan hidrokarbon nonpolar seperti metana dan etana—molekul yang sepenuhnya tidak kompatibel di Bumi. Kondisi di permukaan Titan menyerupai Bumi purba. Atmosfernya mengandung kadar nitrogen dan senyawa hidrokarbon sederhana yang tinggi, metana dan etana, yang berputar dalam sistem cuaca lokal, mirip dengan siklus air di Bumi. Para peneliti mereplikasi kondisi di permukaan Titan dengan menggabungkan campuran metana, etana, dan hidrogen sianida pada suhu sekitar minus 183 derajat Celsius. Analisis spektroskopi—cara mempelajari bahan kimia melalui interaksinya dengan panjang gelombang cahaya—menghasilkan kejutan. Ternyata, molekul metana dan etana yang nonpolar telah masuk ke celah-celah struktur kristal padat hidrogen sianida polar—sebuah proses yang dikenal sebagai interkalasi—untuk menciptakan co-crystal (kristal bersama) yang tidak biasa. Martin Rahm, penulis utama studi dari Chalmers University of Technology, menjelaskan implikasi temuan ini. ""Ini bertentangan dengan aturan dalam kimia, 'like dissolves like,' yang pada dasarnya berarti tidak mungkin untuk menggabungkan zat polar dan nonpolar ini,"" kata Rahm dalam sebuah pernyataan. Di Bumi, molekul polar (seperti air) memiliki distribusi muatan yang tidak merata, menarik molekul polar lain, dan mengabaikan komponen nonpolar. Sebaliknya, molekul nonpolar (seperti minyak) berinteraksi sangat lemah satu sama lain dan tidak berinteraksi sama sekali dengan partikel polar, itulah sebabnya air dan minyak terpisah. Studi yang diterbitkan dalam jurnal PNAS ini menantang pilar kimia yang telah lama diyakini dan berpotensi membuka pintu pada penemuan struktur padat yang lebih eksotis di seluruh Tata Surya. Tim NASA dan Chalmers University kemudian memodelkan ratusan struktur co-crystal potensial untuk menguji stabilitasnya di bawah kondisi Titan."
https://www.kompas.com/sains/read/2025/11/04/152311023/siklon-kalmaegi-picu-gelombang-4-meter-bmkg-peringatkan-seluruh-perairan,Sains,Fenomena,2025-11-04 15:23:11,"Siklon Kalmaegi Picu Gelombang 4 Meter, BMKG Peringatkan Seluruh Perairan Selatan Indonesia","BMKG, gelombang tinggi, siklon tropis, Siklon Kalmaegi","KOMPAS.com - Badan Meteorologi Klimatologi, dan Geofisika (BMKG) mengeluarkan peringatan dini mengenai potensi gelombang tinggi hingga sangat tinggi di sejumlah wilayah perairan Indonesia, mulai 4-7 November 2025. Peningkatan risiko ini dipicu oleh keberadaan Siklon Tropis Kalmaegi di Laut Filipina. BMKG mengimbau masyarakat, khususnya yang berprofesi di sektor maritim dan tinggal di pesisir, untuk meningkatkan kewaspadaan demi keselamatan. Siklon Tropis Kalmaegi yang terdeteksi berada di Laut Filipina (10.3° LU, 128.6° BT) menjadi salah satu faktor utama yang memengaruhi pola angin di Indonesia. Siklon ini memiliki kecepatan angin maksimum hingga 60 knot. Dalam keterangan resmi, BMKG merinci pola angin regional yang memicu gelombang besar: BMKG mencatat bahwa kecepatan angin tertinggi terpantau di Samudra Pasifik Utara Maluku dan Laut Sulawesi bagian Timur. Potensi gelombang tinggi yang berisiko terhadap keselamatan pelayaran terbagi menjadi dua kategori ketinggian yang mengkhawatirkan: Gelombang dengan ketinggian ini berpeluang terjadi di wilayah luas, meliputi Laut Natuna Utara, Selat Karimata bagian utara, sebagian besar Laut Jawa (barat, tengah, timur), Laut Bali, Laut Sumbawa, seluruh Selat Makassar, Laut Sulawesi, Laut Maluku, dan Samudra Pasifik utara Papua hingga Papua Barat Daya. Kondisi gelombang yang paling berbahaya dan memerlukan kewaspadaan ekstra berada di kisaran 2,50 hingga 4,0 meter. Wilayah yang berpeluang mengalami ancaman ini adalah jalur maritim vital di Indonesia bagian selatan: Seluruh perairan Samudra Hindia di sebelah barat Sumatera (mulai dari Aceh hingga Lampung) dan Samudra Hindia di sebelah selatan Jawa (mulai dari Banten, Jawa Barat, Jawa Tengah, DI Yogyakarta, Jawa Timur) hingga selatan Bali, NTB, dan NTT. serta Selat Malaka bagian utara. Potensi gelombang tinggi di beberapa wilayah tersebut dapat berisiko terhadap keselamatan pelayaran. Untuk itu, BMKG mengeluarkan imbauan keselamatan yang spesifik untuk setiap jenis moda transportasi laut. Berdasarkan rilis BMKG mengenai batas aman pelayaran, masyarakat diminta memperhatikan detail berikut: ""BMKG selalu mengimbau masyarakat untuk selalu waspada, terutama bagi nelayan yang beraktivitas dengan moda transportasi seperti Perahu Nelayan (kecepatan angin lebih dari 15 knot dan tinggi gelombang di atas 1.25 m), Kapal Tongkang (kecepatan angin lebih dari 16 knot dan tinggi gelombang di atas 1.5 m), Kapal Ferry (kecepatan angin lebih dari 21 knot dan tinggi gelombang di atas 2.5 m), dan Kapal Ukuran Besar seperti Kapal Kargo/Kapal Pesiar (kecepatan angin lebih dari 27 knot dan tinggi gelombang di atas 4.0 m)."" BMKG juga menambahkan permohonan kepada masyarakat pesisir: ""Dimohon kepada masyarakat yang tinggal dan beraktivitas di pesisir sekitar area yang berpeluang terjadi gelombang tinggi agar tetap selalu waspada."""
https://www.kompas.com/sains/read/2025/11/05/052949323/malam-ini-supermoon-emas-5-november-terbesar-2025-waktu-terbaik-cara-foto,Sains,Fenomena,2025-11-05 05:29:49,"Malam Ini, Supermoon Emas 5 November Terbesar 2025: Waktu Terbaik, Cara Foto HP, dan Peringatan BMKG","Supermoon, supermoon 2025, supermoon 5 November 2025, supermoon emas, fenomena langit november 2025, golden supermoon","KOMPAS.com - Malam ini, Rabu 5 November 2025, langit Indonesia akan disuguhi pemandangan istimewa: Supermoon Emas atau yang secara tradisional dikenal sebagai Beaver Moon. Fenomena langit November ini dipastikan menjadi yang terbesar dan terdekat dengan Bumi sepanjang tahun 2025. Meskipun menyajikan pertunjukan visual yang dramatis, fenomena ini membawa konsekuensi fisik signifikan terhadap Bumi, khususnya potensi banjir rob di wilayah pesisir. Apa itu Supermoon 5 November sebenarnya, bagaimana cara terbaik melihatnya, dan wilayah mana saja yang perlu waspada terhadap dampaknya? Secara populer, Supermoon adalah sebutan untuk Bulan purnama yang terjadi berdekatan dengan titik terdekat Bulan ke Bumi (Perigee). Astronom Amatir Indonesia, Marufin Sudibyo, menjelaskan bahwa istilah 'Supermoon' bukanlah terminologi baku astronomi, melainkan istilah yang populer sejak 1979. ""Supermoon itu istilah astrologi. Dalam astronomi tidak ada padanan katanya karena memang dianggap tidak memiliki nilai ilmiah spesifik. Tapi untuk kepentingan populer, kata itu sering dipadankan dengan Bulan Purnama Perigean atau Purnama Perigean saja,"" jelas Marufin Sudibyo kepada Kompas.com dihubungi Selasa (4/11/2025). Supermoon 5 November ini menjadi yang terbesar dan terdekat karena titik Perigee Bulan pada November adalah yang paling kecil (terdekat) di tahun 2025. Marufin menambahkan bahwa Supermoon kali ini lebih dekat daripada Supermoon Harvest Moon yang muncul bulan lalu (359.800 km) dan bahkan lebih dekat dari Cold Moon yang akan terjadi bulan Desember (356.900 km). Seluruh wilayah Indonesia berkesempatan menyaksikan Supermoon 5 November ini, asalkan kondisi cuaca mendukung. Meskipun puncak iluminasi terjadi pukul 20.20 WIB, momen terbaik untuk melihat Supermoon dalam ukuran visual terbesarnya dan warna emas adalah saat Bulan baru terbit di ufuk timur. ""Dalam setiap fenomena terbit atau terbenamnya benda langit, akan terjadi efek pembesaran yang disebabkan oleh refraksi atmosfer. Jadi ya, betul saat terbitnya Bulan kita bisa melihat ukuran-tampak Bulan seolah-olah lebih besar,"" kata Marufin. Warna keemasan (Golden) yang disematkan pada Supermoon Emas terjadi karena hamburan cahaya (Hamburan Rayleigh) oleh atmosfer Bumi. Saat Bulan rendah di ufuk, cahayanya harus melewati lapisan udara yang lebih tebal, yang menyaring warna biru dan membiarkan warna kuning, oranye, dan merah melewatinya. Pengamat awam tidak memerlukan teleskop khusus untuk menyaksikan fenomena ini. Cukup dengan mata telanjang."
https://www.kompas.com/sains/read/2025/11/05/061647023/neanderthal-manusia-purba-yang-jadi-seniman-gua-pertama,Sains,Fenomena,2025-11-05 06:16:47,"Neanderthal, Manusia Purba yang Jadi Seniman Gua Pertama","manusia purba, Neanderthal, Homo sapiens, seni prasejarah, seni gua tertua, gambar manusia purba, lukisan neanderthal, neanderthal membuat seni, budaya neanderthal","KOMPAS.com - Selama ini Neanderthal sering digambarkan sebagai manusia purba kasar yang hanya tahu bertahan hidup di zaman es. Namun, temuan terbaru menunjukkan gambaran yang jauh lebih kompleks — bahkan memukau. Mereka bukan sekadar “manusia gua”, tetapi juga seniman pertama di dunia. Penelitian terbaru dari Prancis dan Spanyol mengungkap bahwa lukisan dan instalasi gua buatan Neanderthal ternyata berusia puluhan ribu tahun lebih tua daripada seni buatan Homo sapiens di Eropa Barat. Temuan ini dipublikasikan dalam Scientific Reports, dan menjadi bukti kuat bahwa Neanderthal memiliki kemampuan berpikir simbolik dan kreatif — sesuatu yang dulu hanya dikaitkan dengan manusia modern. “Temuan ini mengubah cara kita memandang Neanderthal. Mereka tidak hanya bertahan hidup, tapi juga menciptakan,” kata tim peneliti dari Université de Bordeaux. Seni Neanderthal bukan berupa lukisan hewan seperti yang dibuat Homo sapiens , melainkan tanda-tanda geometris, cap tangan, garis jari, dan susunan batu yang disengaja. Di gua-gua seperti La Pasiega (Cantabria), Maltravieso (Extremadura), dan Ardales (Málaga), para ilmuwan menemukan cap tangan dan motif merah yang dibuat dengan pigmen alami. Sementara itu, di La Roche-Cotard di Lembah Loire, Prancis, ditemukan pola garis yang dibuat dengan jari di lumpur gua — disebut finger flutings. Pola ini tampak acak, tapi tersusun dengan ritme dan bentuk yang disengaja, seolah menjadi bahasa visual yang belum terucap. Salah satu penemuan paling mengejutkan ada di Gua Bruniquel, barat daya Prancis. Di dalam kegelapan gua, Neanderthal mematahkan stalaktit menjadi bagian-bagian serupa dan menyusunnya menjadi bentuk oval besar, kemudian menyalakan api di atasnya. Para peneliti meyakini, struktur ini bukan tempat tinggal, melainkan bentuk seni instalasi purba — cikal bakal dari ritual atau simbolisme awal manusia. “Jika dipamerkan di galeri modern, mungkin kita akan menyebutnya installation art ,” tulis laporan tersebut. Menentukan usia seni prasejarah bukan perkara mudah. Peneliti menggunakan tiga metode utama: Dengan metode Uranium–Thorium, lapisan kalsit di atas motif merah di La Pasiega, Maltravieso, dan Ardales menunjukkan usia lebih dari 64.000 tahun — jauh sebelum Homo sapiens pertama tiba di Semenanjung Iberia. Artinya, hanya Neanderthal yang bisa membuatnya. Gabungan antara lukisan pigmen di Spanyol, finger flutings di Prancis, dan struktur batu di Bruniquel memberikan satu kesimpulan: Neanderthal adalah seniman pertama dunia. Mereka memasuki gua yang gelap, memilih lokasi dan material, lalu meninggalkan jejak dengan tujuan tertentu. “Bahkan para skeptis kini harus mengakui, ini adalah aktivitas artistik yang hanya bisa dilakukan oleh Neanderthal,” kata peneliti utama. Meski gaya mereka berbeda dari Homo sapiens , seni nonfiguratif Neanderthal tetap sarat makna simbolik. Cap tangan menunjukkan kehadiran, bentuk geometris menandakan pilihan, dan jejak jari merekam gerakan tubuh dalam medium batu. Apa makna semua ini? Bagi para ilmuwan, karya-karya itu mungkin menandai momen ketika Neanderthal mulai menyadari keberadaan dan identitas diri mereka sendiri. Mereka mengekspresikan pikiran dan perasaan dalam bentuk simbol — langkah awal menuju imajinasi dan budaya. Jika simpanse saja bisa mewariskan perilaku baru antargenerasi, mengapa Neanderthal tidak? Jejak mereka di dinding gua mungkin adalah tradisi awal seni dan simbolisme manusia. Kini, pandangan lama bahwa Neanderthal adalah makhluk “bodoh” sudah usang. Mereka berpikir, berkolaborasi, bahkan mungkin berdoa atau bermimpi. Dalam kegelapan gua ribuan tahun lalu, Neanderthal menyalakan cahaya — bukan hanya api, tapi juga cahaya kreativitas manusia pertama. “Begitu kita mengakui bahwa mereka membuat seni,” kata laporan itu, “maka kita juga harus mengakui keberadaan pikiran yang menciptakannya.”"
